"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.736116000E-2,7.316055298E-1,4.041477680E0,8.106285095E0
3.747089900E-2,5.156532526E-1,3.796811342E0,9.146564484E0
5.758063900E-2,2.931207716E-1,3.677768469E0,9.521639824E0
7.769037800E-2,1.968096644E-1,3.733401537E0,9.211171150E0
9.780011800E-2,2.291127741E-1,3.845864296E0,8.991629601E0
1.179098060E-1,2.961117923E-1,3.875774384E0,9.023334503E0
1.380195450E-1,3.284149170E-1,3.861417532E0,8.955737114E0
1.581292850E-1,2.488535494E-1,3.849453449E0,8.905488014E0
1.782390240E-1,2.811566591E-1,3.814159393E0,9.082556725E0
1.983487640E-1,3.798605800E-1,3.788436413E0,9.388239861E0
2.184585030E-1,4.025924206E-1,3.764508247E0,9.580862045E0
2.385682430E-1,3.505485058E-1,3.700500250E0,9.454640388E0
2.586779830E-1,1.866401732E-1,3.716053486E0,9.288339615E0
2.787877220E-1,7.477571070E-2,3.741178274E0,9.176474571E0
2.988974100E-1,4.785645381E-2,3.713660717E0,9.239884377E0
3.190071490E-1,-1.854437590E-2,3.704687595E0,9.380462646E0
3.391168890E-1,-6.580262631E-2,3.740580082E0,9.358329773E0
3.592266280E-1,-8.374879137E-3,3.767499208E0,9.253643036E0
3.793363680E-1,9.631111473E-2,3.743571043E0,9.226125717E0
3.994461080E-1,2.117647976E-1,3.691527128E0,9.244071960E0
4.195558470E-1,2.207378894E-1,3.710071564E0,9.224929810E0
4.396655870E-1,1.585244983E-1,3.726222992E0,9.154341698E0
4.597753260E-1,8.494520187E-2,3.684946775E0,9.244669914E0
4.798850660E-1,9.152546525E-2,3.637688637E0,9.306883812E0
4.999948060E-1,7.477571070E-2,3.653241873E0,9.145368576E0
5.201045450E-1,8.494520187E-2,3.722633839E0,8.880961418E0
5.402142330E-1,1.333998591E-1,3.789034605E0,8.752944946E0
5.603239720E-1,2.075773627E-1,3.803989887E0,8.970691681E0
5.804337120E-1,2.458625287E-1,3.750151396E0,9.333803177E0
6.005434510E-1,2.572284341E-1,3.682554007E0,9.479764938E0
6.206531910E-1,2.225325108E-1,3.683750391E0,9.372686386E0
6.407629310E-1,1.292124242E-1,3.700500250E0,9.146564484E0
6.608726700E-1,1.459621787E-1,3.698107481E0,8.922835350E0
6.809824100E-1,2.153540403E-1,3.710071564E0,8.920442581E0
7.010921490E-1,2.883351147E-1,3.659224033E0,9.067601204E0
7.212018890E-1,2.368894368E-1,3.608376503E0,9.302696228E0
7.413116280E-1,1.040877849E-1,3.541975737E0,9.415757179E0
7.614213680E-1,2.093719877E-2,3.512065411E0,9.275178909E0
7.815311080E-1,9.451649338E-2,3.509074450E0,9.096913338E0
8.016408470E-1,2.679961324E-1,3.486940861E0,9.126225471E0
8.217505350E-1,4.707878530E-1,3.471387386E0,9.327222824E0
8.418602740E-1,5.072783828E-1,3.520440340E0,9.530612946E0
8.619700140E-1,4.516452849E-1,3.534797192E0,9.506086349E0
8.820797530E-1,4.821537733E-1,3.507279873E0,9.342177391E0
9.021894930E-1,5.060819983E-1,3.530011654E0,9.343374252E0
9.222992330E-1,4.564309120E-1,3.607180119E0,9.199206352E0
9.424089720E-1,4.953143001E-1,3.582653761E0,8.930612564E0
9.625187120E-1,5.862415433E-1,3.511467218E0,8.944371223E0
9.826284510E-1,5.724828243E-1,3.467798233E0,9.278169632E0
1.002738191E0,4.271188378E-1,3.389433384E0,9.504889488E0
1.022847931E0,1.375873089E-1,3.342773199E0,9.291928291E0
1.042957670E0,-9.092725813E-2,3.305086374E0,9.168100357E0
1.063067410E0,-1.184447184E-1,3.346362352E0,9.245866776E0
1.083177149E0,-1.112662554E-1,3.385245800E0,9.227920532E0
1.103286889E0,-1.447657645E-1,3.384647608E0,9.135198593E0
1.123396628E0,-1.567298770E-1,3.400201082E0,9.116654396E0
1.143506368E0,-2.315055877E-1,3.395415306E0,9.317651749E0
1.163616108E0,-3.170489967E-1,3.354139090E0,9.425328255E0
1.183725847E0,-3.762713671E-1,3.359523058E0,9.332606316E0
1.203835535E0,-3.810569942E-1,3.379263878E0,9.262616158E0
1.223945274E0,-2.997010350E-1,3.440878868E0,9.308079720E0
1.244055014E0,-2.045863420E-1,3.529413462E0,9.385847092E0
1.264164753E0,-6.819544733E-2,3.597608805E0,9.462417603E0
1.284274493E0,-1.495514158E-2,3.653241873E0,9.522835732E0
1.304384233E0,-4.127619043E-2,3.623331785E0,9.557532310E0
1.324493972E0,-5.563312769E-2,3.585644722E0,9.681958199E0
1.344603712E0,5.084748194E-2,3.582055569E0,9.704689980E0
1.364713451E0,3.308077157E-1,3.618546009E0,9.614361763E0
1.384823191E0,5.754738450E-1,3.641277790E0,9.540781975E0
1.404932931E0,6.299105883E-1,3.656233072E0,9.570094109E0
1.425042670E0,3.810569942E-1,3.622135162E0,9.396614075E0
1.445152410E0,2.602194548E-1,3.330210924E0,9.232108116E0
1.465262149E0,4.546362907E-2,3.424129248E0,9.701101303E0
1.485371889E0,4.265206456E-1,3.486940861E0,9.888937950E0
1.505481628E0,5.569294691E-1,3.644268990E0,9.194420815E0
1.525591368E0,3.583251834E-1,3.687339783E0,8.837890625E0
1.545701108E0,1.603191197E-1,3.430709362E0,9.089137077E0
1.565810847E0,-1.387837082E-1,3.331407309E0,9.188439369E0
1.585920587E0,-2.177468538E-1,3.290729284E0,8.909674644E0
1.606030326E0,-3.487538993E-1,3.274577856E0,8.749954224E0
1.626140066E0,-3.607180119E-1,3.267997503E0,8.821739197E0
1.646249806E0,-3.834498227E-1,3.302095175E0,9.089735031E0
1.666359545E0,-7.579265833E-1,3.281157970E0,9.420542717E0
1.686469285E0,-5.264210105E-1,3.203391314E0,9.248259544E0
1.706579024E0,-3.702892959E-1,3.285345554E0,9.002396584E0
1.726688764E0,2.991028316E-2,3.403790236E0,8.830712318E0
1.746798503E0,-2.632105052E-1,3.429512978E0,8.977870941E0
1.766908243E0,-5.557330847E-1,3.337987661E0,9.190832138E0
1.787017983E0,-5.395814776E-1,3.381656647E0,9.309276581E0
1.807127722E0,-3.672982752E-1,3.452843189E0,9.349356651E0
1.827237462E0,-1.459621787E-1,3.494119167E0,9.302696228E0
1.847347149E0,-2.374876440E-1,3.366701365E0,9.440881729E0
1.867456889E0,-2.769692242E-1,2.886342287E0,9.792626381E0
1.887566628E0,-1.306481123E0,3.473181963E0,9.732806206E0
1.907676368E0,-9.894321561E-1,3.823132277E0,9.206983566E0
1.927786108E0,-3.403790295E-1,3.257229805E0,9.019744873E0
1.947895847E0,-5.102694035E-1,3.339184046E0,9.232706070E0
1.968005587E0,-6.879364848E-1,3.512065411E0,9.251849174E0
1.988115326E0,-5.461617708E-1,3.361915827E0,9.191430092E0
2.008225066E0,-3.529413342E-1,3.309273720E0,9.568299294E0
2.028334806E0,-3.068794906E-1,3.413959742E0,9.779465675E0
2.048444545E0,-4.606183469E-1,3.357130051E0,9.513862610E0
2.068554285E0,-5.371887088E-1,3.218346357E0,9.437891006E0
2.088664024E0,-5.760720372E-1,3.204587698E0,9.615557671E0
2.108773764E0,-5.473581553E-1,3.264408350E0,9.533603668E0
2.128883503E0,-5.371887088E-1,3.310470104E0,9.055039406E0
2.148993243E0,-5.108676553E-1,3.254837036E0,8.737990379E0
2.169102983E0,-5.880361795E-1,3.175873756E0,9.078369141E0
2.189212722E0,-3.092723191E-1,3.073580742E0,9.828518867E0
2.209322462E0,-1.872383654E-1,3.033500910E0,9.897313118E0
2.229432201E0,-2.895315289E-1,3.050250769E0,9.313464165E0
2.249541941E0,-2.386840582E-1,3.040679455E0,9.192625999E0
2.269651681E0,-2.973082066E-1,2.990430117E0,9.598209381E0
2.289761420E0,-2.673979402E-1,2.988635540E0,9.781859398E0
2.309871160E0,-1.698904037E-1,3.029313564E0,9.801599503E0
2.329980899E0,-9.571290575E-3,3.070589542E0,9.875179291E0
2.350090639E0,1.555334777E-1,3.153740168E0,9.763314247E0
2.370200378E0,1.483550072E-1,3.222533941E0,9.628120422E0
2.390310118E0,1.190429255E-1,3.216551781E0,9.731011391E0
2.410419858E0,-3.589233849E-3,3.169293642E0,1.000080204E1
2.430529597E0,-2.153540403E-2,3.136392355E0,9.975677490E0
2.450639337E0,2.871387079E-2,3.195614576E0,9.431908607E0
2.470749076E0,-1.794616925E-3,3.286541939E0,9.043074608E0
2.490858816E0,-1.274178028E-1,3.244667530E0,9.093324661E0
2.510968556E0,-2.685943544E-1,3.183052301E0,9.442078590E0
2.531078295E0,-3.116651475E-1,3.169293642E0,9.488738060E0
2.551188035E0,-3.194418252E-1,3.137588739E0,9.300303459E0
2.571297774E0,-3.613162339E-1,3.224328518E0,9.035896301E0
2.591407514E0,-2.931207716E-1,3.353540897E0,8.689535141E0
2.611517253E0,-1.328016520E-1,3.357130051E0,8.604590416E0
2.631626993E0,-4.127619043E-2,3.321237803E0,8.977272034E0
2.651736733E0,-5.742774159E-2,3.306282759E0,9.335597992E0
2.671846472E0,-1.052841991E-1,3.297907829E0,9.325428009E0
2.691956212E0,-6.101697683E-2,3.337987661E0,9.127422333E0
2.712065951E0,3.589233849E-3,3.380460262E0,9.087940216E0
