"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.049042900E-2,3.771981969E-2,6.604786217E-2,-1.093416587E-1
5.060022100E-2,-4.764608666E-2,6.497887522E-2,-7.314895838E-2
7.071001200E-2,-3.497100621E-2,1.981435865E-1,-7.605048269E-2
9.081985600E-2,3.237490356E-2,2.109713703E-1,-6.612421572E-2
1.109296480E-1,7.437065244E-2,1.582857966E-1,-7.773031294E-2
1.310394390E-1,6.536065787E-2,1.077381819E-1,-9.865183383E-2
1.511492310E-1,4.016320780E-2,7.429429889E-2,-1.030804738E-1
1.712590230E-1,2.764083818E-2,8.742751181E-2,-1.233911440E-1
1.913688660E-1,1.756185852E-2,1.158319116E-1,-1.466033459E-1
2.114786580E-1,-7.024743594E-3,1.286597103E-1,-1.377460510E-1
2.315884500E-1,-3.878879920E-2,1.181225851E-1,-1.090362370E-1
2.516982410E-1,-5.696150661E-2,9.659022093E-2,-8.582404256E-2
2.718080330E-1,-5.283828825E-2,9.994988143E-2,-6.398624927E-2
2.919178770E-1,-2.672456764E-2,9.796462953E-2,-4.886778072E-2
3.120276690E-1,5.497625098E-3,6.452073902E-2,-3.787253052E-2
3.321374600E-1,2.382304333E-2,1.611109637E-2,-2.122694254E-2
3.522472520E-1,7.635590620E-3,-6.795675959E-3,-2.183778957E-2
3.723570960E-1,-1.038440317E-2,1.168245357E-2,-1.847812906E-2
3.924668870E-1,4.581354442E-4,3.306210786E-2,1.145338640E-2
4.125766790E-1,2.779355086E-2,1.198787708E-2,4.504998401E-2
4.326864710E-1,4.367557913E-2,-1.298050396E-3,6.429167092E-2
4.527962620E-1,4.978405312E-2,1.259872504E-2,6.490252167E-2
4.729061060E-1,4.657710344E-2,-1.756185899E-3,5.344913527E-2
4.930158980E-1,2.107422985E-2,-5.879404955E-3,2.748812735E-2
5.131256890E-1,-1.343864016E-2,-9.239064530E-3,-1.527118147E-3
5.332354810E-1,-4.657710344E-2,1.977618039E-2,-2.321219631E-2
5.533452730E-1,-6.642963737E-2,6.131379306E-2,-2.000524849E-2
5.734551160E-1,-8.261708915E-2,6.726955622E-2,-1.527118124E-2
5.935649080E-1,-9.895725548E-2,6.879667193E-2,-1.557660475E-2
6.136747000E-1,-1.137702987E-1,8.345700800E-2,-1.023169141E-2
6.337844910E-1,-1.015533581E-1,9.994988143E-2,5.497625098E-3
6.538942830E-1,-8.704573661E-2,9.872818738E-2,-7.330167107E-3
6.740041270E-1,-1.084253863E-1,1.010188684E-1,-3.603998944E-2
6.941139190E-1,-1.944021434E-1,1.011715755E-1,-4.902049154E-2
7.142237100E-1,-2.988570333E-1,9.933903813E-2,-2.794626169E-2
7.343335020E-1,-3.755183518E-1,1.072800532E-1,-1.817270555E-2
7.544432940E-1,-3.910949528E-1,1.416402012E-1,-1.924168877E-2
7.745531370E-1,-3.652866483E-1,1.248419061E-1,-1.450762246E-2
7.946629290E-1,-2.974826097E-1,1.318666488E-1,-6.108472589E-4
8.147727210E-1,-2.385358512E-1,1.202605516E-1,-3.878879920E-2
8.348825120E-1,-1.960819662E-1,1.210241169E-1,-8.338065445E-2
8.549923560E-1,-1.478250325E-1,9.765920788E-2,-1.096470803E-1
8.751021480E-1,-1.000262350E-1,1.104869992E-1,-1.230857223E-1
8.952119390E-1,-7.437065244E-2,1.511083394E-1,-1.053711548E-1
9.153217310E-1,-3.512371704E-2,2.102078199E-1,-6.841489673E-2
9.354315750E-1,-5.192201585E-3,2.770955861E-1,-4.062134400E-2
9.555413660E-1,1.786728203E-2,2.876327038E-1,-3.038965166E-2
9.756511580E-1,-8.704573661E-2,3.725404739E-1,2.336490750E-1
9.957609500E-1,-2.443388999E-1,2.257844210E-1,3.246653080E-1
1.015870741E0,-3.080197275E-1,1.356844455E-1,1.945548505E-1
1.035980585E0,-2.806843221E-1,1.080436110E-1,9.727742523E-2
1.056090377E0,-1.730224788E-1,5.719057471E-2,6.597150117E-2
1.076200169E0,-1.328592747E-2,-1.824906096E-2,5.467082933E-2
1.096309960E0,1.675248593E-1,-1.068219170E-1,5.589252338E-2
1.116419752E0,3.425326049E-1,-1.734042615E-1,8.353336155E-2
1.136529596E0,4.743228853E-1,-2.241045833E-1,1.072036922E-1
1.156639387E0,4.787515402E-1,-2.372378111E-1,4.550812021E-2
1.176749179E0,4.202629030E-1,-2.590755820E-1,-3.665083554E-3
1.196858971E0,3.744493723E-1,-1.396549493E-1,-2.458660305E-2
1.216968814E0,3.436015844E-1,-5.138752609E-2,-5.207473040E-2
1.237078606E0,2.825168669E-1,-4.039227590E-2,-6.734590977E-2
1.257188398E0,1.756185889E-1,-2.405211143E-2,-3.115320951E-2
1.277298189E0,7.330167294E-2,-5.413633958E-2,1.679830020E-3
1.297408033E0,5.696150661E-2,-1.049893722E-1,-1.985253580E-2
1.317517825E0,8.796200156E-2,-1.091125906E-1,-6.673506647E-2
1.337627616E0,9.040539712E-2,-8.391514421E-2,-8.353336155E-2
1.357737408E0,7.696675509E-2,-4.497363046E-2,-4.504998401E-2
1.377847252E0,7.131642103E-2,2.603736520E-2,-1.969982497E-2
1.397957044E0,6.139015034E-2,1.216349602E-1,-3.863608837E-2
1.418066835E0,6.093201414E-2,1.010188684E-1,-5.192201585E-3
1.438176627E0,1.235438585E-1,8.399150101E-4,5.833591148E-2
1.458286419E0,2.330382317E-1,-2.359397523E-2,1.064401343E-1
