"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.378705000E-2,-2.931207791E-2,3.382853031E0,9.924830437E0
3.389684200E-2,1.645065546E-1,3.592225075E0,8.664410591E0
5.400658200E-2,3.762713671E-1,3.475574970E0,8.562715530E0
7.411632100E-2,2.961117923E-1,3.503092289E0,9.269196510E0
9.422606100E-2,3.266202807E-1,3.549154282E0,9.760323524E0
1.143358520E-1,4.067798555E-1,3.568296671E0,9.704092026E0
1.344455920E-1,4.701896608E-1,3.676572084E0,9.230911255E0
1.545553320E-1,4.091726840E-1,3.802195072E0,8.821140289E0
1.746650710E-1,3.678964674E-1,3.716053486E0,8.874979019E0
1.947748110E-1,4.474578202E-1,3.538386583E0,9.240483284E0
2.148846020E-1,6.759724021E-1,3.530011654E0,9.591031075E0
2.349943420E-1,8.524430394E-1,3.547957659E0,9.646664619E0
2.551040820E-1,8.877372146E-1,3.526422262E0,9.531808853E0
2.752138730E-1,8.638089895E-1,3.560520172E0,9.391828537E0
2.953236130E-1,8.847461939E-1,3.602394581E0,9.235098839E0
3.154333520E-1,8.913264275E-1,3.649054527E0,9.028717995E0
3.355430920E-1,8.368897438E-1,3.696312666E0,8.888139725E0
3.556528320E-1,7.926225066E-1,3.684348583E0,8.903693199E0
3.757626230E-1,7.591229677E-1,3.642474174E0,9.077771187E0
3.958723630E-1,6.759724021E-1,3.576671600E0,9.319445610E0
4.159821020E-1,5.539384484E-1,3.516851187E0,9.416953087E0
4.360918420E-1,4.875376225E-1,3.514458179E0,9.342177391E0
4.562016340E-1,4.480560422E-1,3.583850145E0,9.184849739E0
4.763113730E-1,5.365904570E-1,3.577269793E0,9.143573761E0
4.964211130E-1,7.082754970E-1,3.513859987E0,9.296115875E0
5.165308520E-1,7.764709592E-1,3.502494097E0,9.375677109E0
5.366406440E-1,6.209374666E-1,3.541975737E0,9.357132912E0
5.567503840E-1,5.192425251E-1,3.589233875E0,9.263813019E0
5.768601230E-1,5.467599630E-1,3.590430260E0,9.233902931E0
5.969699150E-1,5.742774606E-1,3.576073408E0,9.323035240E0
6.170796540E-1,4.689932466E-1,3.498904943E0,9.393623352E0
6.371893940E-1,3.433700502E-1,3.486940861E0,9.384052277E0
6.572991340E-1,3.068794906E-1,3.495913982E0,9.355338097E0
6.774089250E-1,3.684946895E-1,3.494119167E0,9.353543282E0
6.975186650E-1,4.127618968E-1,3.476771355E0,9.306285858E0
7.176284040E-1,4.013960063E-1,3.514458179E0,9.193822861E0
7.377381960E-1,2.937189937E-1,3.581457376E0,9.031110764E0
7.578479360E-1,2.099701911E-1,3.674777269E0,8.935996056E0
7.779576750E-1,2.895315289E-1,3.658625841E0,8.874979019E0
7.980674670E-1,3.182454109E-1,3.589832067E0,9.014959335E0
8.181772070E-1,3.194418252E-1,3.513261795E0,9.181260109E0
8.382869460E-1,2.099701911E-1,3.492324591E0,9.227920532E0
8.583966860E-1,1.172483116E-1,3.522234917E0,9.176474571E0
8.785064770E-1,1.184447184E-1,3.529413462E0,9.158528328E0
8.986162170E-1,1.597209126E-1,3.558725595E0,9.282955170E0
9.187259570E-1,3.667000830E-1,3.565305710E0,9.352945328E0
9.388357480E-1,4.731806815E-1,3.548556089E0,9.355937004E0
9.589454880E-1,4.552344978E-1,3.538984776E0,9.308079720E0
9.790552270E-1,4.450650215E-1,3.511467218E0,9.322437286E0
9.991650190E-1,5.300102234E-1,3.470789194E0,9.390034676E0
1.019274759E0,5.880361795E-1,3.460021496E0,9.387042999E0
1.039384498E0,5.431707501E-1,3.503690481E0,9.281759262E0
1.059494290E0,5.006981492E-1,3.570091486E0,9.096913338E0
1.079604029E0,4.935196638E-1,3.598805189E0,9.099904060E0
1.099713769E0,4.725824594E-1,3.514458179E0,9.172885895E0
1.119823561E0,3.672982752E-1,3.425923824E0,9.259027481E0
1.139933300E0,2.386840582E-1,3.397209883E0,9.272786140E0
1.160043040E0,1.746760458E-1,3.377469063E0,9.337990761E0
1.180152832E0,2.129612118E-1,3.303291559E0,9.441479683E0
1.200262571E0,1.998006850E-1,3.245265722E0,9.544969559E0
1.220372311E0,1.603191197E-1,3.224926710E0,9.584450722E0
1.240482102E0,1.429711580E-1,3.253042459E0,9.585647583E0
1.260591842E0,1.369891018E-1,3.257229805E0,9.623932838E0
1.280701582E0,9.511470050E-2,3.262015581E0,9.659825325E0
