"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.670678600E-2,-3.410054743E-1,-3.130592173E-3,-1.832541823E-2
5.681652500E-2,2.168507688E-2,5.084539652E-1,-1.501157135E-1
7.692631700E-2,2.539597452E-1,3.908658922E-1,-1.363716573E-1
9.703605600E-2,-1.716480851E-1,1.397313084E-2,-3.527642787E-2
1.171458480E-1,-5.873296261E-1,6.253548712E-2,9.055810422E-2
1.372555880E-1,-4.483618736E-1,3.281013370E-1,-3.970507160E-2
1.573653790E-1,-3.817795310E-3,5.900021195E-1,-2.446443290E-1
1.774751190E-1,2.000524700E-1,4.966951907E-1,-2.105895877E-1
1.975849110E-1,1.287360638E-1,2.190651000E-1,-1.253764033E-1
2.176947020E-1,3.787253052E-2,8.238802105E-2,-5.085303262E-2
2.378044420E-1,8.093725890E-3,2.237228118E-2,-2.290677279E-3
2.579142340E-1,3.145863488E-2,6.482616812E-2,4.886778072E-3
2.780239730E-1,5.192201585E-2,1.395022422E-1,-1.313321572E-2
2.981337650E-1,5.573981255E-2,1.868429035E-1,-1.801999472E-2
3.182435040E-1,4.703523964E-2,2.205922157E-1,-2.061609551E-2
3.383532960E-1,2.962609194E-2,1.912715435E-1,-3.038965166E-2
3.584630360E-1,1.374406368E-2,1.504974961E-1,-2.046338283E-2
3.785728270E-1,-1.511846948E-2,7.108735293E-2,4.886778072E-3
3.986826190E-1,-3.512371704E-2,-2.290677221E-4,3.038965166E-2
4.187923590E-1,-2.809897438E-2,-9.391776286E-3,3.527642787E-2
4.389021500E-1,5.039489828E-3,-3.894151188E-3,2.244863659E-2
4.590118900E-1,4.581354558E-2,-7.711946499E-3,1.588202827E-2
4.791216810E-1,5.909947306E-2,-2.756448276E-2,3.542914242E-2
4.992314210E-1,6.215370819E-2,-3.336753324E-2,6.566607952E-2
5.193412130E-1,7.620319724E-2,1.611109637E-2,5.940489471E-2
5.394509520E-1,8.689302206E-2,6.956022978E-2,3.939964995E-2
5.595607440E-1,6.688777357E-2,5.322006717E-2,3.405473381E-2
5.796704840E-1,2.260134928E-2,-1.763821393E-2,4.352286831E-2
5.997802750E-1,-1.618745178E-2,-4.329380020E-2,3.374931216E-2
6.198900670E-1,-2.901524492E-2,-1.687465608E-2,8.246437646E-3
6.399998060E-1,-2.168507688E-2,1.458397787E-2,-2.901524538E-3
6.601095980E-1,-1.175880991E-2,2.206685767E-2,3.054236295E-3
6.802193380E-1,-2.290677279E-3,-1.107160654E-2,2.611372061E-2
7.003291290E-1,-3.206948051E-3,-2.023431472E-2,2.550287358E-2
7.204388690E-1,-1.695101149E-2,-2.977880416E-3,2.443389036E-3
7.405486610E-1,-2.657185495E-2,1.901262067E-2,-7.482878864E-3
7.606584000E-1,-3.405473381E-2,3.153498843E-2,-4.886778072E-3
7.807681920E-1,-3.023693897E-2,2.863346599E-2,1.068982668E-2
8.008779840E-1,-3.527642787E-2,9.239064530E-3,2.550287358E-2
8.209877230E-1,-4.459185153E-2,-2.542651631E-2,3.100049868E-2
8.410975150E-1,-3.603998944E-2,-4.940227047E-2,2.626643144E-2
8.612072540E-1,-8.551862091E-3,-4.436278343E-2,1.817270555E-2
8.813170460E-1,2.626643144E-2,-1.137703005E-2,2.336490713E-2
9.014267860E-1,3.802524135E-2,-7.635590737E-5,2.641914412E-2
9.215365770E-1,4.886778072E-3,-1.908897655E-3,1.939439960E-2
9.416463170E-1,-3.100049868E-2,3.199312463E-2,8.399149403E-3
9.617561090E-1,-3.924693540E-2,6.772769243E-2,-7.635590620E-3
