"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.588693300E-2,4.821537733E-1,3.589233875E0,9.110074043E0
3.599636100E-2,1.506880045E0,3.389433384E0,8.390432358E0
5.610578800E-2,8.075776696E-1,3.771088600E0,8.761918068E0
7.621516300E-2,7.788637877E-1,3.636492252E0,9.085547447E0
9.632459000E-2,1.010967612E0,3.448057413E0,9.202795982E0
1.164340170E-1,8.458628058E-1,3.520440340E0,9.473184586E0
1.365434440E-1,7.345965505E-1,3.483351469E0,9.624530792E0
1.566528710E-1,7.052844763E-1,3.418147087E0,9.525228500E0
1.767622460E-1,6.658028960E-1,3.421138287E0,9.197412491E0
1.968716730E-1,5.874379873E-1,3.466601849E0,8.841479301E0
2.169811000E-1,5.425725579E-1,3.500101328E0,8.753543854E0
2.370905270E-1,5.132604837E-1,3.532404423E0,8.923434258E0
2.571999540E-1,4.995017350E-1,3.488137245E0,9.180662155E0
2.773093810E-1,4.528416991E-1,3.422334671E0,9.399605751E0
2.974187560E-1,3.625126183E-1,3.383451223E0,9.567103386E0
3.175281830E-1,2.362912297E-1,3.321835995E0,9.610772133E0
3.376376110E-1,2.249253243E-1,3.285345554E0,9.646066666E0
3.577470380E-1,2.745763958E-1,3.337389469E0,9.615557671E0
3.778564650E-1,3.361915946E-1,3.379862070E0,9.565906525E0
3.979658920E-1,5.395814776E-1,3.379862070E0,9.458230019E0
4.180752670E-1,5.431707501E-1,3.443870068E0,9.323633194E0
4.381846940E-1,2.835494876E-1,3.521636724E0,9.205786705E0
4.582941210E-1,2.111666054E-1,3.521038532E0,9.131608963E0
4.784035480E-1,3.092723191E-1,3.437289715E0,9.230911255E0
4.985129230E-1,5.904290080E-1,3.378067255E0,9.378668785E0
5.186223500E-1,8.494520187E-1,3.455235958E0,9.370293617E0
5.387317770E-1,8.470591903E-1,3.622733593E0,9.059226990E0
5.588412040E-1,6.059823632E-1,3.707678795E0,8.723632812E0
5.789506310E-1,3.601198196E-1,3.702294827E0,8.697312355E0
5.990600060E-1,1.782652885E-1,3.611367464E0,9.024530411E0
6.191694330E-1,1.345962733E-1,3.496512175E0,9.428917885E0
6.392788610E-1,1.088734269E-1,3.443870068E0,9.683155060E0
6.593882880E-1,2.991028316E-2,3.463012457E0,9.645467758E0
6.794976630E-1,9.631111473E-2,3.430111170E0,9.577870369E0
6.996070900E-1,2.111666054E-1,3.370888948E0,9.689735413E0
7.197165170E-1,1.674975902E-1,3.326621771E0,9.837491989E0
7.398259440E-1,1.429711580E-1,3.314059258E0,9.814760208E0
7.599353190E-1,1.190429255E-1,3.354737282E0,9.565308571E0
7.800447460E-1,1.130608693E-1,3.385843992E0,9.309276581E0
8.001541730E-1,1.435693651E-1,3.400201082E0,9.239286423E0
8.202636000E-1,2.494517565E-1,3.445664644E0,9.231510162E0
8.403729750E-1,4.025924206E-1,3.463610888E0,9.151947975E0
8.604824020E-1,4.809573591E-1,3.476771355E0,9.102297783E0
8.805918290E-1,5.096712112E-1,3.461217880E0,9.120841980E0
9.007012040E-1,4.851447940E-1,3.412763357E0,9.144171715E0
9.208106310E-1,3.912265003E-1,3.384049416E0,9.184251785E0
9.409200580E-1,3.882354796E-1,3.375076294E0,9.229715347E0
9.610294860E-1,3.792623878E-1,3.384049416E0,9.174081802E0
9.811388610E-1,2.673979402E-1,3.423531055E0,9.111269951E0
1.001248288E0,2.596212626E-1,3.412763357E0,9.156135559E0
1.021357715E0,2.518445849E-1,3.413361549E0,9.268000603E0
1.041467090E0,1.645065546E-1,3.415754318E0,9.318249702E0
1.061576517E0,1.728814393E-1,3.421138287E0,9.336793900E0
1.081685944E0,1.633101404E-1,3.468396425E0,9.375677109E0
1.101795371E0,2.105683982E-1,3.457030535E0,9.370293617E0
1.121904746E0,2.279163599E-1,3.495913982E0,9.315258980E0
1.142014173E0,2.709871531E-1,3.534797192E0,9.208179474E0
1.162123600E0,2.153540403E-1,3.530609846E0,9.148957253E0
1.182232975E0,1.627119333E-1,3.475574970E0,9.173483849E0
1.202342402E0,1.902294010E-1,3.442673683E0,9.343972206E0
1.222451829E0,2.243271172E-1,3.439084291E0,9.466604233E0
1.242561204E0,2.751746178E-1,3.453441381E0,9.445069313E0
1.262670631E0,2.715853751E-1,3.489333630E0,9.291928291E0
1.282780058E0,2.829512656E-1,3.481556892E0,9.159725189E0
1.302889433E0,2.638086975E-1,3.471387386E0,9.125029564E0
1.322998861E0,2.578266263E-1,3.462414265E0,9.175876617E0
1.343108288E0,2.793620527E-1,3.470789194E0,9.284152031E0
1.363217663E0,3.134597540E-1,3.470191002E0,9.351749420E0
1.383327090E0,3.696911037E-1,3.464209080E0,9.313464165E0
1.403436517E0,3.780659735E-1,3.436093330E0,9.270991325E0
1.423545892E0,2.889333367E-1,3.480958700E0,9.247062683E0
1.443655319E0,2.913261652E-1,3.511467218E0,9.168100357E0
1.463764746E0,3.708875179E-1,3.448655605E0,9.232706070E0
1.483874121E0,4.151547253E-1,3.384647608E0,9.425328255E0
1.503983548E0,3.678964674E-1,3.371487141E0,9.452247620E0
1.524092975E0,3.320041299E-1,3.444468260E0,9.328418732E0
1.544202350E0,3.948157430E-1,3.514458179E0,9.104690552E0
1.564311777E0,3.487538993E-1,3.485744476E0,8.929415703E0
1.584421204E0,2.650051117E-1,3.409173965E0,9.058030128E0
1.604530579E0,3.445664644E-1,3.353540897E0,9.367900848E0
1.624640006E0,3.714857101E-1,3.315854073E0,9.565906525E0
1.644749381E0,3.583251834E-1,3.326023579E0,9.574281693E0
1.664858808E0,3.912265003E-1,3.355933666E0,9.494720459E0
1.684968236E0,4.217349887E-1,3.379862070E0,9.408578873E0
1.705077611E0,4.241278172E-1,3.364308596E0,9.329017639E0
1.725187038E0,3.541377485E-1,3.314059258E0,9.332606316E0
1.745296465E0,2.835494876E-1,3.281157970E0,9.378668785E0
1.765405840E0,1.704886109E-1,3.260220766E0,9.459425926E0
1.785515267E0,8.135596663E-2,3.200998545E0,9.532406807E0
1.805624642E0,9.212367237E-2,3.177070379E0,9.513862610E0
1.825734069E0,-4.067798331E-2,3.248256683E0,9.368498802E0
1.845843496E0,-1.764706671E-1,3.327219963E0,9.221938133E0
1.865952871E0,9.032905847E-2,3.394218922E0,9.363115311E0
1.886062298E0,5.048855543E-1,3.406183004E0,9.694520950E0
1.906171673E0,7.190431952E-1,3.355335474E0,9.736394882E0
1.926281100E0,5.204389095E-1,3.318845034E0,9.547362328E0
1.946390475E0,2.901297510E-1,3.285943747E0,9.437292099E0
1.966499902E0,2.099701911E-1,3.211168051E0,9.474381447E0
1.986609329E0,2.446661144E-1,3.159722328E0,9.448060036E0
2.006718704E0,3.086741269E-1,3.135195971E0,9.330213547E0
2.026828131E0,3.098705411E-1,3.212962627E0,9.211769104E0
2.046937506E0,2.416750938E-1,3.276372433E0,9.116056442E0
2.067046933E0,2.937189937E-1,3.265006542E0,9.069993973E0
2.087156308E0,3.218346536E-1,3.239881754E0,9.174081802E0
2.107265736E0,2.913261652E-1,3.196810961E0,9.323633194E0
2.127375111E0,2.781656384E-1,3.136392355E0,9.334999084E0
2.147484538E0,2.219343036E-1,3.173480988E0,9.206384659E0
2.167593965E0,1.758724600E-1,3.224328518E0,9.156734467E0
2.187703340E0,1.794617027E-1,3.236890793E0,9.201599121E0
2.207812767E0,2.518445849E-1,3.272783279E0,9.275776863E0
2.227922142E0,3.176472187E-1,3.323032379E0,9.264410973E0
2.248031569E0,2.560320199E-1,3.372683525E0,9.239286423E0
2.268140944E0,1.734796464E-1,3.344567776E0,9.326025963E0
2.288250371E0,1.387837082E-1,3.303889751E0,9.464810371E0
2.308359746E0,2.093719840E-1,3.260220766E0,9.640682220E0
2.328469173E0,2.853440940E-1,3.259024382E0,9.716055870E0
