"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.962491100E-2,-1.452289373E-1,1.434727460E-1,2.336490713E-2
4.973444200E-2,-3.173351586E-1,2.239518762E-1,-3.390202299E-2
6.984397300E-2,-4.126273096E-1,1.969218850E-1,-4.169032723E-2
8.995355600E-2,-3.584146202E-1,1.391968131E-1,-4.917320609E-2
1.100630880E-1,-2.490729690E-1,7.475243509E-2,-1.178935245E-1
1.301726710E-1,-1.394258887E-1,6.925480813E-2,-1.201841980E-1
1.502822020E-1,-6.413896382E-2,5.123481527E-2,-1.152974218E-1
1.703917330E-1,-3.588727489E-2,1.007134393E-1,-1.206423342E-1
1.905013170E-1,-5.024218559E-2,1.297286898E-1,-1.119377613E-1
2.106108480E-1,-8.093725890E-2,1.013242900E-1,-8.704573661E-2
2.307204310E-1,-9.376505762E-2,8.681666851E-2,-4.840964451E-2
2.508299630E-1,-8.246438205E-2,6.742226332E-2,-1.924168877E-2
2.709394940E-1,-5.528167635E-2,2.725905925E-2,-9.926267900E-3
2.910490770E-1,-4.153761268E-2,2.741177008E-2,-3.054236295E-3
3.111586080E-1,-3.374931216E-2,6.146650389E-2,4.886778072E-3
3.312681400E-1,-2.046338283E-2,9.307785332E-2,-1.588202827E-2
3.513777230E-1,-3.970507160E-2,1.086544544E-1,-5.925218388E-2
3.714872540E-1,-6.413896382E-2,1.123195365E-1,-6.398624927E-2
3.915968380E-1,-5.787777901E-2,9.048175067E-2,-4.428642616E-2
4.117063690E-1,5.650337320E-3,7.307260484E-2,-1.236965694E-2
4.318159000E-1,8.124268800E-2,8.177717775E-2,1.542389300E-2
4.519254830E-1,1.157555580E-1,9.872818738E-2,3.634541109E-2
4.720350150E-1,1.035386100E-1,5.825955793E-2,2.672456764E-2
4.921445460E-1,9.116895497E-2,3.168770298E-2,1.527118124E-2
5.122541290E-1,9.025268257E-2,-5.421269219E-3,2.092151903E-2
5.323636610E-1,1.097997949E-1,-2.069245093E-2,3.283303976E-2
5.524731920E-1,1.430909634E-1,-8.780929260E-3,2.641914412E-2
5.725827750E-1,1.470614821E-1,1.244601328E-2,-1.740914769E-2
5.926923060E-1,1.172826737E-1,1.992889121E-2,-5.879404768E-2
6.128018380E-1,6.398624927E-2,3.000787087E-2,-7.452336699E-2
6.329114210E-1,1.313321572E-2,1.397313084E-2,-7.146912813E-2
6.530209520E-1,-3.359660041E-3,-5.879404955E-3,-5.909947306E-2
6.731304830E-1,1.832541823E-2,-1.656923257E-2,-5.253286287E-2
6.932400670E-1,3.878879920E-2,-2.710634656E-2,-6.933116168E-2
7.133495980E-1,3.283303976E-2,-3.352024406E-2,-9.666658193E-2
7.334591290E-1,2.794626169E-2,8.780929260E-3,-1.030804738E-1
7.535687130E-1,2.840439789E-2,5.215108395E-2,-1.052184403E-1
7.736782440E-1,3.329117596E-2,8.391514421E-2,-1.154501289E-1
7.937877750E-1,2.473931387E-2,4.970769584E-2,-8.643488586E-2
8.138973580E-1,6.872031838E-3,-1.611109637E-2,-1.175880991E-2
8.340068900E-1,5.192201585E-3,-4.436278343E-2,5.909947306E-2
8.541164210E-1,1.832541777E-3,-3.718532622E-2,8.124268800E-2
8.742260040E-1,-7.528692484E-2,-1.504211407E-2,3.283303976E-2
8.943355360E-1,-2.786990702E-1,1.779092662E-2,-4.550812021E-2
9.144450670E-1,-5.230379701E-1,8.192989230E-2,-5.115845799E-2
9.345545980E-1,-6.015318632E-1,1.292705536E-1,3.970507160E-2
9.546641810E-1,-4.932591617E-1,1.634780020E-1,7.956285775E-2
9.747737130E-1,-2.757975459E-1,1.014770046E-1,1.389677543E-2
9.948832440E-1,-5.192201585E-3,-1.603474026E-3,-6.230641901E-2
1.014992827E0,2.058555335E-1,-4.191939160E-2,-7.788302749E-2
1.035102358E0,2.736595869E-1,-8.696937561E-2,-6.688777357E-2
1.055211890E0,2.029540092E-1,-8.101361990E-2,-2.947338112E-2
1.075321421E0,6.948387623E-2,-3.382566571E-2,1.710372418E-2
1.095431004E0,-2.733541466E-2,1.107160654E-2,4.810422286E-2
1.115540536E0,-4.001049697E-2,5.459447205E-2,6.688777357E-2
1.135650067E0,4.428642802E-3,5.642701685E-2,8.139539510E-2
1.155759650E0,3.451287001E-2,3.275668249E-2,7.681404054E-2
1.175869181E0,2.626643144E-2,1.756185899E-3,6.032116711E-2
1.195978713E0,3.359660041E-3,-1.733279042E-2,3.420744836E-2
1.216088244E0,-5.497625098E-3,-1.458397787E-2,2.061609551E-2
1.236197827E0,2.901524538E-3,-1.046075951E-2,3.069507517E-2
1.256307358E0,2.596100792E-2,-2.176143415E-2,3.619270027E-2
1.276416890E0,4.443913698E-2,-1.473669056E-2,3.451287001E-2
1.296526473E0,4.184303805E-2,-1.534753758E-2,4.230117425E-2
1.316636004E0,3.405473381E-2,-1.779092662E-2,4.993676394E-2
1.336745536E0,4.046862945E-2,-1.290414855E-2,5.222744122E-2
1.356855067E0,5.314370990E-2,-1.908897655E-3,5.864133686E-2
1.376964650E0,3.390202299E-2,-1.656923257E-2,4.688252881E-2
1.397074181E0,-1.343864016E-2,-3.947600350E-2,1.786728203E-2
1.417183713E0,-4.474456236E-2,-2.512109280E-2,-0.000000000E0
1.437293244E0,-4.459185153E-2,2.405211143E-2,1.221694518E-3
1.457402827E0,-6.108472496E-2,5.077667907E-2,1.985253533E-3
1.477512358E0,-1.041494608E-1,3.245126083E-2,1.145338640E-2
1.497621890E0,-1.330119967E-1,5.115845706E-3,3.237490356E-2
1.517731421E0,-1.125486046E-1,-5.344913807E-4,4.825693369E-2
1.537840952E0,-7.360709459E-2,2.977880416E-3,3.451287001E-2
1.557950536E0,-3.756710514E-2,2.290677221E-4,5.192201585E-3
1.578060067E0,-1.191152167E-2,-1.908897655E-3,-2.321219631E-2
1.598169598E0,-6.872031838E-3,-1.504211407E-2,-4.275930673E-2
1.618279129E0,-1.542389300E-2,-1.580567285E-2,-4.443913698E-2
1.638388713E0,-3.054236248E-2,-1.290414855E-2,-3.237490356E-2
1.658498244E0,-4.535540938E-2,-2.771719359E-2,-3.206948191E-2
1.678607775E0,-5.329642445E-2,-1.870719716E-2,-3.726168349E-2
1.698717306E0,-5.971032009E-2,-1.259872504E-2,-4.352286831E-2
1.718826890E0,-7.009471953E-2,-1.382041909E-2,-4.917320609E-2
1.738936421E0,-7.589777559E-2,-2.160872146E-2,-5.024218559E-2
1.759045952E0,-6.612421572E-2,-3.168770298E-2,-5.467082933E-2
1.779155483E0,-4.367557913E-2,-3.107685409E-2,-6.566607952E-2
1.799265015E0,-2.183778957E-2,-2.786990628E-2,-6.933116168E-2
1.819374598E0,3.512371797E-3,-1.748550311E-2,-6.154286116E-2
1.839484129E0,1.893626526E-2,-1.030804776E-2,-4.963133857E-2
1.859593661E0,9.315420873E-3,-1.152974181E-2,-4.077405483E-2
1.879703192E0,-2.046338283E-2,-1.183516532E-2,-2.932066843E-2
1.899812723E0,-4.337015375E-2,6.490251981E-3,-1.068982668E-2
1.919922306E0,-2.840439789E-2,2.725905925E-2,4.275931045E-3
1.940031838E0,9.468132630E-3,1.458397787E-2,1.893626526E-2
1.960141369E0,2.611372061E-2,-9.239064530E-3,2.779355086E-2
1.980250900E0,1.420219894E-2,-3.817795368E-4,1.985253580E-2
2.000360431E0,-6.719320081E-3,9.544488043E-3,9.315420873E-3
2.020470015E0,-4.138490185E-2,1.122431830E-2,1.038440317E-2
2.040579546E0,-7.910472155E-2,6.948387716E-3,9.926267900E-3
2.060689077E0,-1.058292910E-1,7.406522986E-3,-7.024743594E-3
2.080798608E0,-1.443126649E-1,1.611109637E-2,-2.657185495E-2
2.100908140E0,-1.766875684E-1,3.413109109E-2,-4.123218823E-3
2.121017723E0,-1.485885978E-1,6.772769243E-2,2.764083818E-2
2.141127254E0,-7.986827940E-2,8.223531395E-2,3.405473381E-2
2.161236786E0,-3.329117596E-2,4.390464723E-2,3.023693897E-2
2.181346317E0,-3.649812192E-2,-3.642176837E-2,3.665083554E-3
2.201455848E0,-8.872556686E-2,-7.261446863E-2,-4.031591862E-2
2.221565431E0,-2.038702667E-1,-9.239064530E-3,-6.245913357E-2
2.241674963E0,-2.965663373E-1,3.306210786E-2,1.725643501E-2
2.261784494E0,-7.345438004E-2,4.023956135E-2,1.548497826E-1
2.281894025E0,1.543916464E-1,-1.183516532E-2,1.441599578E-1
2.302003556E0,3.020639718E-1,-1.014770046E-1,6.093201414E-2
2.322113140E0,3.348970115E-1,-1.989071369E-1,-5.955760926E-2
2.342222671E0,2.727433145E-1,-2.068481594E-1,-1.111742035E-1
2.362332202E0,1.768402755E-1,-1.865374744E-1,-1.214058921E-1
2.382441733E0,9.513945878E-2,-1.324774921E-1,-1.294996142E-1
2.402551265E0,6.474980712E-2,-1.387386769E-1,-1.012479365E-1
2.422660796E0,1.377460510E-1,-2.222720534E-1,-5.222744122E-2
2.442770379E0,2.742704153E-1,-3.044309914E-1,-8.536590636E-2
2.462879911E0,3.619270027E-1,-3.462740481E-1,-1.675248593E-1
2.482989442E0,3.025220931E-1,-3.058054149E-1,-2.115058601E-1
2.503098973E0,1.285833418E-1,-1.155264899E-1,-2.024958730E-1
2.523208504E0,-1.162136942E-1,5.230379477E-2,-2.070772201E-1
2.543318088E0,-3.402419090E-1,2.430408597E-1,-7.299624383E-2
2.563427619E0,-4.596625566E-1,2.891598344E-1,2.278460264E-1
2.583537150E0,-5.039489865E-1,7.933378965E-2,1.913478971E-1
2.603646681E0,-3.996468186E-1,-4.810422193E-3,2.183778957E-2
2.623756213E0,-1.940967143E-1,-8.299887180E-2,-1.275143623E-1
2.643865744E0,1.603474095E-2,-1.153737754E-1,-2.486148328E-1
2.663975275E0,1.391204596E-1,-1.503447890E-1,-3.141281903E-1
2.684084858E0,1.745496094E-1,-1.738623977E-1,-3.075616062E-1
2.704194390E0,1.504211426E-1,-1.417929232E-1,-2.116585821E-1
2.724303921E0,7.910472155E-2,-1.011715755E-1,-9.269607067E-2
2.744413452E0,-9.009997360E-3,-1.733279042E-2,1.527118147E-4
2.764522983E0,-7.085828483E-2,3.817795368E-4,5.971032009E-2
2.784632515E0,-7.467607409E-2,-5.138752609E-2,5.757235363E-2
2.804742046E0,-6.719320081E-3,-9.506310523E-2,6.108472589E-3
2.824851629E0,1.244601309E-1,-1.544679999E-1,-4.718795046E-2
2.844961161E0,2.562504113E-1,-2.384594977E-1,-5.803048983E-2
2.865070692E0,3.356605768E-1,-2.557159364E-1,-3.985778242E-2
2.885180223E0,3.550549746E-1,-2.103605270E-1,-6.719319522E-2
2.905289754E0,3.439069986E-1,-1.718771458E-1,-1.177408099E-1
2.925399286E0,3.629959822E-1,-1.931804419E-2,-1.128540337E-1
2.945508869E0,3.271087110E-1,1.689756215E-1,-1.094943732E-1
2.965618400E0,2.325800955E-1,2.005869746E-1,-8.796200156E-2
2.985727931E0,2.170034945E-1,4.527905211E-2,-9.804098308E-2
3.005837463E0,3.559712470E-1,4.504998680E-3,-9.239064902E-2
3.025946994E0,4.860817194E-1,1.877591759E-1,-6.963659078E-2
3.046056525E0,4.631749392E-1,3.926984370E-1,7.345438004E-2
3.066166056E0,2.116585821E-1,5.218926072E-1,3.254288733E-1
3.086275640E0,-1.175880991E-2,4.046099484E-1,4.622586668E-1
3.106385171E0,-1.420219894E-2,3.587964177E-1,4.253024161E-1
3.126494702E0,-7.742489129E-2,1.804290116E-1,2.802261710E-1
3.146604233E0,-1.575985998E-1,1.445417255E-1,1.572931707E-1
3.166713765E0,-1.563768983E-1,1.459161341E-1,8.460234851E-2
3.186823296E0,-1.162136942E-1,1.992125660E-1,1.056765765E-1
3.206932827E0,-8.658760041E-2,2.034884989E-1,1.702736765E-1
3.227042358E0,-1.301104724E-1,1.387386769E-1,1.360662282E-1
3.247151942E0,-2.142546773E-1,2.241045833E-1,-9.162709117E-3
3.267261473E0,-2.771719396E-1,2.221193314E-1,-1.127013192E-1
3.287371004E0,-3.552076817E-1,2.341835648E-1,-1.415638477E-1
3.307480536E0,-3.807105422E-1,2.129566222E-1,-7.207997888E-2
3.327590067E0,-2.867927849E-1,6.956022978E-2,1.679830020E-3
3.347699598E0,-1.258345395E-1,-6.726955622E-2,1.450762246E-2
3.367809129E0,2.107422985E-2,-1.141520813E-1,5.436540768E-2
3.387918661E0,9.513945878E-2,-1.430146098E-1,2.528907657E-1
3.408028244E0,1.572931707E-1,-2.518981397E-1,3.306210935E-1
3.428137775E0,1.592784226E-1,-2.564795017E-1,2.150182426E-1
3.448247306E0,1.131594554E-1,-2.867164314E-1,1.646233350E-1
3.468356838E0,-2.443389036E-2,2.619007602E-2,1.114796251E-1
3.488466369E0,-1.320957243E-1,1.133885235E-1,1.681357026E-1
3.508575900E0,-8.414421231E-2,1.359898746E-1,2.368560284E-1
3.528685431E0,-6.398624927E-2,1.367534250E-1,2.641914487E-1
3.548794963E0,-2.014268786E-1,1.391968131E-1,5.726693198E-2
3.568904546E0,-4.763081372E-1,1.691283286E-1,-1.806580722E-1
3.589014077E0,-6.603258848E-1,2.839676142E-1,-2.777827978E-1
3.609123608E0,-5.630484819E-1,5.110501051E-1,-1.991362125E-1
3.629233140E0,-2.011214644E-1,6.300125718E-1,-1.832541777E-3
