"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.469720900E-2,-8.500502706E-1,3.148356438E0,9.025727272E0
3.480616700E-2,-3.158525825E-1,3.214757204E0,1.021017456E1
5.491517700E-2,-1.339980662E-1,3.297309637E0,1.039801121E1
7.502413600E-2,-4.701896608E-1,3.297907829E0,9.434301376E0
9.513314600E-2,-8.464609981E-1,3.221337557E0,8.739186287E0
1.152421040E-1,-8.404789567E-1,3.117847919E0,9.026923180E0
1.353511150E-1,-3.810569942E-1,3.061018467E0,1.039621639E1
1.554600730E-1,9.930214286E-2,2.994617462E0,1.041835022E1
1.755690840E-1,-1.734796353E-2,3.102892876E0,9.482157707E0
1.956780420E-1,-2.021935135E-1,3.246462107E0,8.936594009E0
2.157870520E-1,-5.024927482E-2,2.971885681E0,8.886942863E0
2.358960630E-1,6.520441920E-2,2.684746981E0,9.338588715E0
2.560050210E-1,-2.763710022E-1,2.974876642E0,1.068455124E1
2.761140310E-1,-4.971089065E-1,3.117847919E0,1.041356373E1
2.962229900E-1,-7.178468108E-1,3.039483070E0,9.387641907E0
3.163320000E-1,-6.532405615E-1,2.962912560E0,8.746963501E0
3.364409590E-1,-3.481557071E-1,3.170490026E0,8.771489143E0
3.565499690E-1,1.495514158E-2,3.299104214E0,8.788837433E0
3.766589270E-1,4.666004330E-2,3.363112211E0,8.820542336E0
3.967679380E-1,9.631111473E-2,3.060420275E0,9.047262192E0
4.168769480E-1,2.482553422E-1,2.591426849E0,9.217751503E0
4.369859060E-1,1.914258152E-1,2.501696110E0,9.552147865E0
4.570949170E-1,2.327020019E-1,2.679363251E0,9.894321442E0
4.772038750E-1,5.240281820E-1,2.781656265E0,9.812367439E0
4.973128860E-1,7.495517135E-1,2.719442844E0,9.692128181E0
5.174218440E-1,6.759724021E-1,2.682952404E0,9.588638306E0
5.375308540E-1,4.097708762E-1,2.685345173E0,9.745966911E0
5.576398650E-1,2.859423161E-1,2.453839540E0,9.768099785E0
5.777488230E-1,7.322037220E-1,2.727219582E0,9.743574142E0
5.978578340E-1,9.541380405E-1,2.995215654E0,9.567103386E0
6.179667920E-1,9.320043921E-1,2.774477959E0,9.241679192E0
6.380758020E-1,5.048855543E-1,2.757129908E0,9.463613510E0
6.581848130E-1,5.431707501E-1,2.781656265E0,9.537193298E0
6.782937710E-1,9.236295223E-1,2.713460922E0,9.582656860E0
6.984027810E-1,7.507480979E-1,2.684746981E0,9.769894600E0
7.185117400E-1,7.423732281E-1,2.636292458E0,1.002592659E1
7.386207500E-1,7.830511928E-1,2.639881611E0,9.876974106E0
7.587297610E-1,9.152546525E-1,2.724228621E0,9.303294182E0
7.788387190E-1,9.332008362E-1,2.821736097E0,9.208778381E0
7.989477290E-1,9.260223508E-1,2.769093990E0,9.525228500E0
8.190567400E-1,8.805587292E-1,2.687737942E0,9.594022751E0
8.391656980E-1,8.219345808E-1,2.639283419E0,9.594022751E0
8.592747090E-1,8.303094506E-1,2.657229662E0,9.422935486E0
8.793837190E-1,7.782655358E-1,2.618346214E0,9.451649666E0
8.994926770E-1,8.273184299E-1,2.479562521E0,9.586245537E0
9.196016880E-1,8.135597110E-1,2.609373093E0,9.676574707E0
9.397106980E-1,7.986045480E-1,2.653640270E0,9.736394882E0
9.598196560E-1,7.872386575E-1,2.452643156E0,9.885348320E0
9.799286670E-1,6.472585201E-1,2.444866419E0,9.798010826E0
1.000037677E0,6.927221417E-1,2.510071039E0,9.546764374E0
1.020146636E0,1.050449133E0,2.711666346E0,8.916853905E0
1.040255646E0,8.548358679E-1,2.776272535E0,9.061619759E0
1.060364656E0,7.633104324E-1,2.490928411E0,9.635896683E0
1.080473667E0,8.027920127E-1,2.298904419E0,9.949356079E0
1.100582625E0,6.915257573E-1,2.385046005E0,9.824930191E0
1.120691636E0,8.751748800E-1,2.574079037E0,9.450452805E0
1.140800646E0,9.242277741E-1,2.574677229E0,9.444471359E0
1.160909604E0,9.637092948E-1,2.471785784E0,9.616754532E0
1.181018615E0,9.038887620E-1,2.414358139E0,9.653842926E0
1.201127625E0,6.406782866E-1,2.377867460E0,9.818947792E0
1.221236584E0,8.213363886E-1,2.368894339E0,9.699306488E0
1.241345594E0,9.900303483E-1,2.476571321E0,9.474979401E0
1.261454604E0,9.098708034E-1,2.474776745E0,9.510273933E0
1.281563615E0,8.069794178E-1,2.379662037E0,9.613762856E0
1.301672573E0,8.937192559E-1,2.444866419E0,9.497711182E0
1.321781584E0,8.829515576E-1,2.513660192E0,9.416355133E0
1.341890594E0,7.405785918E-1,2.484348059E0,9.461220741E0
1.361999604E0,7.328019142E-1,2.458625317E0,9.537193298E0
1.382108563E0,8.327022791E-1,2.413161755E0,9.649057388E0
1.402217573E0,8.913264275E-1,2.459223509E0,9.687940598E0
1.422326584E0,8.781659007E-1,2.484348059E0,9.555138588E0
1.442435594E0,9.050851464E-1,2.418545485E0,9.307481766E0
1.462544552E0,9.840483069E-1,2.514856577E0,9.156734467E0
1.482653563E0,1.016351461E0,2.481955290E0,9.229715347E0
1.502762573E0,1.209571838E0,2.263610125E0,9.588040352E0
1.522871584E0,1.174277663E0,2.131406784E0,1.004865837E1
1.542980542E0,1.119840980E0,2.105684042E0,1.011446095E1
1.563089552E0,1.124626637E0,2.126621008E0,9.662218094E0
1.583198563E0,9.702895880E-1,2.277369022E0,9.178867340E0
1.603307573E0,9.290133715E-1,2.396411896E0,8.882157326E0
1.623416584E0,1.283151150E0,2.245065928E0,9.008976936E0
1.643525542E0,1.681556106E0,1.926222205E0,1.011745262E1
1.663634552E0,1.556531072E0,1.905285001E0,1.054636574E1
1.683743563E0,1.238285661E0,2.002792597E0,1.005942631E1
1.703852573E0,1.123430252E0,2.188236237E0,9.305686951E0
1.723961584E0,1.071386337E0,2.323430777E0,9.048459053E0
1.744070594E0,1.058225870E0,2.328216314E0,9.268598557E0
1.764179552E0,1.167099237E0,2.230110645E0,9.629316330E0
1.784288563E0,1.218544960E0,2.146960020E0,9.927821159E0
1.804397573E0,1.141376376E0,2.075773716E0,9.967302322E0
1.824506584E0,1.145563841E0,2.060818434E0,9.632905960E0
1.844615594E0,1.106082320E0,2.216950178E0,9.313464165E0
1.864724604E0,9.517452121E-1,2.346760750E0,9.391230583E0
1.884833563E0,9.918249846E-1,2.236690998E0,1.001575756E1
1.904942573E0,1.160519004E0,2.079362869E0,1.022213840E1
1.925051584E0,1.127019525E0,2.049452543E0,9.985847473E0
1.945160594E0,8.380861282E-1,2.082952023E0,9.499505997E0
1.965269604E0,5.670989752E-1,2.166700840E0,8.937790871E0
1.985378615E0,6.329016089E-1,2.190629244E0,9.145368576E0
2.005487573E0,1.147956610E0,2.005783558E0,9.839884758E0
2.025596584E0,1.476371527E0,1.754537225E0,1.038425159E1
2.045705594E0,1.246062398E0,1.877169371E0,1.052722359E1
2.065814604E0,1.106680512E0,2.085345030E0,1.047039413E1
2.085923615E0,1.170688510E0,1.968096614E0,9.882357597E0
2.106032625E0,9.026923180E-1,2.064407825E0,9.394820213E0
2.126141636E0,7.010970116E-1,2.417349100E0,9.329615593E0
2.146250594E0,8.781659007E-1,2.334198475E0,9.468997002E0
2.166359656E0,1.131805062E0,2.175673962E0,9.686145782E0
2.186468615E0,1.237687469E0,2.115853310E0,9.615557671E0
2.206577625E0,1.153938770E0,1.994417667E0,9.349356651E0
2.226686636E0,1.103689432E0,2.062613010E0,9.326624870E0
2.246795646E0,1.115653515E0,2.286940336E0,9.286544800E0
2.266904656E0,1.185643673E0,2.280958176E0,9.083752632E0
2.287013667E0,1.355534077E0,2.056631088E0,9.154341698E0
2.307122677E0,1.543370605E0,2.075175524E0,9.584450722E0
2.327231688E0,1.465603828E0,2.235494614E0,9.982855797E0
2.347340698E0,1.343569875E0,2.490928411E0,1.003071213E1
2.367449709E0,1.201795220E0,2.468196630E0,9.662816048E0
2.387558719E0,1.097109199E0,2.477767944E0,9.379266739E0
2.407667677E0,1.006181955E0,2.586043119E0,9.515657425E0
2.427776688E0,1.228116274E0,2.438286304E0,9.651450157E0
2.447885698E0,1.438086390E0,2.226521492E0,9.839884758E0
