"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.229215600E-2,-4.263713956E-1,-2.198286504E-1,5.253286287E-2
5.240111500E-2,-2.513636351E-1,-2.741177008E-2,-5.008947477E-2
7.251012500E-2,-1.485885978E-1,2.237228118E-2,-1.050657257E-1
9.261908400E-2,-2.130329758E-1,-1.373642832E-1,-7.238540053E-2
1.127280940E-1,-3.182514310E-1,-3.835357130E-1,1.221694518E-3
1.328370520E-1,-2.070772201E-1,-4.963897467E-1,5.986303091E-2
1.529460630E-1,6.604786217E-2,-4.514924884E-1,1.084253844E-2
1.730550210E-1,1.379751265E-1,-3.528406620E-1,-6.887302548E-2
1.931640310E-1,5.344913341E-3,-1.897444278E-1,-7.482878864E-2
2.132729900E-1,-1.921114624E-1,4.558447748E-2,-5.146388337E-2
2.333820000E-1,-3.857500553E-1,1.882173121E-1,-2.840439789E-2
2.534909590E-1,-3.115321100E-1,1.104869992E-1,-6.230641901E-2
2.735999690E-1,3.115320951E-2,1.213295385E-1,-1.382041872E-1
2.937089270E-1,1.990598440E-1,-2.649549954E-2,-1.085781008E-1
3.138179380E-1,1.449998617E-1,-2.430408597E-1,1.023169141E-2
3.339268960E-1,5.283828825E-2,-4.492017925E-1,7.482878864E-2
3.540359060E-1,-2.199050039E-2,-5.858788490E-1,4.703523964E-2
3.741449170E-1,-1.218640283E-1,-5.605286956E-1,-1.664558798E-2
3.942538750E-1,-2.212794125E-1,-3.726931810E-1,-1.679829881E-2
4.143628860E-1,-3.132119179E-1,-2.372378111E-1,-2.137965523E-3
4.344718440E-1,-3.581092060E-1,-1.240783483E-1,2.993151546E-2
4.545808540E-1,-3.141281903E-1,-9.903360903E-2,4.978405312E-2
4.746898130E-1,-2.057028115E-1,-2.155527323E-1,4.275931045E-3
4.947988230E-1,-9.071081877E-2,-3.957526684E-1,-7.773031294E-2
5.149078340E-1,-1.007897966E-2,-5.099810958E-1,-1.398840249E-1
5.350167920E-1,4.459185153E-2,-5.971795321E-1,-1.082726792E-1
5.551258020E-1,9.475768358E-2,-6.888066530E-1,-9.162709117E-3
5.752347610E-1,9.124530852E-2,-5.202127695E-1,9.162709117E-3
5.953437710E-1,6.230641901E-2,-2.812187970E-1,-5.299099907E-2
6.154527810E-1,-2.443389036E-2,-1.480541080E-1,-1.113269106E-1
6.355617400E-1,-1.027750522E-1,-6.177192926E-2,-9.910997003E-2
6.556707500E-1,-1.125486046E-1,-9.078717232E-2,-1.924168877E-2
6.757797090E-1,-9.437590092E-2,-1.593547761E-1,-1.664558798E-2
6.958887190E-1,-7.101099193E-2,-1.463742703E-1,-3.176405653E-2
7.159977290E-1,-1.756185852E-2,-6.116108224E-2,1.847812906E-2
7.361066880E-1,6.604786217E-2,1.214058883E-2,4.352286831E-2
7.562156980E-1,4.978405312E-2,-2.061609412E-3,2.382304333E-2
7.763247090E-1,-4.993676394E-2,3.283303929E-3,-3.054236295E-3
7.964336670E-1,-1.036913246E-1,-1.908897655E-3,-2.702999115E-2
8.165426770E-1,-9.559759498E-2,-7.253811229E-3,-3.802524135E-2
8.366516360E-1,-6.474980712E-2,-1.702736691E-2,-3.756710514E-2
8.567606460E-1,-6.627693027E-2,1.824906096E-2,-3.161134571E-2
8.768696560E-1,-1.380514801E-1,9.949174523E-2,-2.153236605E-2
8.969786670E-1,-1.747023165E-1,1.715717167E-1,1.496575773E-2
9.170876250E-1,-1.551551968E-1,1.679066420E-1,1.557660475E-2
9.371966360E-1,-8.612946421E-2,9.139802307E-2,1.527118147E-4
9.573055940E-1,1.679829881E-2,1.733279042E-2,-4.275931045E-3
9.774146040E-1,1.135412306E-1,-1.962346770E-2,1.863084175E-2
9.975236150E-1,1.581330895E-1,-5.657972768E-2,6.276455522E-2
1.017632625E0,6.574243307E-2,-6.925480813E-2,2.305948362E-2
1.037741584E0,-1.229330078E-1,-4.818057641E-2,-4.016320780E-2
1.057850594E0,-1.966928244E-1,-5.268557463E-3,-2.733541466E-2
1.077959604E0,-1.450762302E-1,7.124006003E-2,6.413896102E-3
1.098068563E0,-5.604523420E-2,1.448471546E-1,3.665083647E-2
1.118177573E0,-4.337015375E-2,1.344627589E-1,3.787253052E-2
1.138286584E0,-9.116895497E-2,7.750124484E-2,-5.955760833E-3
1.158395542E0,-9.116895497E-2,2.420482226E-2,-3.100049868E-2
1.178504552E0,-6.520794332E-2,6.948387716E-3,-5.955760926E-2
1.198613563E0,-1.664558798E-2,1.229330152E-2,-3.191677108E-2
1.218722573E0,4.214845970E-2,3.687990457E-2,1.038440317E-2
1.238831531E0,3.985778242E-2,1.824906096E-2,-1.557660475E-2
1.258940542E0,3.206948051E-3,-5.688514933E-2,-6.291726977E-2
