"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.381340700E-2,-3.458922729E-2,-8.093725890E-2,2.817532979E-2
5.392356300E-2,-1.789018959E-1,2.489202656E-2,8.322793990E-3
7.403366700E-2,-1.679066420E-1,9.345962852E-2,1.198787708E-2
9.414382300E-2,-3.993413970E-2,5.696150661E-2,1.519482583E-2
1.142539270E-1,9.827005118E-2,9.468132630E-3,1.183516532E-2
1.343640840E-1,1.396549493E-1,-1.114796288E-2,1.443126611E-2
1.544741880E-1,9.567394853E-2,-1.068982668E-2,3.672719002E-2
1.745843440E-1,2.069245093E-2,1.359135192E-2,3.596363217E-2
1.946945000E-1,-4.650074616E-2,6.505523622E-2,1.107160654E-2
2.148046050E-1,-9.277242422E-2,9.819369763E-2,-1.091889478E-2
2.349147610E-1,-1.005607322E-1,8.185353130E-2,-2.710634656E-2
2.550248650E-1,-4.619532451E-2,9.284878522E-2,-4.772244394E-2
2.751350210E-1,1.015533600E-2,7.925742865E-2,-5.138752609E-2
2.952451250E-1,1.443126611E-2,8.215895295E-2,-1.061347127E-2
3.153552820E-1,-1.145338640E-3,1.197260618E-1,1.351499557E-2
3.354654380E-1,-1.748550311E-2,1.867665499E-1,-1.763821393E-2
3.555755420E-1,-4.543176666E-2,2.081461996E-1,-7.108735293E-2
3.756856980E-1,-4.741701856E-2,1.317902952E-1,-9.643751383E-2
3.957958020E-1,-4.199574701E-3,2.305948362E-2,-8.620581776E-2
4.159059590E-1,7.704310864E-2,7.177455351E-3,-4.130854458E-2
4.360161150E-1,1.285069883E-1,9.040539712E-2,3.588727675E-3
4.561262190E-1,8.208259940E-2,1.437018216E-1,-5.726693198E-3
4.762363750E-1,-4.787515476E-2,8.475505561E-2,-5.581616983E-2
4.963464800E-1,-1.262163222E-1,2.107422985E-2,-8.498412371E-2
5.164566360E-1,-8.712209016E-2,-1.832541823E-2,-8.391514421E-2
5.365667400E-1,-7.253811229E-3,-6.719320081E-3,-5.505260825E-2
5.566768960E-1,4.909684882E-2,-1.023169141E-2,-2.786990628E-2
5.767870000E-1,5.413633958E-2,-4.230117425E-2,-3.382566571E-2
5.968971570E-1,2.145601064E-2,-1.262926757E-1,-3.428380191E-2
6.170073130E-1,-4.810422193E-3,-1.591257155E-1,-1.366770733E-2
6.371174170E-1,-1.198787708E-2,-1.039967462E-1,-9.544488043E-3
6.572275730E-1,-3.153498843E-2,-4.260659590E-2,-2.985516004E-2
6.773376770E-1,-7.139277458E-2,4.581354442E-4,-6.757497787E-2
6.974478340E-1,-1.049893722E-1,3.008422814E-2,-1.068219170E-1
7.175579380E-1,-1.115559787E-1,4.046862945E-2,-1.340046227E-1
7.376680940E-1,-1.210241169E-1,-9.162709117E-3,-1.259108931E-1
7.577781980E-1,-1.210241169E-1,-4.596625641E-2,-7.704310864E-2
7.778883550E-1,-9.323056042E-2,-3.481829539E-2,-3.733803704E-2
7.979984590E-1,-4.772244394E-2,-9.162708884E-4,-1.214058883E-2
8.181086150E-1,-1.488940232E-2,-2.596100792E-3,-8.780929260E-3
8.382187710E-1,-2.588465251E-2,-1.603474095E-2,-1.733279042E-2
8.583288750E-1,-3.871244565E-2,-6.413896102E-3,-8.399150101E-4
8.784390320E-1,-3.932329267E-2,2.305948362E-2,1.183516532E-2
8.985491360E-1,-4.421006888E-2,6.047387794E-2,2.664821222E-2
9.186592920E-1,-4.970769584E-2,9.788827598E-2,4.146125913E-2
9.387693960E-1,-2.145601064E-2,1.233911440E-1,6.116108224E-2
9.588795520E-1,2.344126441E-2,8.628217876E-2,1.001025960E-1
9.789896570E-1,4.390464723E-2,2.107422985E-2,1.340046227E-1
9.990998130E-1,2.741177008E-2,-3.817795310E-3,1.567586809E-1
1.019209917E0,-1.809635013E-2,-2.015795931E-2,1.677539349E-1
1.039320073E0,-3.565821052E-2,-2.611372061E-2,1.720298529E-1
1.059430177E0,1.152974181E-2,-2.351761982E-2,1.772220582E-1
1.079540334E0,8.192989230E-2,-1.389677543E-2,1.756949425E-1
1.099650438E0,8.284615725E-2,-1.175880991E-2,1.588966399E-1
1.119760594E0,2.970244735E-2,-3.054236295E-3,1.466796994E-1
1.139870750E0,-2.023431472E-2,-2.550287358E-2,1.336991936E-1
1.159980855E0,-2.298312820E-2,-3.603998944E-2,1.219403818E-1
1.180091011E0,2.527380548E-2,-2.718270384E-2,9.964445978E-2
1.200201115E0,5.963396281E-2,-3.100049868E-2,7.200361788E-2
1.220311271E0,4.695888236E-2,-3.405473381E-2,6.467345357E-2
1.240421375E0,2.977880416E-3,-7.482878864E-3,4.924955964E-2
1.260531532E0,-2.160872146E-2,9.009997360E-3,2.008160390E-2
1.280641636E0,-1.275143679E-2,4.886778072E-3,-9.086352773E-3
1.300751792E0,1.550024934E-2,-2.305948362E-2,-3.168770298E-2
1.320861896E0,2.924431302E-2,-5.161659420E-2,-5.138752609E-2
1.340972052E0,2.160872146E-2,-1.740914769E-2,-5.810684711E-2
1.361082157E0,-1.061347127E-2,-3.817795310E-3,-7.124006003E-2
1.381192313E0,-4.329380020E-2,1.511846948E-2,-8.131904155E-2
1.401302417E0,-5.062396824E-2,1.985253533E-3,-9.536852688E-2
1.421412573E0,-3.000787087E-2,-3.512371797E-3,-9.445225447E-2
1.441522677E0,-5.421269219E-3,7.941014133E-3,-8.864920586E-2
1.461632834E0,-1.015533600E-2,2.855710872E-2,-9.506310523E-2
1.481742938E0,-4.023956135E-2,5.008947477E-2,-9.781191498E-2
1.501853094E0,-6.482616812E-2,6.444438547E-2,-8.803836256E-2
1.521963198E0,-9.979717433E-2,3.634541109E-2,-8.849649876E-2
1.542073355E0,-1.245364845E-1,3.054236295E-4,-8.605311066E-2
1.562183459E0,-1.223985180E-1,-3.252761811E-2,-7.368344814E-2
1.582293615E0,-9.429954737E-2,-1.313321572E-2,-6.375718117E-2
1.602403771E0,-5.291464552E-2,-1.832541823E-2,-3.596363217E-2
1.622513875E0,1.565296017E-2,-3.390202299E-2,-2.214321401E-3
1.642624032E0,6.284090877E-2,-6.154286116E-2,4.352286924E-3
1.662734136E0,3.871244565E-2,-6.337540597E-2,2.290677221E-4
1.682844292E0,-3.978142887E-2,-4.886778072E-2,1.603474026E-3
