"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.642516500E-2,9.780662656E-1,4.606183529E0,7.631309509E0
3.653527000E-2,1.405185103E0,4.523033142E0,8.740383148E0
5.664537400E-2,1.207179070E0,4.579264164E0,1.009651470E1
7.675547800E-2,8.883354068E-1,4.716851711E0,8.712865829E0
9.686558200E-2,9.206385016E-1,4.685146809E0,7.268796921E0
1.169756860E-1,1.370489120E0,4.230510235E0,6.958926678E0
1.370858430E-1,1.039681435E0,4.497908592E0,8.246265411E0
1.571959470E-1,9.080761671E-1,4.315455437E0,9.754940033E0
1.773060510E-1,8.159525394E-1,4.014558315E0,9.954740524E0
1.974161550E-1,5.976074338E-1,4.063013077E0,9.518648148E0
2.175262590E-1,7.064808607E-1,4.168895245E0,9.202795982E0
2.376363630E-1,8.494520187E-1,4.224528313E0,9.016156197E0
2.577464680E-1,8.985049129E-1,4.277768612E0,8.719446182E0
2.778565720E-1,6.909275651E-1,4.323232174E0,8.601000786E0
2.979666760E-1,5.736792088E-1,4.320241451E0,8.824131966E0
3.180768320E-1,6.149554253E-1,4.280759811E0,9.022735596E0
3.381869360E-1,5.407779217E-1,4.262215137E0,8.895915985E0
3.582970400E-1,4.612165689E-1,4.323232174E0,8.653642654E0
3.784071450E-1,4.965106845E-1,4.385445595E0,8.472386360E0
3.985172490E-1,4.953143001E-1,4.374079704E0,8.514859200E0
4.186273530E-1,6.329016089E-1,4.370490551E0,8.889934540E0
4.387374570E-1,7.728816867E-1,4.332803726E0,9.062815666E0
4.588475610E-1,7.244270444E-1,4.348955154E0,8.921041489E0
4.789577180E-1,7.561319470E-1,4.404588223E0,8.689535141E0
4.990678220E-1,7.405785918E-1,4.476373196E0,8.557929993E0
5.191779260E-1,7.010970116E-1,4.468596458E0,8.532805443E0
5.392880300E-1,7.064808607E-1,4.431507587E0,8.563912392E0
5.593981340E-1,6.532405615E-1,4.419543266E0,8.610571861E0
5.795082380E-1,5.365904570E-1,4.400400639E0,8.794221878E0
5.996183430E-1,4.552344978E-1,4.296911240E0,8.962317467E0
6.197284470E-1,4.815555513E-1,4.228715897E0,9.161520004E0
6.398385510E-1,6.514459848E-1,4.221537113E0,9.227920532E0
6.599487070E-1,7.716853023E-1,4.241876125E0,8.983254433E0
6.800588110E-1,7.339983582E-1,4.277768612E0,8.661419868E0
7.001689150E-1,7.752745152E-1,4.284348965E0,8.850452423E0
7.202790200E-1,9.110672474E-1,4.168895245E0,9.351150513E0
7.403891240E-1,7.345965505E-1,4.017549038E0,9.596415520E0
7.604992280E-1,4.217349887E-1,4.027718544E0,9.267401695E0
7.806093320E-1,1.465603858E-1,4.156332970E0,8.652446747E0
8.007194360E-1,9.810572863E-2,4.198805332E0,8.375477791E0
8.208295400E-1,1.274178028E-1,4.066602230E0,8.586644173E0
8.409396970E-1,1.226321608E-1,3.876372576E0,9.138189316E0
8.610498010E-1,2.871387079E-2,3.755535126E0,9.622735977E0
8.811599050E-1,-8.434699476E-2,3.749552965E0,9.870393753E0
9.012700090E-1,-6.999006122E-2,3.773481369E0,9.634101868E0
9.213801130E-1,6.520441920E-2,3.865604877E0,9.143573761E0
9.414902180E-1,1.872383654E-1,3.914059639E0,8.896514893E0
9.616003220E-1,2.291127741E-1,3.891926050E0,9.032905579E0
9.817104260E-1,1.848455518E-1,3.842873096E0,9.255437851E0
1.001820530E0,1.118644550E-1,3.806980848E0,9.376873970E0
1.021930634E0,7.118647546E-2,3.784847260E0,9.413364410E0
1.042040790E0,5.862415582E-2,3.802793503E0,9.304491043E0
1.062150895E0,7.178468257E-2,3.839882135E0,9.159127235E0
1.082260999E0,1.453639716E-1,3.853042603E0,9.051449776E0
1.102371103E0,1.543370634E-1,3.878167391E0,9.041878700E0
1.122481207E0,2.249253243E-1,3.893122435E0,9.206983566E0
1.142591311E0,3.332005441E-1,3.921238184E0,9.393025398E0
1.162701415E0,4.031906128E-1,3.908077478E0,9.322437286E0
1.182811520E0,4.025924206E-1,3.940979004E0,9.171091080E0
1.202921624E0,5.060819983E-1,4.055834293E0,9.013164520E0
1.223031728E0,6.891329288E-1,4.110270977E0,8.880363464E0
1.243141884E0,7.621139884E-1,4.101297855E0,9.061020851E0
1.263251988E0,6.861419082E-1,4.069592953E0,9.330811501E0
1.283362093E0,5.575276613E-1,3.963112593E0,9.300901413E0
1.303472197E0,5.060819983E-1,4.007379532E0,9.134002686E0
1.323582301E0,5.958128572E-1,4.063013077E0,9.022735596E0
1.343692405E0,6.137589812E-1,4.065405846E0,8.906085968E0
1.363802509E0,5.288137794E-1,4.054637909E0,8.913862228E0
1.383912613E0,5.000999570E-1,4.044468403E0,8.969495773E0
1.404022718E0,5.216353536E-1,4.063611031E0,8.992825508E0
1.424132822E0,5.539384484E-1,4.054637909E0,9.068798065E0
1.444242978E0,4.971089065E-1,4.026522160E0,9.107083321E0
1.464353082E0,5.048855543E-1,4.035495281E0,8.991629601E0
1.484463186E0,5.264210105E-1,4.111467361E0,8.928219795E0
1.504573290E0,4.827519655E-1,4.110270977E0,8.882756233E0
1.524683395E0,3.984049559E-1,4.100699902E0,8.832506180E0
1.544793499E0,3.667000830E-1,4.105485439E0,8.800203323E0
1.564903603E0,3.182454109E-1,4.070789337E0,8.911469460E0
1.585013707E0,2.835494876E-1,4.037888050E0,8.967103004E0
1.605123811E0,1.501496136E-1,4.049852371E0,8.966505051E0
1.625233915E0,5.084748194E-2,3.976871252E0,8.988039970E0
1.645344020E0,6.161518395E-2,3.975674868E0,9.093922615E0
1.665454176E0,8.973085135E-2,4.005585194E0,9.114261627E0
1.685564280E0,4.546362907E-2,4.022335052E0,9.029315948E0
1.705674384E0,3.589234129E-2,4.022933006E0,9.168100357E0
1.725784488E0,2.153540403E-2,4.048057556E0,9.220144272E0
1.745894593E0,1.142572835E-1,4.054039955E0,9.161520004E0
1.766004697E0,2.440679073E-1,4.034897327E0,9.192028046E0
1.786114801E0,2.321037948E-1,4.045066833E0,9.321838379E0
1.806224905E0,1.920240223E-1,4.001996040E0,9.437292099E0
1.826335009E0,1.633101404E-1,3.967898130E0,9.356534958E0
1.846445113E0,1.513460279E-1,3.966701746E0,9.193822861E0
1.866555218E0,1.256231815E-1,3.966701746E0,9.072985649E0
1.886665322E0,6.041877344E-2,3.920639992E0,8.989834785E0
1.906775426E0,1.794617064E-2,3.896113396E0,8.929415703E0
1.926885530E0,-5.982056726E-3,3.893122435E0,9.007183075E0
1.946995686E0,-1.016949583E-2,3.888336897E0,9.085547447E0
1.967105790E0,-3.589233849E-3,3.881158352E0,9.140582085E0
1.987215895E0,-2.512463741E-2,3.903890133E0,9.105886459E0
2.007325999E0,-6.520441920E-2,3.904488325E0,8.989834785E0
2.027436103E0,-8.315058798E-2,3.932005882E0,8.897710800E0
2.047546207E0,-4.486542568E-2,3.967299938E0,9.002396584E0
2.067656311E0,-5.084748194E-2,3.948755503E0,9.156135559E0
2.087766415E0,-3.349951655E-2,3.937389612E0,9.217152596E0
2.107876520E0,-5.982056726E-3,3.941577196E0,9.272188187E0
2.127986624E0,2.751746029E-2,3.906881094E0,9.332606316E0
2.148096728E0,5.982056633E-2,3.926621914E0,9.458827972E0
2.168206832E0,8.913264424E-2,3.903890133E0,9.528818130E0
2.188316936E0,1.046859920E-1,3.915854216E0,9.413364410E0
2.208427093E0,1.740778536E-1,3.971487284E0,9.214759827E0
2.228537197E0,2.153540403E-1,3.914657831E0,9.031708717E0
2.248647301E0,9.451649338E-2,3.922434568E0,8.931808472E0
2.268757405E0,7.956135273E-2,3.984049797E0,8.834300995E0
2.288867509E0,2.123630047E-1,3.961916208E0,8.830712318E0
2.308977613E0,2.362912297E-1,3.917648792E0,9.007183075E0
2.329087718E0,1.663011760E-1,3.884747505E0,9.285347939E0
2.349197822E0,1.668993831E-1,3.896113396E0,9.403793335E0
2.369307926E0,1.417747438E-1,3.937389612E0,9.329017639E0
2.389418030E0,7.118647546E-2,3.909274101E0,9.300901413E0
2.409528134E0,3.661018610E-1,3.869194269E0,9.272188187E0
2.429638238E0,4.534398913E-1,4.016352654E0,9.217152596E0
2.449748343E0,4.486542344E-1,4.031906128E0,8.919246674E0
2.469858447E0,4.319044948E-1,4.080958843E0,8.639883995E0
2.489968551E0,5.036891699E-1,4.088735580E0,8.778668404E0
2.510078655E0,4.971089065E-1,4.034897327E0,9.069396019E0
2.530188811E0,3.984049559E-1,4.013361931E0,9.069396019E0
2.550298863E0,4.127618968E-1,4.068994999E0,8.840881348E0
2.570409020E0,4.965106845E-1,4.131806374E0,8.732605934E0
2.590519124E0,5.718846321E-1,4.156930923E0,8.776275635E0
2.610629228E0,5.288137794E-1,4.150351048E0,8.888737679E0
2.630739332E0,3.786641955E-1,4.118646145E0,9.156135559E0
2.650849436E0,3.230310678E-1,4.061816216E0,9.311669350E0
2.670959540E0,3.493520916E-1,4.093521118E0,9.254839897E0
2.691069645E0,4.636093974E-1,4.115056515E0,8.835497856E0
2.711179749E0,4.229314029E-1,4.243670940E0,8.551948547E0
2.731289853E0,4.372883439E-1,4.210769653E0,8.520841599E0
2.751399957E0,4.325026870E-1,4.166502476E0,8.623134613E0
2.771510061E0,1.603191197E-1,4.128815651E0,8.801400185E0
2.791620165E0,5.383851007E-3,4.072584152E0,8.985049248E0
2.811730270E0,8.793623000E-2,4.005585194E0,9.199206352E0
2.831840374E0,1.537388563E-1,3.958925009E0,9.268598557E0
2.851950478E0,1.501496136E-1,3.956532240E0,9.242876053E0
2.872060582E0,1.483550072E-1,3.966701746E0,9.223732948E0
2.892170686E0,1.417747438E-1,4.016951084E0,9.328418732E0
2.912280790E0,1.710868180E-1,4.019343853E0,9.242876053E0
2.932390895E0,1.788634956E-1,4.030111313E0,8.989834785E0
2.952500999E0,2.171486616E-1,4.071387768E0,8.834300995E0
2.972611103E0,2.159522474E-1,4.104289055E0,8.824131966E0
2.992721207E0,1.980060786E-1,4.102494240E0,8.985647202E0
3.012831363E0,1.860419661E-1,4.099503517E0,9.276374817E0
3.032941415E0,1.902294010E-1,4.053441525E0,9.431310654E0
3.053051572E0,1.537388563E-1,4.021736622E0,9.452247620E0
3.073161676E0,1.381855011E-1,3.982853174E0,9.400203705E0
3.093271780E0,1.686939895E-1,3.891327858E0,9.256634712E0
3.113381884E0,1.645065546E-1,3.867399693E0,9.198608398E0
3.133491988E0,1.692921966E-1,3.845266104E0,9.288937569E0
3.153602093E0,1.375873089E-1,3.838685751E0,9.228518486E0
3.173712197E0,1.704886109E-1,3.861417532E0,9.078369141E0
3.193822301E0,2.560320199E-1,3.905086517E0,9.014361382E0
3.213932405E0,3.445664644E-1,3.895515203E0,9.075378418E0
3.234042509E0,3.122633696E-1,3.937987804E0,9.069396019E0
3.254152613E0,3.086741269E-1,3.913461447E0,8.995817184E0
3.274262718E0,2.482553422E-1,3.918246984E0,8.982656479E0
3.294372822E0,2.003988922E-1,3.981058598E0,8.990432739E0
3.314482926E0,2.943171859E-1,4.006781578E0,8.868997574E0
3.334593030E0,3.655036688E-1,3.989433527E0,8.868398666E0
3.354703134E0,3.056831062E-1,3.947559118E0,9.072985649E0
3.374813238E0,2.458625287E-1,3.890131474E0,9.220144272E0
3.394923343E0,2.249253243E-1,3.882952929E0,9.274580956E0
3.415033447E0,2.446661144E-1,3.874577999E0,9.217751503E0
3.435143551E0,3.032902777E-1,3.861417532E0,9.123832703E0
3.455253655E0,3.595215976E-1,3.878167391E0,9.081359863E0
3.475363759E0,2.787638307E-1,3.905086517E0,8.995817184E0
3.495473863E0,1.992024779E-1,3.929612875E0,8.853444099E0
3.515583968E0,2.733799815E-1,3.940979004E0,8.854640007E0
3.535694072E0,4.097708762E-1,3.933202267E0,9.040083885E0
3.555804176E0,3.876372576E-1,3.936791420E0,9.271589279E0
3.575914280E0,3.044866920E-1,3.944568157E0,9.214759827E0
3.596024384E0,3.469592929E-1,3.987040758E0,8.989834785E0
3.616134488E0,4.325026870E-1,4.046263218E0,8.916254997E0
3.636244593E0,4.025924206E-1,4.049253941E0,8.978468895E0
3.656354697E0,3.026920557E-1,3.991826296E0,9.090332985E0
3.676464801E0,2.159522474E-1,3.950550079E0,9.187242508E0
3.696574905E0,1.345962733E-1,3.845864296E0,9.084949493E0
3.716685009E0,7.776673418E-3,3.842873096E0,8.837890625E0
3.736795113E0,1.609173268E-1,3.914657831E0,9.063413620E0
3.756905218E0,4.450650215E-1,3.908675671E0,9.317052841E0
3.777015322E0,4.474578202E-1,3.842274904E0,9.471389771E0
3.797125426E0,2.512463629E-1,3.854837179E0,9.518050194E0
