"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.291944000E-2,3.016822040E-1,-1.261399537E-1,-5.077667907E-2
5.302944000E-2,1.069746241E-1,-6.230641901E-2,-2.367033157E-3
7.313944000E-2,-8.177717775E-2,5.054761097E-2,2.588465251E-2
9.324949300E-2,-1.636307091E-1,6.139015034E-2,3.642176837E-2
1.133594930E-1,-1.472905427E-1,2.611372061E-2,2.237228118E-2
1.334694930E-1,-7.521057129E-2,1.466033421E-2,-2.145601064E-2
1.535794930E-1,6.642963737E-3,4.382828996E-2,-7.597412914E-2
1.736895450E-1,5.047125369E-2,7.956285775E-2,-1.046839505E-1
1.937995450E-1,3.657447919E-2,1.145338640E-1,-7.734853774E-2
2.139095450E-1,-9.086352773E-3,1.566823274E-1,-4.436278343E-2
2.340195970E-1,-4.650074616E-2,1.918060333E-1,-4.421006888E-2
2.541295970E-1,-5.841226876E-2,2.249445021E-1,-5.154023692E-2
2.742395970E-1,-5.688514933E-2,2.425063550E-1,-6.574243307E-2
2.943496490E-1,-4.894413799E-2,2.414373755E-1,-9.078717232E-2
3.144596490E-1,-2.405211143E-2,1.933331639E-1,-9.567394853E-2
3.345696490E-1,1.107160654E-2,1.198787764E-1,-5.764871091E-2
3.546797010E-1,3.382566571E-2,9.513945878E-2,-4.810422193E-3
3.747897010E-1,3.397838026E-2,9.743013978E-2,2.237228118E-2
3.948997010E-1,2.405211143E-2,8.460234851E-2,1.382041909E-2
4.150097530E-1,1.855448633E-2,7.207997888E-2,-1.275143679E-2
4.351197530E-1,3.993413970E-2,1.243074164E-1,-3.687990457E-2
4.552297530E-1,8.131904155E-2,1.942494214E-1,-5.199837312E-2
4.753398050E-1,1.095707268E-1,1.740914732E-1,-4.222481698E-2
4.954498050E-1,1.017824262E-1,7.314895838E-2,-9.391776286E-3
5.155598050E-1,5.322006717E-2,-5.085303262E-2,2.176143415E-2
5.356698570E-1,-2.252499200E-2,-8.948912472E-2,3.306210786E-2
5.557798570E-1,-7.719582319E-2,-5.268557742E-2,3.000787087E-2
5.758899090E-1,-7.597412914E-2,-5.635065958E-2,2.176143415E-2
5.959999090E-1,-4.191939160E-2,-1.067455560E-1,3.031329438E-2
6.161099090E-1,3.436015919E-3,-1.467560530E-1,6.436803192E-2
6.362199610E-1,3.779617324E-2,-1.676775664E-1,7.719582319E-2
6.563299610E-1,4.466820508E-2,-1.517955512E-1,3.687990457E-2
6.764400130E-1,1.580567285E-2,-8.506047726E-2,-3.504735976E-2
