"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.298073300E-2,9.326026440E-1,3.659822226E0,9.072985649E0
3.309088900E-2,8.781659007E-1,3.898506403E0,9.202198029E0
5.320099300E-2,5.700899959E-1,4.012763500E0,8.804988861E0
7.331109700E-2,5.419743061E-1,3.820739508E0,8.659625053E0
9.342125400E-2,3.960121572E-1,3.880560160E0,8.965906143E0
1.135313580E-1,4.737788737E-1,3.936791420E0,9.286544800E0
1.336414620E-1,5.808576941E-1,3.920041800E0,9.245866776E0
1.537516180E-1,7.250252366E-1,3.882952929E0,9.285347939E0
1.738617220E-1,7.501499057E-1,3.829712629E0,9.430113792E0
1.939718790E-1,4.719842672E-1,3.805186272E0,9.409774780E0
2.140819830E-1,2.452643216E-1,3.812962770E0,9.171091080E0
2.341920870E-1,2.829512656E-1,3.817748547E0,9.006584167E0
2.543022430E-1,3.631108403E-1,3.890131474E0,8.998807907E0
2.744123470E-1,3.649054468E-1,3.990629911E0,9.091529846E0
2.945225040E-1,4.378865361E-1,3.938585997E0,9.195617676E0
3.146326080E-1,5.395814776E-1,3.895515203E0,9.315856934E0
3.347427120E-1,5.282155871E-1,3.932604074E0,9.239884377E0
3.548528680E-1,4.785645306E-1,3.926621914E0,9.212367058E0
3.749629720E-1,5.222335458E-1,3.948157310E0,9.220742226E0
3.950731290E-1,4.881358147E-1,4.209573269E0,8.769695282E0
4.151832330E-1,5.599204898E-1,4.461417675E0,8.030911446E0
4.352933370E-1,6.251249313E-1,4.493122578E0,7.947162151E0
4.554034930E-1,5.922235847E-1,4.193421841E0,8.895915985E0
4.755135970E-1,5.312066078E-1,3.788436413E0,1.012941647E1
4.956237540E-1,4.713860750E-1,3.657429457E0,1.026580715E1
5.157338580E-1,3.738785386E-1,3.879363775E0,9.152546883E0
5.358440140E-1,4.965106845E-1,4.115056515E0,8.242675781E0
5.559541180E-1,8.081758618E-1,4.149752617E0,8.332406998E0
5.760642220E-1,8.548358679E-1,3.998406649E0,9.027522087E0
5.961743790E-1,4.378865361E-1,3.667598963E0,9.711270332E0
6.162844830E-1,-7.657032460E-2,3.390629768E0,1.002054310E1
6.363946390E-1,-3.637090325E-1,3.315854073E0,9.898509026E0
6.565047430E-1,-4.528416991E-1,3.350549936E0,9.584450722E0
6.766148990E-1,-3.355933726E-1,3.349951744E0,9.391230583E0
6.967250040E-1,-1.483550072E-1,3.400799274E0,9.460023880E0
7.168351080E-1,-9.571290575E-3,3.509672642E0,9.597013474E0
7.369452640E-1,-2.033899166E-2,3.558725595E0,9.425926208E0
7.570553680E-1,-1.369891018E-1,3.558725595E0,9.087940216E0
7.771655240E-1,-2.889333367E-1,3.694518089E0,8.860622406E0
7.972756290E-1,-3.625126183E-1,3.767499208E0,8.737990379E0
8.173857850E-1,-3.541377485E-1,3.630510092E0,8.913264275E0
8.374958890E-1,-2.667997181E-1,3.447459221E0,9.696315765E0
8.576060450E-1,-2.147558331E-1,3.316452265E0,1.022931671E1
8.777161490E-1,-3.397808075E-1,3.331407309E0,9.881160736E0
8.978263060E-1,-3.529413342E-1,3.437887907E0,9.148359299E0
9.179364100E-1,-2.165504545E-1,3.561716557E0,8.622536659E0
9.380465140E-1,-5.802594870E-2,3.628117323E0,8.660821915E0
9.581566700E-1,4.785645287E-3,3.593421459E0,9.131011009E0
9.782667740E-1,-1.226321608E-1,3.599403381E0,9.364311218E0
9.983769310E-1,-1.848455518E-1,3.632902861E0,9.208179474E0
1.018487035E0,-6.640082598E-2,3.648456335E0,9.058030128E0
1.038597191E0,9.152546525E-2,3.659822226E0,9.186644554E0
1.058707295E0,1.387837082E-1,3.638286829E0,9.476774216E0
1.078817452E0,1.351944804E-1,3.623929977E0,9.722636223E0
1.098927556E0,2.398804724E-1,3.600599766E0,9.658628464E0
1.119037712E0,3.930211067E-1,3.641277790E0,9.303294182E0
1.139147816E0,5.641079545E-1,3.751945972E0,8.974281311E0
1.159257972E0,7.483552694E-1,3.811766386E0,8.863015175E0
1.179368077E0,9.170492887E-1,3.845266104E0,8.847461700E0
1.199478233E0,9.607182741E-1,3.880560160E0,8.834300995E0
1.219588337E0,7.453642488E-1,3.865006685E0,8.937790871E0
1.239698493E0,4.929214716E-1,3.862015724E0,9.141778946E0
1.259808597E0,4.414757788E-1,3.848257065E0,9.141180992E0
1.279918754E0,5.569294691E-1,3.836292982E0,9.031708717E0
1.300028858E0,5.754738450E-1,3.909274101E0,8.973084450E0
1.320139014E0,4.791627228E-1,3.997808456E0,8.924630165E0
1.340249118E0,4.971089065E-1,3.948755503E0,9.016754150E0
1.360359222E0,4.588237405E-1,3.939782381E0,9.260223389E0
1.380469379E0,3.493520916E-1,3.923032761E0,9.392427444E0
1.400579535E0,3.738785386E-1,3.791427374E0,9.413962364E0
1.420689639E0,4.390829504E-1,3.697509289E0,9.524630547E0
