"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.630902700E-2,4.067798555E-1,4.292125702E0,8.147561073E0
3.641892300E-2,8.464609981E-1,4.405784607E0,8.944371223E0
5.652876700E-2,5.958128572E-1,4.353142738E0,8.665607452E0
7.663866300E-2,6.329016089E-1,4.296911240E0,8.764909744E0
9.674855800E-2,8.285148144E-1,4.309473515E0,9.629914284E0
1.168584540E-1,8.781659007E-1,4.191627026E0,9.859625816E0
1.369682980E-1,6.819544435E-1,4.155734539E0,9.168100357E0
1.570781940E-1,4.396811724E-1,4.351347923E0,8.365307808E0
1.771880900E-1,7.106683254E-1,4.311268330E0,8.094321251E0
1.972979330E-1,9.750752449E-1,4.239483356E0,8.356932640E0
2.174078290E-1,9.535398483E-1,4.254438877E0,8.709276199E0
2.375177250E-1,8.327022791E-1,4.272384644E0,8.769096375E0
2.576276210E-1,6.574280262E-1,4.297509670E0,8.730812073E0
2.777374650E-1,5.347958803E-1,4.307080746E0,8.740981102E0
2.978473610E-1,4.725824594E-1,4.324428558E0,8.769096375E0
3.179572560E-1,4.666004181E-1,4.323232174E0,8.727820396E0
3.380671520E-1,4.277170599E-1,4.337589264E0,8.703892708E0
3.581769960E-1,4.205385745E-1,4.352544308E0,8.928219795E0
3.782868920E-1,4.666004181E-1,4.341776848E0,9.380462646E0
3.983967880E-1,5.318048596E-1,4.320839405E0,9.595816612E0
4.185066310E-1,5.521438122E-1,4.354339123E0,9.384052277E0
4.386165270E-1,6.137589812E-1,4.329812527E0,9.141180992E0
4.587264230E-1,7.477570772E-1,4.293920040E0,9.081958771E0
4.788362670E-1,7.369893789E-1,4.316651821E0,9.071788788E0
4.989461630E-1,6.418746710E-1,4.310071945E0,8.833703041E0
5.190560580E-1,4.689932466E-1,4.325624943E0,8.545368195E0
5.391659020E-1,4.277170599E-1,4.313661098E0,8.534600258E0
5.592757980E-1,4.558327198E-1,4.269991875E0,8.864211082E0
5.793856940E-1,5.006981492E-1,4.223930359E0,9.040083885E0
5.994955900E-1,5.024927258E-1,4.248456478E0,8.988039970E0
6.196054330E-1,5.880361795E-1,4.272384644E0,8.937192917E0
6.397153290E-1,7.010970116E-1,4.241278172E0,9.010173798E0
6.598251730E-1,6.059823632E-1,4.236492634E0,9.047262192E0
6.799350690E-1,4.707878530E-1,4.228117466E0,8.958727837E0
7.000449650E-1,3.894318938E-1,4.236492634E0,8.860024452E0
7.201548610E-1,4.821537733E-1,4.220939159E0,8.876773834E0
