"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.893262100E-2,-8.376242965E-2,9.407047927E-2,5.917582661E-2
5.904251700E-2,-9.536852688E-2,1.105633527E-1,5.077667907E-2
7.915236100E-2,-1.453052908E-1,-9.162709117E-3,6.253548712E-2
9.926225600E-2,-2.802261710E-2,-8.689302206E-2,2.344126441E-2
1.193721520E-1,1.895917207E-1,-5.894676223E-2,-2.542651631E-2
1.394820480E-1,3.132883012E-1,-4.123218823E-3,-4.375193641E-2
1.595918920E-1,2.366269529E-1,-4.672981426E-2,-1.015533600E-2
1.797017880E-1,5.474718660E-2,-1.018587798E-1,9.697199799E-3
1.998116830E-1,-7.307260484E-2,-4.352286831E-2,-1.580567285E-2
2.199215790E-1,-1.107924208E-1,5.635065958E-2,-4.894413799E-2
2.400314230E-1,-1.033095419E-1,9.575030953E-2,-7.124006003E-2
2.601413190E-1,-8.422056586E-2,5.696150661E-2,-8.116632700E-2
2.802512150E-1,-6.513158977E-2,-3.206948051E-3,-7.673768699E-2
3.003611110E-1,-5.062396824E-2,-1.649287529E-2,-6.956022978E-2
3.204709540E-1,-5.841226876E-2,6.872031838E-3,-6.528430432E-2
3.405808500E-1,-9.338327497E-2,2.367033064E-2,-5.841226876E-2
3.606907460E-1,-1.245364845E-1,9.773556143E-3,-4.237752780E-2
3.808005900E-1,-9.536852688E-2,-8.399149403E-3,-2.924431302E-2
4.009104860E-1,-3.283303929E-3,6.566607859E-3,-3.138227761E-2
4.210203810E-1,4.863871261E-2,9.620844387E-3,-3.871244565E-2
4.411302250E-1,3.214583546E-2,-3.054236295E-4,-2.710634656E-2
4.612401210E-1,-8.399150101E-4,1.313321572E-2,-2.374668792E-2
4.813500170E-1,6.872031372E-4,7.299624383E-2,-4.039227590E-2
5.014598610E-1,9.239064530E-3,1.119377613E-1,-6.070294604E-2
5.215697560E-1,-1.809635013E-2,8.215895295E-2,-5.932854116E-2
5.416796520E-1,-6.788039953E-2,1.252236869E-2,-4.650074616E-2
5.617895480E-1,-7.032378763E-2,-6.719320081E-3,-3.458922729E-2
5.818993920E-1,-2.725905925E-2,1.038440317E-2,-3.016058356E-2
6.020092880E-1,-7.406522986E-3,-8.399149403E-3,-1.992889121E-2
