Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
9.628857655,0.503090978,3.57128787,8.933603287,0.060550235,0.0219905,-0.077653959
9.64896776,0.47557351,3.631108284,8.628518105,0.012140589,0.0361927,-0.078264803
9.669077916,0.460020155,3.62153697,8.696115494,-0.060702946,0.031458635,-0.081319042
9.689188072,0.495912492,3.549154282,9.075378418,-0.084984124,0.030236939,-0.086663954
9.709298176,0.397806764,3.512065411,9.238688469,-0.064062603,0.062459134,-0.096437514
9.729408332,0.133998066,3.422334671,9.195617676,-0.046958882,0.059863031,-0.074294299
9.749518489,0,3.348157167,9.335597992,-0.035963632,0.038788799,-0.012446013
9.769628593,0.044267219,3.415156126,9.364311218,0.015958386,0.019852536,0.056274302
9.789738749,0.364307255,3.44147706,9.077172279,0.036116343,-0.001221695,0.098422766
9.809848905,0.659222662,3.42472744,8.984451294,-0.005726693,0.001068983,0.089107342
9.82995901,0.637089014,3.378665686,9.154939651,-0.031687703,0.047493376,0.069102094
9.850069166,0.539581478,3.276970625,9.151350021,0.00129805,0.086893022,0.075668707
9.870179322,0.485144794,3.231507063,8.722436905,0.037490752,0.089183703,0.090329036
9.890289478,0.504885554,3.242274761,8.334799767,0.022677705,0.067498624,0.103920393
9.910399582,0.631106973,3.227917671,8.213363647,-0.007711946,0.051922016,0.097811915
9.930509739,0.564706147,3.252444267,8.153543472,-0.035658211,0.074828789,0.076279551
9.950619895,0.361316234,3.266202927,8.060821533,-0.066047862,0.104149461,0.069865659
9.970729999,0.327218503,3.21954298,8.111070633,-0.109418012,0.080937259,0.091092594
9.990840155,0.559322298,3.111267567,8.580661774,-0.13308835,0.060779303,0.107280053
10.01095031,0.720239639,2.992822886,9.037691116,-0.053220067,0.108883523,0.112777673
10.03106047,0.696311414,2.974876642,8.600402832,0.096284799,0.195776552,0.117969878
10.05117057,0.437288344,3.182454109,7.581658363,0.177527487,0.205855534,0.121482246
10.07128073,0.35174492,3.286541939,6.79920578,0.132935628,0.102316916,0.117053606
10.09139089,0.53479588,3.138186932,7.049255371,0.02817533,0.009162709,0.12270394
10.11150099,0.826122046,2.972483873,7.916055679,0.066505998,0.01267508,0.126369029
10.13161114,0.784845829,3.091526747,7.93818903,0.251592726,0.030084228,0.107127339
10.1517213,0.519242525,3.393022537,7.122236729,0.340165556,-0.055587102,0.086969376
10.1718314,0.493519664,3.634697676,6.693323135,0.261824399,-0.171648085,0.065284304
10.19194156,0.622133911,3.589832067,7.132406235,0.062535487,-0.290763289,0.03840702
10.21205172,1.060618639,3.363112211,8.571688652,-0.114915639,-0.283433139,0.043446511
10.23216187,1.58703959,3.24466753,10.02532864,-0.059175827,-0.072538115,0.022219568
10.25227198,1.422533035,3.574877024,10.02353382,0.177527487,0.168899268,-0.06681142
10.27238214,0.640678287,3.811168194,8.555537224,0.324741662,0.142021984,-0.12163496
10.29249229,0.507278383,3.733999729,7.669594765,0.22715883,-0.092696071,-0.086663954
10.31260245,0.793818891,3.81296277,8.130811691,0.044515494,-0.138356909,-0.066505998
10.33271255,0.929013372,3.873979807,8.480761528,-0.160881892,0.211811289,-0.086358532
10.35282271,1.046261668,3.915256023,9.42712307,-0.440039098,0.64337486,-0.120718688
10.37293286,1.063609719,3.658027649,12.24108219,-0.39514181,0.459662557,-0.163630709
10.39304297,0.811765075,3.480360508,14.6578331,0.271445245,-0.362995982,-0.184704945
10.41315312,0.31226337,3.89192605,13.39502144,1.075854778,-0.864959717,-0.194783926
10.43326328,-0.215952247,4.157529354,9.946365356,1.188556075,-0.917034447,-0.18623206
10.45337344,-0.101096757,4.055834293,8.416753769,0.565415502,-0.502421856,-0.110334285
10.47348354,-0.104685992,4.440480709,9.763913155,-0.143930882,0.266940266,-0.044668205
10.4935937,-0.588634372,4.895715237,11.43470097,-0.408275038,0.791428983,-0.061619218
10.51370385,-1.165902853,4.852046013,11.70688438,-0.373762161,0.748211563,-0.075057857
10.53381401,-1.207777262,4.460819721,11.5704937,-0.307179809,0.241131961,-0.038559735
10.55392411,-0.688534737,4.063611031,11.55494022,-0.296337277,-0.293206692,-0.019623468
10.57403427,-0.044267219,3.669393539,11.76251793,-0.481729418,-0.422706306,-0.038559735
10.59414443,0.165104762,3.212962627,12.50907898,-0.735383749,-0.038941514,-0.053067356
