Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
8.602320534,0.206380948,4.457230568,8.571090698,0.028633466,-0.013133216,-0.10300412
8.622430638,0.144167557,4.418346882,8.599205971,-0.019318044,0.01007898,-0.093841411
8.642540743,0.011365907,4.399802685,8.80738163,-0.035505496,0.044744562,-0.072309047
8.662650847,-0.020937199,4.413561344,8.857032776,0.002214321,0.044744562,-0.03672719
8.682760951,0.031704899,4.443471432,8.694320679,0.033520244,0.016645588,-0.016263809
8.702871055,0.10049855,4.470390797,8.581260681,0.028786177,0.01343864,-0.007101099
8.722981159,0.090329058,4.48833704,8.640482903,0.011682454,0.03130592,-0.004504999
8.743091263,0.037686955,4.519443989,8.682954788,0.01809635,0.044286426,0.005115846
8.763201368,0.090927258,4.526622295,8.649456024,0.038559735,0.023212196,0.017638214
8.783311472,0.155533478,4.546961308,8.559724808,0.048791423,0.010231691,0.02741177
8.803421576,0.192024022,4.597808838,8.529216766,0.040086851,0.016645588,0.035200074
8.82353168,0.210568398,4.685146809,8.584251404,0.023593975,0.019241689,0.042072106
8.843641784,0.210568398,4.774877548,8.785248756,0.01809635,-0.013285927,0.074752435
8.863751888,0.541974306,4.826921463,9.123234749,0.054594472,-0.072690822,0.132172078
8.883861993,1.006780148,4.911866665,9.303893089,0.153551728,-0.090710819,0.143625468
8.903972097,0.940379322,5.163711071,8.935996056,0.259533733,-0.123543859,0.107585475
8.924082201,0.636490822,5.23429966,8.326424599,0.276942879,-0.153169945,0.079181075
8.944192305,0.331405938,5.145765305,8.111668587,0.19508934,-0.156529605,0.099186324
8.964302409,0.365503669,5.054837704,8.63390255,0.105294794,-0.102775052,0.149428517
8.984412513,0.483350188,4.953142643,9.245866776,0.130186826,-0.036650836,0.179054603
9.004522618,0.577866674,4.912465096,9.436096191,0.230365768,-0.074828789,0.19508934
9.024632722,0.649053156,4.944767952,9.190233231,0.284120321,-0.12216945,0.188828155
9.044742826,0.61615181,5.03689146,9.058628082,0.220439509,-0.091168955,0.174931377
9.06485293,0.533001244,5.193621635,9.287740707,0.119344287,-0.003665084,0.139807671
9.084963034,0.131605253,5.224130154,9.594620705,0.078875653,0.050089475,0.119191572
9.105073138,-0.231505588,5.091328144,9.585049629,0.09689565,0.013896775,0.158438504
9.125183243,-0.268594354,5.374279499,9.050851822,0.039017867,-0.058794048,0.205015615
9.145293347,0.330209523,5.4622159,8.640482903,-0.267169327,-0.124460131,0.189439014
9.165403451,1.057029366,5.158327579,9.727422714,-0.769285739,-0.063986249,0.057648711
9.185513555,1.003190875,4.660022259,11.84566879,-1.139611959,0.203106716,-0.062535487
9.205623659,0.271585375,3.988835335,13.30529022,-1.122813582,0.430189192,-0.072614469
9.225733763,-0.199202478,3.428316593,13.18744373,-0.737674415,0.422859013,0.067574978
9.245843868,0.034097724,3.273979664,11.50828075,-0.360628963,0.253043473,0.193409517
9.265953972,0.171086818,3.420539856,10.11446095,-0.363530487,0.153322667,0.221966624
9.286064076,0.044267219,3.498904943,10.12582684,-0.456684679,0.332148194,0.183941379
9.30617418,-0.583250523,3.442075491,10.22333431,-0.427822143,0.461953253,0.127590716
9.326284284,-0.935593665,3.200998545,10.33220863,-0.362003356,0.355971247,0.17141901
9.346394388,-0.4869394,2.790031195,10.90887833,-0.250981867,0.123391144,0.24304086
9.366504493,0.137587309,2.544168711,11.35573769,-0.072461754,0.056197949,0.257701188
9.386614597,0.290727943,2.48195529,10.72343445,0.132935628,0.21150586,0.218148828
9.406724701,-0.16749759,2.623729944,9.059824944,0.235557973,0.344517857,0.169128329
9.426834805,-0.384646237,2.681157827,7.753343582,0.178901896,0.342379898,0.154468
9.446944909,-0.443868607,2.612364054,7.197012424,0.044668205,0.272590578,0.132935628
9.467055013,-0.500698149,2.569293261,7.43749094,-0.063299045,0.196234688,0.127285302
9.487165118,-0.373280346,2.43708992,7.885547161,-0.068338536,0.171800792,0.134615466
9.507275222,-0.190827608,2.35274291,7.980661869,7.64E-05,0.173175201,0.143167332
9.527385326,-0.093320087,2.397010088,7.6426754,0.061161082,0.18233791,0.144389018
9.54749543,-0.038285162,2.515454769,7.230511665,0.073225312,0.180047229,0.131103098
9.567605534,-0.002392823,2.648854733,6.982854843,0.048027866,0.16645588,0.106058352
9.587715638,0.003589234,2.800798893,6.921837807,0.012140589,0.143701822,0.079486497
9.607825743,-0.089730851,2.967100143,7.037889481,-0.016721943,0.105981998,0.048486002
9.627935847,-0.238085851,3.040081263,7.334001541,-0.02893889,0.034360159,0.038101599
9.648045951,-0.301495642,3.139383316,7.641479015,-0.014278554,-0.005955761,0.053372778
9.668156055,-0.282951266,3.375076294,7.743772507,-0.004199575,-0.029015245,0.054899897
9.688266159,-0.270388961,3.549154282,7.819146156,-0.046195325,-0.061848287,0.030007871
9.708376263,-0.423529595,3.685544968,8.288139343,-0.128201574,-0.120947756,0.020997874
