Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
3.315362765,0.049651071,3.61615324,9.489934921,0.03451287,0.086434886,0.021914145
3.335472296,0.21535404,3.671188116,9.309874535,0.072843537,0.042912021,0.041461259
3.355581827,0.314656168,3.750749588,9.123832703,0.074676074,0.056808796,0.025121093
3.375691358,0.24047868,3.777668715,8.979664803,0.045966256,0.093001492,0.007101099
3.39580089,0.160917327,3.800998688,8.874979019,0.010231691,0.118198946,0.002061609
3.415910421,0.106480606,3.814757586,8.858827591,-0.016492875,0.11774081,-0.001450762
3.436019952,0.095114701,3.80159688,8.81456089,-0.024586603,0.085213192,-0.015042114
3.456129483,0.028115666,3.789632797,8.756534576,-0.038177952,0.049020492,-0.031687703
3.476238962,-0.086739823,3.825525284,8.796614647,-0.082769804,0.044744562,-0.030924143
3.496348494,-0.104087785,3.796811342,8.98803997,-0.129652336,0.052532863,-0.01733279
3.516458025,-0.114257284,3.771686792,9.248259544,-0.149199441,0.029626092,-0.011835165
3.536567556,-0.104685992,3.752544165,9.485747337,-0.133164704,-0.004886778,-0.008933641
3.556677087,-0.101694964,3.701098442,9.522237778,-0.102927767,-0.009468133,-0.001145339
3.576786619,-0.13519448,3.739383698,9.434301376,-0.084144212,0.029626092,0.012446013
3.59689615,-0.161515534,3.797409534,9.310472488,-0.088267431,0.068720318,0.030007871
3.617005681,-0.212961212,3.853640795,9.308678627,-0.097277425,0.062000997,0.045737188
3.637115212,-0.186640173,3.893720627,9.172286987,-0.073148958,0.05803049,0.062535487
3.657224744,-0.133399859,3.975076675,8.818149567,-0.050853033,0.07345438,0.059175827
3.677334275,-0.110668048,4.023531437,8.517850876,-0.085213192,0.080173701,0.040697698
3.697443806,-0.162711933,3.995415688,8.691329956,-0.176076725,0.054976255,0.012140589
3.717553337,-0.340977222,3.902095556,9.382257462,-0.242659077,0.009620844,-0.01977618
3.737662869,-0.735792935,3.792623997,9.908080101,-0.201121464,0.053449135,-0.027717194
3.757772348,-1.174875975,3.763311863,9.732208252,-0.062306419,0.183254182,0.026953636
3.777881879,-1.198205948,3.82731986,8.961120605,0.044133715,0.255944997,0.128506988
3.79799141,-0.764506817,3.925425529,8.549555779,0.017714571,0.193180442,0.222882897
3.818100942,-0.110069841,3.922434568,8.792427063,-0.07345438,0.095903017,0.245789662
3.838210473,0.16869399,3.803989887,9.476176262,-0.103844032,0.083991498,0.198296294
3.858320004,-0.023330022,3.686143398,9.758528709,-0.039246935,0.149963006,0.135226309
3.878429535,-0.650847733,3.806980848,9.609575272,0.014507622,0.238383144,0.124078348
3.898539067,-1.040877819,3.943371773,9.459425926,-0.010689827,0.247851282,0.196463749
3.918648598,-0.902692318,3.938585997,9.742377281,-0.081089973,0.084755056,0.275415748
3.938758129,-0.635294437,4.071387768,10.0767746,-0.110563353,-0.020005248,0.311608464
3.95886766,-0.149551421,3.787240028,10.35912704,-0.146297917,-0.164623335,0.270376265
3.978977192,0.662213683,3.19382,11.12961674,-0.240215689,-0.370326161,0.210818663
3.999086723,1.223330617,2.709871531,12.16331577,-0.318404138,-0.293053985,0.141792923
4.019196202,0.714257538,2.359921217,12.62513065,-0.21410197,0.126292676,0.061008371
4.039305733,-0.327816695,2.196611166,11.53101254,0.111937761,0.489594072,0.061161082
4.059415265,-0.929611623,2.39760828,9.806983948,0.44439137,0.496618807,0.167448506
4.079524796,-0.760319412,2.726023197,8.296514511,0.628714562,0.263275176,0.276026607
4.099634327,-0.828514814,3.200998545,7.43749094,0.645207405,0.074065231,0.273583204
4.119743858,-1.259222865,3.601198196,7.341778278,0.55067879,-0.081700824,0.234641701
4.13985339,-1.275972724,3.73160696,7.493722439,0.416903257,-0.240368396,0.231892884
4.159962921,-0.946361363,3.485146284,7.715656757,0.258846521,-0.35581854,0.208375275
4.180072452,-0.39960137,3.050250769,8.450253487,0.062000997,-0.46729815,0.159812912
4.200181983,0.294915378,2.660818815,9.534799576,-0.126750812,-0.467756301,0.111403272
4.220291515,0.192024022,2.669193745,10.61336517,-0.206313655,-0.244797036,0.03229855
4.240401046,-0.497108907,2.785843849,10.76411247,-0.069483876,0.089947261,-0.017943637
4.260510525,-0.985244751,2.785245657,9.796813965,0.138662323,0.232274666,-0.003588728
4.280620056,-0.960120082,3.028715372,8.768498421,0.235328913,0.132859275,0.080250062
4.300729587,-0.537188709,3.394218922,8.406583786,0.189820781,-0.040010497,0.133241057
4.320839119,-0.221336097,3.491726398,8.466404915,0.128277928,-0.097888276,0.09155073
4.34094865,-0.431904495,3.563511133,8.635697365,0.094986752,-0.079410143,0.011224318
4.361058181,-0.600598455,3.577867985,8.673383713,0.073759809,-0.057114217,-0.002214321
4.381167712,-0.657428026,3.653241873,8.778069496,0.048104223,-0.045813546,0.018707197
4.401277244,-0.585643351,3.73998189,8.889336586,0.055128966,-0.028709821,0.042530239
4.421386775,-0.46420759,3.828516245,8.673981667,0.090558104,-0.001221695,0.043904647
4.441496306,-0.468395025,3.929612875,8.376673698,0.086129464,0.014354911,0.018249061
4.461605785,-0.640080035,3.944568157,8.335995674,0.041079476,0.007024744,0.009849912
4.481715317,-0.720239639,3.893720627,8.505886078,0.023059484,-0.012827792,0.026342789
4.501824848,-0.725623488,3.907479286,8.525029182,0.063986249,-0.023364907,0.061466504
4.521934379,-0.664606512,4.032504559,8.383852005,0.105981998,-0.05635066,0.089718193
4.54204391,-0.466002196,4.106681824,8.244470596,0.113159455,-0.115755558,0.10743276
4.562153442,-0.247058943,4.157529354,8.347361565,0.074217945,-0.14950487,0.097506493
4.582262973,-0.151944235,4.246063709,8.706285477,0.028404398,-0.13805148,0.070629217
4.602372504,-0.196809664,4.277170658,9.195617676,-0.002901525,-0.155460626,0.029702447
4.622482035,-0.301495642,4.25802803,9.626325607,0.017714571,-0.174702317,0.016111096
4.642591515,-0.119641133,4.186841488,9.687940598,0.077577598,-0.177451134,0.015042114
4.662701046,0.017946171,4.2071805,9.600603104,0.100484371,-0.204022989,-0.005726693
4.682810577,0.193818629,4.170091629,9.62931633,0.092390649,-0.237161443,-0.037032615
4.702920108,-0.250049979,4.683351994,9.570094109,0.07711947,-0.201885015,-0.072767183
4.72302964,-0.268594354,4.670789719,9.201001167,0.018172706,-0.214560106,-0.079028361
4.743139171,0.366700083,4.110270977,9.574281693,-0.199441627,-0.532658815,-0.060092099
4.763248702,0.592821837,4.032504559,10.32921696,-0.378114462,-0.424996972,0.017638214
4.783358233,1.031904817,3.375076294,10.89153004,-0.494328141,-0.295039237,0.021150587
4.803467712,1.557129383,2.280359983,11.78046417,-0.558619797,-0.370326161,0.012904149
4.823577244,1.462014675,1.631905079,12.89193058,-0.405602574,-0.310004979,0.042682953
4.843686775,0.575473845,1.596610904,12.41037464,0.098193698,0.042453885,0.097659208
4.863796306,-0.503090978,2.401795626,10.37827015,0.660631299,0.199899763,0.168364778
4.883905837,-0.732801914,3.470191002,8.312665939,0.903290391,-0.12583454,0.283051342
4.904015369,0.680159807,3.759722471,7.118647575,0.728740752,-0.573432863,0.339860141
4.9241249,2.193620205,3.522833109,7.474579811,0.280989736,-0.689646542,0.181345284
4.944234431,2.449054003,3.121437073,8.675178528,-0.102316916,-0.279004484,-0.070476502
4.96434391,1.357926846,2.877369165,9.371489525,-0.205855534,0.340089202,-0.290381521
4.984453442,0.065802626,2.74935317,9.227920532,-0.131179452,0.592369139,-0.35192439
5.004562973,-0.429511666,2.752344131,8.977870941,-0.038177952,0.450805277,-0.243651703
5.024672504,-0.081954174,2.949752092,8.986844063,0.045355409,0.225249931,-0.090787172
5.044782035,0.609571576,3.302693367,8.758329391,0.131179452,0.194707558,-0.004352287
5.064891567,1.110867858,3.683750391,8.209176064,0.150115714,0.28862533,-0.027259059
5.085001098,1.184447169,3.914657831,7.882555962,0.041537613,0.319167703,-0.11720632
5.105110629,0.872782052,3.932005882,8.193024635,-0.107203692,0.303438366,-0.205015615
5.125220108,0.476171702,3.77647233,8.60518837,-0.167066723,0.301605821,-0.241361022
5.14532964,0.28414768,3.703491211,8.741579056,-0.15057385,0.286487371,-0.218301535
5.165439171,0.479760945,3.684946775,8.7032938,-0.13912046,0.257777542,-0.169128329
5.185548702,0.668793917,3.718446493,8.861818314,-0.170120955,0.268009245,-0.154468
5.205658233,0.487537623,3.786641836,9.068798065,-0.180505365,0.317640573,-0.156453252
5.225767765,0.098105729,3.850649834,8.928817749,-0.121253178,0.368493617,-0.143778175
5.245877296,-0.102293171,3.976871252,8.525627136,-0.053601846,0.33184278,-0.100560732
5.265986775,0.024526432,4.042075634,8.373682976,-0.054212693,0.218683317,-0.049860407
5.286096306,0.187836573,4.05523634,8.589634895,-0.080631837,0.151948258,-0.020539738
5.306205837,0.086141616,4.067200184,8.740383148,-0.050089475,0.187835529,-0.011682454
5.326315369,-0.224327117,4.236492634,8.631509781,0.010231691,0.200816035,0.015042114
5.3464249,-0.304486692,4.453042984,8.411369324,0.04214846,0.143396393,0.067727692
