"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.820948400E-2,1.033699393E0,3.543172121E0,8.468797684E0
3.831937900E-2,1.083350420E0,3.402593851E0,9.439684868E0
5.842922300E-2,1.787438512E0,3.272184849E0,8.930013657E0
7.853911900E-2,1.512862086E0,3.879363775E0,7.636693478E0
9.864901500E-2,8.650053740E-1,3.798007727E0,8.141578674E0
1.187588590E-1,6.502495408E-1,3.667000771E0,8.550751686E0
1.388687540E-1,5.593222976E-1,3.748356581E0,8.577671051E0
1.589786500E-1,8.691928387E-1,3.585046530E0,8.678768158E0
1.790885460E-1,9.571290612E-1,3.491726398E0,8.979664803E0
1.991984420E-1,1.010369420E0,3.448057413E0,9.150752068E0
2.193083380E-1,1.047458172E0,3.446262836E0,9.177671432E0
2.394182340E-1,1.163509965E0,3.414557934E0,9.184251785E0
2.595281290E-1,1.311266780E0,3.339782238E0,9.230313301E0
2.796380250E-1,1.271187067E0,3.288336515E0,9.061619759E0
2.997479210E-1,1.000798106E0,3.325425386E0,8.375477791E0
3.198578170E-1,8.009973764E-1,3.363112211E0,7.451249599E0
3.399677130E-1,8.470591903E-1,3.311666489E0,6.852446079E0
3.600776090E-1,9.918249846E-1,3.093321562E0,6.654439926E0
3.801875040E-1,9.690931439E-1,2.855235577E0,6.763911247E0
4.002974520E-1,5.563312769E-1,2.884547710E0,6.624529362E0
4.204073480E-1,4.187439755E-2,3.125026464E0,6.156134605E0
4.405172440E-1,-2.901297510E-1,3.395415306E0,5.989833355E0
4.606271400E-1,-2.494517565E-1,3.437289715E0,6.649055958E0
4.807370880E-1,1.232303679E-1,3.233301640E0,7.913662910E0
5.008469840E-1,7.525427341E-1,3.027518749E0,8.791828156E0
5.209569320E-1,1.143769264E0,2.977867842E0,9.092127800E0
5.410668270E-1,1.083350420E0,3.115455151E0,8.980861664E0
5.611767230E-1,4.827519655E-1,3.307479143E0,8.786444664E0
5.812866710E-1,1.220339537E-1,3.247060299E0,8.812167168E0
6.013966190E-1,8.075776696E-2,3.333800077E0,9.096913338E0
6.215065150E-1,-0.000000000E0,3.882952929E0,9.902098656E0
6.416164630E-1,-3.589234054E-1,4.402793884E0,1.084726334E1
6.617263590E-1,-1.073180914E0,5.453242779E0,1.095314598E1
6.818363070E-1,4.420739710E-1,4.430311203E0,1.185763264E1
7.019462540E-1,1.859223247E0,2.587239504E0,1.541994762E1
7.220561500E-1,5.808576941E-1,2.383251429E0,1.809332848E1
7.421660980E-1,-1.369890928E0,2.708675146E0,1.679282951E1
7.622760460E-1,-1.494317770E0,3.090330362E0,1.448375511E1
7.823859940E-1,-3.128615618E-1,3.472583771E0,1.286082363E1
8.024959420E-1,1.018146038E0,3.187239647E0,1.223270798E1
8.226058900E-1,6.059823632E-1,3.081357241E0,1.113739300E1
8.427157860E-1,-2.662015259E-1,3.067598581E0,9.166305542E0
8.628257340E-1,-8.578268886E-1,3.105883837E0,7.195217609E0
8.829356820E-1,-1.139581800E0,3.120838881E0,6.290730953E0
9.030456290E-1,-1.024128079E0,3.111865759E0,6.181259155E0
9.231555770E-1,-1.098903775E0,3.187838078E0,6.504290104E0
9.432655250E-1,-1.388435364E0,3.297309637E0,7.074978352E0
9.633755250E-1,-1.558923960E0,3.418147087E0,7.452445984E0
9.834854730E-1,-1.295713425E0,3.403192043E0,7.389634609E0
1.003595421E0,-6.346961856E-1,3.437289715E0,7.407580853E0
1.023705369E0,4.055834413E-1,3.439682484E0,7.756932735E0
1.043815317E0,1.408176184E0,3.023331404E0,8.431110382E0
1.063925317E0,1.140179992E0,2.628515720E0,8.730812073E0
1.084035265E0,1.345962733E-1,2.145165443E0,8.668000221E0
1.104145213E0,-6.711867452E-1,1.886740685E0,8.827720642E0
1.124255213E0,-1.112064362E0,1.939980984E0,8.883354187E0
1.144365161E0,-1.011565804E0,1.995015860E0,8.566903114E0
1.164475109E0,-3.810569942E-1,1.911865234E0,8.079365730E0
1.184585109E0,2.985046208E-1,2.024926186E0,7.634300709E0
1.204695057E0,4.917250574E-1,2.198405743E0,7.141379356E0
1.224805057E0,1.770688742E-1,2.495713949E0,6.511468410E0
1.244915004E0,-1.854437590E-2,2.635095835E0,6.245865345E0
1.265025004E0,3.409772366E-2,2.673381090E0,6.330810547E0
1.285134952E0,1.000798106E0,2.611765862E0,6.552744865E0
1.305244952E0,1.353739381E0,2.489732027E0,7.177869797E0
1.325354952E0,9.978070259E-1,3.069991350E0,8.241478920E0
1.345464952E0,-3.343969584E-1,3.988237143E0,9.513862610E0
1.365574900E0,-1.055832982E0,5.059623718E0,1.103629589E1
1.385684900E0,-1.016949583E-2,6.203990936E0,1.193599796E1
1.405794900E0,1.854437590E-1,6.598806858E0,1.162672520E1
1.425904900E0,3.084946632E0,4.134797573E0,1.181994534E1
1.446014900E0,3.387638569E0,2.315055847E0,1.555215073E1
1.466124900E0,9.852447510E-1,1.782054663E0,1.967797470E1
1.486234900E0,-1.129412293E0,1.331605792E0,1.912044716E1
1.506344848E0,-1.416550994E0,1.571486235E0,1.524886036E1
1.526454848E0,-1.818545163E-1,1.986042738E0,1.186481094E1
1.546564900E0,1.158724308E0,2.249253273E0,1.054038334E1
1.566674900E0,1.309472203E0,2.551347256E0,9.932008743E0
1.586784900E0,4.366901219E-1,2.781058073E0,8.563314438E0
1.606894900E0,-3.744767308E-1,2.712264538E0,6.873383045E0
1.627004900E0,-9.266205430E-1,2.706880569E0,6.019743443E0
1.647114900E0,-1.016351461E0,2.666800737E0,6.155536175E0
1.667224900E0,-8.973084688E-1,2.639283419E0,6.790830612E0
