"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.358958500E-2,1.495514214E-1,1.798804402E0,9.806385040E0
3.370328300E-2,2.751746178E-1,1.812563181E0,9.959526062E0
5.381698100E-2,3.583251834E-1,1.848455548E0,9.945169449E0
7.393062600E-2,2.673979402E-1,1.835294962E0,9.642477036E0
9.404432400E-2,1.567298770E-1,1.813161373E0,9.364311218E0
1.141580220E-1,1.411765367E-1,1.811366796E0,9.439684868E0
1.342717200E-1,2.267199457E-1,1.744965911E0,9.726823807E0
1.543854180E-1,4.743770957E-1,1.655235052E0,9.984052658E0
1.744990640E-1,2.422732860E-1,1.716252089E0,9.984650612E0
1.946127620E-1,1.004985496E-1,1.588235974E0,9.860223770E0
2.147264600E-1,1.674975902E-1,1.625923038E0,9.681958199E0
2.348401580E-1,3.870390654E-1,1.698305845E0,9.652048111E0
2.549538030E-1,4.139583111E-1,1.728216171E0,9.805189133E0
2.750675010E-1,3.134597540E-1,1.757528186E0,9.905089378E0
2.951811990E-1,2.488535494E-1,1.764108539E0,9.730413437E0
3.152948970E-1,2.219343036E-1,1.742573142E0,9.464211464E0
3.354085430E-1,8.075776696E-2,1.811366796E0,9.376873970E0
3.555222410E-1,8.015955985E-2,1.820339799E0,9.430113792E0
3.756359390E-1,2.811566591E-1,1.771286964E0,9.738189697E0
3.957496370E-1,2.769692242E-1,1.723430514E0,1.005942631E1
4.158632830E-1,1.459621787E-1,1.689931035E0,1.008215809E1
4.359769810E-1,1.393819153E-1,1.732403636E0,9.917053223E0
4.560906780E-1,2.733799815E-1,1.777269006E0,9.812965393E0
4.762043760E-1,2.919243574E-1,1.856830359E0,9.748957634E0
4.963180220E-1,2.273181528E-1,1.959721804E0,9.572486877E0
5.164317200E-1,2.458625287E-1,1.990828395E0,9.480961800E0
5.365454180E-1,3.122633696E-1,1.955534339E0,9.610772133E0
5.566590640E-1,2.614158690E-1,1.902892232E0,9.711270332E0
5.767727620E-1,3.888336942E-2,1.911865234E0,9.650852203E0
5.968864600E-1,-7.776673883E-2,1.943570137E0,9.510273933E0
6.170001580E-1,-3.649054468E-2,1.946561217E0,9.480362892E0
6.371138030E-1,-3.230310604E-2,1.963909149E0,9.667601585E0
6.572275010E-1,-6.101697683E-2,1.999801517E0,9.887741089E0
