"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.929541664E-3,-3.194656677E0,4.595593414E0,6.330036621E0
2.202154167E-2,-2.993624725E0,4.579576721E0,7.028783569E0
4.211354167E-2,-2.627037048E0,4.546196136E0,8.186176758E0
6.220554167E-2,-2.385888519E0,4.364174652E0,8.633746033E0
8.229754167E-2,-2.005529480E0,4.319567413E0,8.397836609E0
1.023895417E-1,-1.812730408E0,4.074976044E0,8.526718597E0
1.224815417E-1,-1.617236938E0,3.864813080E0,9.149273987E0
1.425735417E-1,-1.423390045E0,4.128115540E0,9.305099945E0
1.626655417E-1,-1.448837128E0,4.701423340E0,9.008865967E0
1.827575417E-1,-1.306632843E0,4.945865021E0,8.418343964E0
2.028495417E-1,-9.674382019E-1,4.938979340E0,8.317902832E0
2.229415417E-1,-1.138682098E0,4.394860840E0,8.297245789E0
2.430335417E-1,-1.389560394E0,4.109703827E0,8.345894623E0
2.631255417E-1,-1.355131989E0,4.351451111E0,8.419092407E0
2.832175417E-1,-1.044228516E0,4.301904144E0,8.124954071E0
3.033095417E-1,-8.303233337E-1,3.981719971E0,7.679330750E0
3.234015417E-1,-6.870712280E-1,3.797902222E0,7.588020630E0
3.434935417E-1,-7.599696350E-1,4.108955383E0,7.323370972E0
3.635855417E-1,-8.493338013E-1,4.518952789E0,7.465126190E0
3.836775417E-1,-8.854087830E-1,4.560715942E0,7.329059143E0
4.037695417E-1,-1.175804901E0,4.157304840E0,7.418872375E0
4.238615417E-1,-1.465602264E0,3.509302368E0,8.139922943E0
4.439535417E-1,-1.338366852E0,2.910996552E0,8.623417511E0
4.640455417E-1,-9.262738037E-1,2.413880310E0,7.961194611E0
4.841375417E-1,-4.568499756E-1,2.655627594E0,6.718927917E0
5.042295417E-1,-6.360273743E-1,3.735482025E0,6.760242004E0
5.243215417E-1,-1.728904724E0,4.280648346E0,7.511679382E0
5.444135417E-1,-2.131717072E0,4.398453369E0,7.907905426E0
5.645065417E-1,-1.678160248E0,4.025429077E0,7.404053192E0
5.845985417E-1,-1.154998169E0,3.825744324E0,6.676116943E0
6.046905417E-1,-9.126521301E-1,3.742517395E0,6.293063507E0
6.247825417E-1,-1.179696808E0,4.270170135E0,8.136629791E0
6.448745417E-1,-9.024732971E-1,4.437222748E0,1.007105713E1
6.649665417E-1,-1.166524200E0,5.031187592E0,1.220936050E1
6.850585417E-1,-2.609523468E0,6.455026703E0,1.364292938E1
7.051505417E-1,-4.196074219E0,6.229146423E0,1.274090515E1
7.252425417E-1,-3.316054230E0,5.201383667E0,1.210832062E1
7.453345417E-1,-6.465055847E-1,4.658612366E0,1.281425262E1
7.654263750E-1,1.641336823E0,3.377725983E0,1.213481552E1
7.855183750E-1,2.015259247E0,3.056493988E0,1.105930206E1
8.056103750E-1,1.282083893E0,3.254232788E0,9.001231842E0
8.257023750E-1,1.016685791E0,3.970942383E0,7.121291199E0
8.457943750E-1,1.017434235E0,3.066373444E0,6.911577301E0
8.658863750E-1,3.929328918E-1,1.715582428E0,8.536298676E0
8.859783750E-1,-1.138981476E0,1.259780273E0,9.423204346E0
9.060703750E-1,-9.839039612E-1,-1.431024170E-1,7.986192627E0
9.261623750E-1,-5.388793945E-2,-4.095483398E-1,6.203998718E0
9.462543750E-1,3.429368591E-1,2.966830444E-1,5.627397766E0
9.663463750E-1,6.935078430E-1,7.430548096E-1,5.986501007E0
9.864383750E-1,1.149459686E0,7.358697510E-1,6.724316711E0
1.006530375E0,1.190923462E0,2.640509033E-1,7.313341827E0
1.026622375E0,1.445993042E-1,7.993377686E-2,5.755681000E0
1.046714375E0,1.743873596E-1,-6.738986206E-1,6.661148071E0
1.066806375E0,4.845423889E-1,-1.024918671E0,1.056981995E1
1.086898375E0,6.629713440E-1,1.032852173E-2,1.515942581E1
1.106990375E0,1.227447510E0,8.758287048E-1,1.485900055E1
1.127082375E0,-1.797761536E0,3.074007568E0,1.427132263E1
1.147174375E0,-1.018032990E0,7.010371857E0,8.386011200E0
1.167266375E0,-1.000818787E0,7.008126526E0,8.382119293E0
1.187358375E0,-2.341580658E0,5.037773895E0,1.159294235E1
1.207450375E0,-3.774700470E0,3.329376526E0,1.553185135E1
1.227542375E0,-3.018922119E0,4.809498596E-1,1.099748062E1
1.247634375E0,-1.655257874E0,5.456153870E-1,6.455176392E0
1.267727375E0,-1.746118927E0,2.427352295E0,5.725144501E0
1.287819375E0,-3.684587860E0,3.556753693E0,5.718408508E0
1.307911375E0,-4.233945465E0,3.902384949E0,5.938899994E0
1.328003375E0,-1.092428284E0,3.011138306E0,8.693621521E0
1.348095375E0,5.137316895E-1,1.626667328E0,9.361083527E0
1.368187375E0,8.885522461E-1,4.281097412E-1,9.430539093E0
1.388279375E0,-1.492695923E0,1.026565247E0,9.528734894E0
1.408371375E0,-5.201533356E0,5.478008423E0,8.678952026E0
1.428463375E0,-4.993915100E0,7.883805542E0,6.556515656E0
1.448555375E0,-9.186396790E-1,6.610852661E0,8.520731049E0
1.468647375E0,2.872526550E-1,4.502337341E0,9.827214203E0
1.488739375E0,-1.149759064E0,3.531755676E0,9.124126282E0
1.508831375E0,-2.761457520E0,4.690346375E0,9.999805298E0
1.528923375E0,-1.599124603E0,4.723876648E0,1.079719711E1
1.549015375E0,-8.457412720E-2,3.471131744E0,9.842482452E0
1.569107375E0,2.381547546E-1,2.489922180E0,8.150101776E0
1.589199375E0,3.185375977E-1,2.127525787E0,6.494394836E0
1.609291375E0,-4.954696655E-2,1.985471191E0,5.063220978E0
1.629383375E0,-5.420228577E-1,2.679278412E0,5.203179932E0
1.649475375E0,5.194198608E-2,3.325634308E0,6.337371368E0
1.669567375E0,1.549877014E0,3.300935669E0,7.282655640E0
1.689659375E0,2.179767151E0,2.552192688E0,8.068671112E0
1.709751375E0,1.123563538E0,2.329755249E0,1.045051804E1
1.729843375E0,-1.234333191E0,2.459984436E0,1.172841064E1
1.749935375E0,-2.987188110E0,4.730912018E0,1.115495316E1
1.770027625E0,-1.102457428E0,6.899602203E0,7.126230927E0
1.790119625E0,1.396296387E0,7.026687927E0,6.202501831E0
1.810211625E0,2.282154236E0,4.010011139E0,1.126976440E1
1.830303625E0,1.239721985E0,1.088237000E-1,1.397823212E1
1.850395625E0,-1.098565521E0,9.430389404E-3,1.209230392E1
1.870487625E0,-2.512225800E0,9.762698364E-1,8.922794952E0
1.890579625E0,-2.160457306E0,2.300116882E0,7.685318298E0
1.910671625E0,-2.221081238E0,3.154540100E0,6.910080414E0
1.930763625E0,-8.581654358E-1,2.321522369E0,8.565038910E0
1.950855625E0,9.858499146E-1,8.996292114E-1,8.261619873E0
1.970947625E0,1.512454834E0,8.698411560E-1,7.302115173E0
1.991039625E0,6.932084656E-1,1.018032990E0,6.195167084E0
2.011131625E0,-6.173162842E-1,1.963616638E0,6.016887817E0
2.031223625E0,-1.004710693E0,2.836900635E0,8.922046509E0
2.051315625E0,6.959028625E-1,1.709145813E0,1.184786224E1
2.071407625E0,6.339317322E-1,5.080435181E-1,1.553185135E1
2.091499625E0,-2.621049500E-1,-6.740483093E-1,1.506736725E1
2.111591625E0,-1.605710907E0,-1.124461670E0,1.391730881E1
2.131683625E0,-1.353635101E0,-6.833290100E-1,1.255184830E1
2.151775625E0,4.929249573E-1,1.228645020E0,1.451366867E1
2.171867625E0,7.652087402E-1,3.154989166E0,1.505883499E1
2.191959625E0,-3.020718384E-1,3.339255981E0,1.211984665E1
2.212051625E0,-7.682025146E-1,3.335364075E0,1.025053391E1
2.232143625E0,-8.997789001E-1,2.395318909E0,1.054646851E1
2.252236625E0,-5.553451538E-1,1.885628815E0,1.049497559E1
2.272328625E0,2.429447937E-1,2.021845551E0,9.200766907E0
2.292420625E0,7.872129822E-1,1.761985931E0,6.289920044E0
2.312512625E0,6.626719666E-1,1.922302551E0,5.201084290E0
2.332604625E0,1.957928467E-1,2.003433838E0,6.339317322E0
2.352696625E0,-3.324586487E-1,2.533032532E0,9.032816162E0
2.372788625E0,-7.268884277E-1,2.928360443E0,1.122006775E1
2.392880625E0,-6.979985046E-1,2.243684235E0,1.250843857E1
2.412972625E0,-8.446934509E-1,1.639241180E0,1.122830063E1
2.433064625E0,-1.325044556E0,2.122735748E0,7.712561646E0
2.453156625E0,-1.076860657E0,3.930825806E0,5.723348236E0
2.473248625E0,6.466552734E-2,5.557792511E0,7.106472015E0
2.493340625E0,6.598278809E-1,5.562881927E0,8.790470123E0
2.513432625E0,-7.436535645E-1,4.104315033E0,8.910370789E0
2.533524625E0,-2.290237427E0,2.836301880E0,7.632627869E0
2.553616625E0,-2.934198303E0,1.736538849E0,6.014343109E0
2.573708625E0,-2.984044647E0,1.125060425E0,6.158193970E0
2.593800625E0,-2.271077271E0,1.266067200E0,8.255632324E0
2.613892625E0,-8.565188599E-1,6.658154297E-1,9.443412323E0
2.633984625E0,7.339237976E-1,1.875599670E-1,1.022793091E1
2.654076625E0,9.403445435E-1,-4.041595459E-2,1.075019485E1
2.674168625E0,-1.200054474E0,-2.110610962E-1,1.136346954E1
2.694260625E0,-2.338586884E0,1.233135681E0,1.146106659E1
2.714352625E0,-1.538051605E0,3.564238129E0,9.339378662E0
2.734444625E0,7.128176880E-1,4.818779297E0,8.419840851E0
2.754536625E0,1.893712006E0,4.484973450E0,1.288670197E1
2.774628417E0,1.736688538E0,2.920127563E0,1.440574310E1
2.794720417E0,2.065704346E-1,2.929707642E0,1.267189865E1
2.814812417E0,-9.186396790E-1,4.009562073E0,8.794362030E0
2.834904417E0,-6.815327454E-1,4.707410889E0,4.653972015E0
2.854996417E0,6.945556641E-2,4.299359436E0,2.866838379E0
2.875088417E0,6.497987366E-1,3.529210968E0,3.117267609E0
2.895180417E0,1.980381775E-1,3.449726257E0,4.885091400E0
2.915272417E0,-1.090482330E0,4.098776550E0,6.888225861E0
2.935364417E0,-2.870430908E0,5.025349731E0,7.700137482E0
2.955456417E0,-2.070793762E0,4.908592529E0,6.706952820E0
2.975548417E0,-5.923182678E-1,2.647993469E0,6.354585571E0
2.995640417E0,3.275189209E-1,3.796105957E-1,6.978188782E0
3.015732417E0,2.687211914E0,-5.807922363E-2,8.781189423E0
3.035824417E0,4.131708069E0,-2.107617188E-1,8.914861450E0
3.055916417E0,1.847458191E0,1.845661926E-1,8.910520477E0
3.076008417E0,-3.553310852E0,1.200503540E0,1.319670731E1
3.096100417E0,-5.079537048E0,3.044668579E-1,1.651051620E1
3.116192417E0,-2.357297974E0,-6.818321228E-1,1.728829880E1
3.136284417E0,3.311114502E-1,-2.260299683E-1,1.680764832E1
3.156376417E0,8.713380432E-1,5.855822754E-1,1.572075851E1
3.176468417E0,-3.950285339E-1,1.253343658E0,1.331361420E1
3.196560417E0,3.851490784E-1,8.918453979E-1,1.089464447E1
3.216652417E0,1.280736694E0,5.688171387E-1,1.081141754E1
3.236744417E0,4.299060059E-1,6.182144165E-1,1.283341278E1
3.256836417E0,-1.509461060E0,1.274150391E0,1.395398254E1
3.276928417E0,-1.243763580E0,1.691781921E0,1.122620499E1
3.297020417E0,1.286424866E0,9.458830261E-1,7.188202057E0
3.317112417E0,2.282154236E0,2.883004761E-1,7.356901245E0
3.337204417E0,8.301736450E-1,-3.421884155E-1,8.679101715E0
3.357296417E0,-1.054706726E0,-1.143621826E-1,7.926766205E0
3.377388417E0,-1.913021851E0,6.258485413E-1,5.813311157E0
3.397480417E0,-1.637744293E0,1.375040588E0,3.373235321E0
3.417572417E0,-9.514215088E-1,1.770667877E0,2.076182556E0
3.437664417E0,-5.722599792E-1,1.837878113E0,2.598147125E0
3.457756417E0,8.352630615E-2,1.439107361E0,4.585414581E0
3.477848417E0,3.134481812E-1,1.223256226E0,7.022796021E0
3.497940417E0,-9.460327148E-1,1.082249451E0,8.887917480E0
3.518032417E0,-2.678380280E0,1.275497589E0,1.003857468E1
3.538124417E0,-3.181035004E0,5.819897461E-1,1.139999359E1
3.558216417E0,-9.653425598E-1,5.857319641E-1,1.503428604E1
3.578308417E0,9.991722107E-1,1.337468719E0,1.839060654E1
3.602166417E0,8.189469910E-1,2.380948792E0,2.004721161E1
3.622258417E0,-3.742218018E-3,2.223775635E0,1.965308121E1
3.642350417E0,-5.207670593E-1,8.090675354E-1,1.805635162E1
3.662442417E0,-1.191073151E0,-3.787124634E-2,1.496542923E1
3.682534417E0,-1.772314453E0,1.366658020E-1,1.091455307E1
3.702626417E0,-1.423240356E0,1.199605408E0,6.975943451E0
3.722718417E0,-8.425978088E-1,2.367626495E0,4.037703552E0
3.742810417E0,-2.023791504E-1,2.917433167E0,2.048041077E0
3.762902125E0,4.210743713E-1,2.968477020E0,1.799557800E0
3.782994125E0,8.696914673E-1,2.553839264E0,2.757565613E0
3.803086125E0,1.361718292E0,1.840273132E0,4.357438660E0
3.823178125E0,4.246669006E-1,1.119671631E0,6.731202393E0
3.843270125E0,-1.032552795E0,7.116201782E-1,1.061682220E1
3.863362125E0,-1.316362610E0,8.798703003E-1,1.396925079E1
3.883454125E0,-5.544470215E-1,4.954696655E-1,1.489387802E1
3.903546125E0,1.015488281E0,-3.338058472E-1,1.326481567E1
3.923638125E0,1.683998108E0,-2.618055725E-1,1.040186920E1
3.943730125E0,1.638792114E0,5.016069031E-1,9.616751862E0
3.963822125E0,6.698570251E-1,1.705104218E0,1.150672165E1
3.983914125E0,-2.978805542E-1,2.101629639E0,1.231683701E1
4.004006125E0,-2.854563904E-1,2.113305359E0,1.144220581E1
4.024098125E0,2.426454163E-1,1.866618347E0,9.252110138E0
4.044190125E0,3.567082214E-1,1.630110168E0,7.108867035E0
4.064282125E0,1.266366577E-1,1.528920593E0,6.154302063E0
4.084374125E0,-3.847000122E-2,1.843715973E0,6.532266083E0
4.104466125E0,-8.581654358E-1,2.726879425E0,7.796237640E0
4.124558125E0,-5.981561279E-1,3.227737885E0,9.081764374E0
4.144650125E0,3.707789612E-1,3.229384460E0,9.713750153E0
4.164742125E0,2.691103821E0,2.582729187E0,1.127874573E1
4.184834125E0,1.973496094E0,2.883453827E0,1.297651520E1
4.204926125E0,5.746549988E-1,2.227966919E0,1.464734070E1
4.225018125E0,5.161267090E-1,1.431622925E0,1.481379456E1
4.245110125E0,3.617976379E-1,2.819985809E0,1.269614822E1
4.265202125E0,8.517288208E-2,4.911436615E0,9.657766571E0
4.285294125E0,-3.323089600E-2,6.329587555E0,7.078629913E0
4.305386125E0,3.478765869E-1,5.704637146E0,5.526357880E0
4.325478125E0,-1.218466187E0,4.519102478E0,5.433251495E0
4.345570125E0,-2.803370361E0,2.812201996E0,7.163653107E0
4.365662125E0,-1.834135895E0,6.399192810E-1,9.385482788E0
4.385754125E0,-1.212478638E-2,1.188079376E0,1.075004517E1
4.405846125E0,8.217910767E-1,1.656754761E0,9.963281250E0
4.425938125E0,3.195854187E-1,2.284998322E0,7.784861298E0
4.446030125E0,-9.922865295E-1,3.361409912E0,5.842350769E0
4.466122125E0,-1.329984283E0,3.547772369E0,6.935826874E0
4.486214125E0,-1.928140411E0,2.993774414E0,8.733887787E0
4.506306125E0,-2.442021790E0,4.263583832E0,8.764274597E0
4.526398125E0,-1.288670197E0,5.370681610E0,8.753197632E0
4.546490125E0,1.279988251E0,4.696633301E0,1.171583679E1
4.566582125E0,2.510279846E-1,3.735032959E0,1.568378540E1
4.586674125E0,-3.325933685E0,3.441194000E0,1.546613800E1
4.606766125E0,-4.326153717E0,3.334166565E0,1.272473877E1
4.626858125E0,-2.091450806E0,4.372856598E0,1.022104523E1
4.646950125E0,-4.562512207E-1,4.788242798E0,8.276588745E0
4.667042125E0,-1.280287628E0,3.697161713E0,6.530170441E0
4.687134125E0,-3.080743561E0,2.244582367E0,5.983058167E0
4.707226125E0,-3.653751984E0,1.597328339E0,7.727680206E0
