"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.040750000E-3,-2.377950191E0,4.731000423E0,7.261950493E0
2.286659600E-2,-3.115050077E0,5.349000454E0,5.421000481E0
4.268136500E-2,-2.590950012E0,6.601050377E0,5.755950451E0
6.250444200E-2,-9.049500227E-1,7.195050240E0,7.339050293E0
8.232200900E-2,-4.020000100E-1,7.380000114E0,7.999950409E0
1.021450670E-1,-4.669500291E-1,7.123050213E0,8.239950180E0
1.219626110E-1,-8.020500541E-1,5.872950077E0,7.834950447E0
1.417854420E-1,-1.803000093E0,4.723950386E0,7.306050301E0
1.616029760E-1,-2.538000107E0,4.588950157E0,7.429950237E0
1.814259710E-1,-2.268000126E0,4.812000275E0,8.011950493E0
2.012435720E-1,-1.366950035E0,5.053950310E0,8.236949921E0
2.210665770E-1,-1.104000092E0,5.377050400E0,8.359050751E0
2.408841490E-1,-1.137000084E0,5.491950035E0,8.260950089E0
2.607071540E-1,-1.069950104E0,5.434950352E0,8.224950790E0
2.805247640E-1,-1.069950104E0,5.248050213E0,7.774950504E0
3.003477740E-1,-1.069950104E0,5.230950356E0,6.907950401E0
3.201653710E-1,-9.430500269E-1,5.100000381E0,6.771000385E0
3.399883800E-1,-9.049500227E-1,4.750050068E0,6.955950260E0
3.598057160E-1,-1.594950080E0,4.144050121E0,7.624050140E0
3.796288030E-1,-1.579950094E0,3.435000181E0,8.104949951E0
3.994463080E-1,-6.169500351E-1,3.298950195E0,8.034000397E0
4.192693990E-1,1.069500074E-1,2.974950075E0,7.570950508E0
4.390871830E-1,1.819500029E-1,2.371950150E0,7.537950516E0
4.589100290E-1,7.095000148E-2,2.836050034E0,9.018000603E0
4.787275720E-1,1.960500032E-1,3.616950274E0,8.628000259E0
4.985506490E-1,3.900000155E-1,3.495000124E0,8.376000404E0
5.183681870E-1,9.960000515E-1,3.034950256E0,7.674000263E0
5.381911730E-1,2.823000193E0,2.946000099E0,8.343000412E0
5.580088130E-1,2.991000175E0,2.926950216E0,8.854949951E0
5.778318180E-1,1.915950060E0,2.949000120E0,7.867950439E0
5.976493510E-1,2.260050058E0,3.040050030E0,1.029195023E1
6.174724280E-1,1.290000081E-1,-1.414050102E0,1.934805107E1
6.372899860E-1,1.620000005E-1,2.023950100E0,6.988950253E0
6.571130530E-1,2.488050222E0,5.832000256E0,1.281900024E1
6.769305620E-1,4.736999989E0,3.403950214E0,1.263705063E1
6.967536100E-1,5.973000050E0,3.222000122E0,7.705950260E0
7.165711640E-1,2.683950186E0,2.628000021E0,8.731050491E0
7.363940000E-1,1.480050087E0,2.451000214E0,9.732000351E0
7.562115190E-1,1.498950124E0,3.775050163E0,1.034700012E1
7.760345910E-1,-5.290500522E-1,2.749950171E0,1.088100052E1
7.958521490E-1,-1.519950032E0,2.094000101E0,9.277050018E0
8.156752410E-1,-2.076000214E0,3.490050077E0,8.950950623E0
8.354927700E-1,-1.111050010E0,3.751050234E0,8.910000801E0
8.553158560E-1,-1.137000084E0,2.881950140E0,7.918950558E0
8.751333860E-1,-1.960500032E-1,2.901000023E0,8.326050758E0
8.949564630E-1,-1.020000055E-1,3.523950100E0,9.265050888E0
9.147739960E-1,7.095000148E-2,3.267000198E0,9.811050415E0
9.345970580E-1,9.795000404E-2,3.343950272E0,9.271950722E0
9.544145010E-1,-4.305000231E-2,3.181050062E0,8.769000053E0
9.742375780E-1,-4.305000231E-2,2.893950224E0,8.151000023E0
9.940552170E-1,-5.205000192E-2,2.796000242E0,7.794000149E0
1.013878222E0,1.480500102E-1,2.865000248E0,7.867950439E0
1.033695766E0,-6.900000572E-2,2.740050077E0,8.398050308E0
1.053518843E0,-2.100000083E-1,2.664000034E0,7.861050606E0
1.073336385E0,-3.160500228E-1,2.539050102E0,8.107950211E0
1.093159462E0,-4.039500058E-1,2.530050039E0,8.167950630E0
1.112976982E0,-3.520500064E-1,2.808000088E0,7.603050232E0
1.132800064E0,-3.300000131E-1,3.351000071E0,8.175000191E0
1.152617616E0,-4.429500103E-1,3.628950119E0,9.238050461E0
1.172440449E0,-4.110000134E-1,3.540000200E0,1.004100037E1
1.192258208E0,-8.550000191E-1,3.736950159E0,1.098705006E1
1.212081054E0,-2.035050154E0,3.742050171E0,1.140600014E1
