"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.307854400E-2,-5.454439163E0,5.576473236E0,5.811567783E0
3.318948200E-2,-4.877768993E0,5.260620594E0,6.038886070E0
5.330041900E-2,-4.696512699E0,5.239085197E0,6.279963017E0
7.341130500E-2,-4.811966419E0,5.368297577E0,6.144170284E0
9.352224200E-2,-4.772484779E0,5.499902725E0,5.833701611E0
1.136331800E-1,-4.264608383E0,5.558526993E0,5.478367329E0
1.337441170E-1,-3.296711445E0,5.420939922E0,6.072385788E0
1.538550020E-1,-2.433500528E0,5.130211830E0,7.591229916E0
1.739659400E-1,-1.786242127E0,5.045266628E0,8.512466431E0
1.940768770E-1,-1.849651933E0,5.191228867E0,8.523832321E0
2.141878150E-1,-1.933400750E0,5.467599869E0,8.213363647E0
2.342987000E-1,-1.131805062E0,5.295914650E0,8.190631866E0
2.544096380E-1,-6.388836503E-1,5.011766911E0,8.697312355E0
2.745205750E-1,-1.149751306E0,4.362115860E0,8.075776100E0
2.946315130E-1,-7.992027402E-1,3.906282902E0,7.619345665E0
3.147424500E-1,-3.870390654E-1,4.149154663E0,8.133204460E0
3.348533360E-1,-2.027917206E-1,3.981656790E0,9.924830437E0
3.549642730E-1,-5.599204898E-1,3.391227961E0,1.090170002E1
3.750752110E-1,-1.555932879E0,2.276172638E0,1.103031445E1
3.951861480E-1,-7.298108935E-1,2.166700840E0,1.111884880E1
4.152970860E-1,9.451649338E-2,1.534995675E0,1.036391354E1
4.354079710E-1,4.923232496E-1,1.679163337E0,1.008694363E1
4.555189090E-1,2.506481707E-1,2.216351986E0,1.072463131E1
4.756298460E-1,8.099704385E-1,2.158924341E0,1.119422245E1
4.957407840E-1,2.271386862E0,1.423131227E0,1.073898792E1
5.158517210E-1,2.906681299E0,5.545366406E-1,1.044885826E1
5.359626590E-1,2.924627542E0,1.728814393E-1,1.038664532E1
5.560735440E-1,2.637488842E0,3.463610709E-1,1.060977554E1
5.761844820E-1,2.017747641E0,6.047859192E-1,1.039023399E1
5.962954190E-1,1.450050473E0,5.162515044E-1,9.860821724E0
6.164063570E-1,9.254241586E-1,2.931207791E-2,9.511469841E0
6.365172940E-1,4.067798555E-1,-2.273181528E-1,9.521639824E0
6.566282320E-1,-8.249256015E-1,2.333002090E-1,9.625128746E0
6.767391690E-1,-1.907677889E0,7.477570772E-1,1.069412231E1
6.968501070E-1,-1.200598717E0,1.084546804E0,9.782457352E0
7.169610440E-1,-7.645068169E-1,1.374676585E0,9.754940033E0
7.370719820E-1,3.056831062E-1,1.977069736E0,1.006062317E1
7.571829190E-1,5.742774159E-2,2.754737139E0,9.996016502E0
7.772938570E-1,-8.362914920E-1,3.249453068E0,9.485149384E0
7.974047940E-1,-1.135992527E0,3.611965895E0,8.220541954E0
8.175156800E-1,-1.037886858E0,3.162713289E0,7.268198967E0
8.376266690E-1,-2.261217356E0,2.687737942E0,6.184848309E0
8.577375550E-1,-2.943171740E0,2.460419893E0,5.714060307E0
8.778485440E-1,-2.799004316E0,1.853839397E0,5.791827202E0
8.979594300E-1,-3.260818958E0,1.640878081E0,5.788836002E0
9.180703670E-1,-4.070191383E0,1.710868239E0,6.077769279E0
9.381813570E-1,-3.297907829E0,9.493523836E-1,9.350552559E0
9.582922940E-1,-1.675574064E0,-5.371887088E-1,1.119661522E1
9.784031800E-1,-1.459621787E0,-6.454638839E-1,1.366899967E1
9.985141690E-1,-2.502294302E0,-8.195417374E-2,1.561376572E1
1.018625107E0,-2.537588358E0,3.649054468E-2,1.642373657E1
1.038736044E0,-1.797608018E0,-2.177468538E-1,1.415175152E1
1.058846982E0,-1.484148264E0,-4.187439755E-2,1.216331577E1
1.078957919E0,-1.426720500E0,-1.165902853E0,1.202333546E1
1.099068857E0,-1.598405480E0,-2.202593327E0,1.012403297E1
1.119179794E0,-2.200200319E0,-1.171286702E0,8.669196129E0
1.139290732E0,-3.460021496E0,2.267199457E-1,9.262018204E0
1.159401669E0,-3.704089403E0,1.015154958E0,9.266205788E0
1.179512607E0,-1.875374794E0,1.080957651E0,9.057432175E0
1.199623544E0,4.049852192E-1,1.214357495E0,9.156135559E0
1.219734534E0,1.521237016E0,1.850848317E0,1.007557774E1
1.239845471E0,1.642672777E0,2.556132793E0,1.080957603E1
1.259956409E0,1.217946768E0,3.057429075E0,1.039501953E1
1.280067346E0,9.367900491E-1,3.648456335E0,9.571888924E0
1.300178284E0,-6.879365444E-2,3.751945972E0,9.696913719E0
1.320289221E0,-8.141579032E-1,3.757927895E0,8.453842163E0
1.340400159E0,-1.202991605E0,3.535993576E0,7.548159122E0
1.360511148E0,-1.307079315E0,3.854238987E0,6.993622303E0
1.380622086E0,-1.457827210E0,4.292125702E0,7.085147858E0
1.400733023E0,-2.271985054E0,5.075176716E0,7.176673412E0
1.420843961E0,-2.053640127E0,5.142175674E0,6.287141323E0
1.440954898E0,-1.891526341E0,4.631308079E0,5.087141037E0
1.461065888E0,-1.618744493E0,3.970889091E0,5.441876888E0
1.481176825E0,-8.644071817E-1,3.827319860E0,6.907480717E0
1.501287763E0,-5.347958803E-1,4.189832687E0,7.893323898E0
1.521398700E0,-7.429714203E-1,4.583451748E0,8.623134613E0
1.541509690E0,-3.152543902E-1,5.196014404E0,9.063413620E0
1.561620627E0,1.250249892E-1,5.522036552E0,9.940383911E0
1.581731565E0,1.196411345E-2,5.195415974E0,1.004387283E1
1.601842502E0,-5.162515044E-1,4.755734921E0,1.038305569E1
1.621953492E0,-1.170688510E0,4.929214478E0,9.756135941E0
1.642064430E0,-1.423729420E0,5.236692429E0,8.985647202E0
1.662175367E0,-1.159322619E0,5.313860893E0,7.881359577E0
1.682286305E0,-6.251249313E-1,4.863411903E0,7.721040249E0
1.702397294E0,-1.112662554E-1,3.766302824E0,8.185846329E0
1.722508232E0,-5.090730190E-1,3.918845177E0,8.690732002E0
1.742619169E0,-1.310070395E0,4.578067780E0,8.333602905E0
1.762730159E0,-1.777867198E0,5.122435093E0,8.268398285E0
1.782841096E0,-1.279561877E0,5.182255745E0,8.636295319E0
1.802952034E0,-4.534398913E-1,4.461417675E0,9.166903496E0
1.823063023E0,-2.560320199E-1,3.831507206E0,9.374481201E0
1.843173961E0,-7.190431952E-1,3.485744476E0,9.121439934E0
1.863284950E0,-1.703091502E0,3.311068296E0,9.132805824E0
1.883395888E0,-1.829312921E0,3.265006542E0,8.732605934E0
1.903506825E0,-6.580262184E-1,4.214358807E0,7.792226791E0
1.923617815E0,-4.797609448E-1,5.543571949E0,7.058826923E0
1.943728752E0,-7.950153351E-1,5.830710411E0,6.732804775E0
1.963839690E0,-8.560323119E-1,4.584050179E0,7.042077065E0
1.983950680E0,-1.342373490E0,2.836092949E0,7.944769382E0
2.004061617E0,-1.289731383E0,6.735795736E-1,9.229715347E0
2.024172607E0,-4.677968323E-1,3.930211067E-1,1.019581699E1
2.044283544E0,-7.531409264E-1,2.458625317E0,1.021376324E1
2.064394534E0,-9.529415965E-1,3.964308977E0,1.048534870E1
2.084505471E0,-1.377069473E0,5.587240696E0,1.208614731E1
2.104616409E0,-1.342373490E0,6.093322754E0,1.343031502E1
2.124727398E0,-6.550351977E-1,5.327619553E0,1.238285732E1
2.144838336E0,8.255238086E-2,4.155136585E0,1.044407272E1
2.164949325E0,1.031904817E0,3.461217880E0,9.481559753E0
2.185060263E0,1.122832060E0,3.843471289E0,8.413164139E0
2.205171252E0,9.786644578E-1,4.704887390E0,6.923632145E0
2.225282190E0,-6.652047038E-1,5.607579708E0,6.206982136E0
2.245393180E0,-2.473580360E0,6.068796635E0,4.881956577E0
2.265504117E0,-3.437887907E0,6.068198204E0,4.677370071E0
2.285615107E0,-3.387638569E0,5.508277893E0,4.744967461E0
2.305726044E0,-3.740580082E0,4.932804108E0,6.041877270E0
2.325837034E0,-3.160320520E0,3.762713671E0,9.124430656E0
2.345948023E0,-1.899302959E0,2.609971285E0,1.174816132E1
2.366058961E0,-3.541377485E-1,2.321038008E0,1.062772179E1
2.386169950E0,4.570291340E-1,2.313261271E0,1.116491032E1
2.406280888E0,2.911466837E0,8.087740541E-1,1.177926731E1
2.426391877E0,5.125426292E0,-8.985049129E-1,1.152144146E1
2.446502815E0,3.672384501E0,-6.275177598E-1,1.116670513E1
2.466613805E0,5.413761139E-1,1.244866014E0,1.112901783E1
2.486724794E0,-3.720839322E-1,2.419143677E0,1.099681473E1
2.506835732E0,6.580262445E-3,2.895315409E0,1.030887794E1
2.526946721E0,-5.718846321E-1,3.103491068E0,8.998807907E0
2.547057659E0,-8.518448472E-1,2.650649309E0,7.951349735E0
2.567168648E0,-6.801598072E-1,2.026122570E0,7.994420528E0
2.587279638E0,-8.524430394E-1,1.837089539E0,8.419146538E0
2.607390575E0,-8.733802438E-1,2.067996979E0,8.555537224E0
2.627501565E0,-7.082754970E-1,2.451446772E0,9.031708717E0
2.647612555E0,-6.598208547E-1,2.815753937E0,9.542576790E0
2.667723492E0,-7.782655358E-1,3.048455954E0,9.949356079E0
2.687834482E0,-9.702895880E-1,3.077768087E0,1.022512913E1
2.707945471E0,-8.177471161E-1,2.858824968E0,1.007019424E1
2.728056409E0,-5.748756528E-1,2.547159672E0,9.825528145E0
2.748167398E0,-4.450650215E-1,2.322234392E0,9.736993790E0
2.768278388E0,-4.833501875E-1,2.277967215E0,9.641280174E0
2.788389325E0,-6.664010882E-1,2.793620348E0,9.460622787E0
2.808500315E0,-1.103091240E0,3.363710403E0,9.261420250E0
2.828611305E0,-1.819741607E0,4.122235298E0,9.171689034E0
2.848722294E0,-2.512463808E0,4.716851711E0,9.075976372E0
2.868833232E0,-2.070389748E0,4.518845558E0,8.294121742E0
2.888944221E0,-1.325623751E0,3.878765583E0,7.928019524E0
2.909055211E0,-9.284151793E-1,3.440878868E0,7.695317745E0
2.929166200E0,-8.721838593E-1,3.302693367E0,7.818548203E0
2.949277138E0,-6.329016089E-1,3.412763357E0,8.319844246E0
2.969388127E0,-5.724828243E-1,3.507878065E0,8.964710236E0
2.989499117E0,-6.484549642E-1,3.452244759E0,9.424132347E0
3.009610107E0,-6.442674994E-1,3.193820000E0,9.867402077E0
3.029721044E0,-6.053841114E-1,2.955136061E0,1.035434151E1
3.049832034E0,-6.699903607E-1,2.796013355E0,1.062652493E1
3.069943023E0,-6.490531564E-1,2.629113913E0,1.045663452E1
3.090054013E0,-7.202396393E-1,2.539382935E0,1.026161957E1
3.110165002E0,-9.571290612E-1,2.611167669E0,9.994820595E0
3.130275992E0,-1.280758262E0,2.739781857E0,9.679565430E0
3.150386930E0,-1.386042476E0,2.883949518E0,9.293723106E0
3.170497919E0,-1.427916884E0,3.016751051E0,9.008976936E0
3.190608909E0,-1.507478237E0,3.136392355E0,8.958727837E0
3.210719898E0,-1.519442320E0,3.186641455E0,8.801400185E0
3.230830888E0,-1.351346612E0,3.251846075E0,8.856434822E0
3.250941877E0,-1.095314622E0,3.312862873E0,8.901898384E0
3.271052867E0,-1.006181955E0,3.381058455E0,9.035298347E0
3.291163805E0,-8.901300430E-1,3.439084291E0,9.199805260E0
3.311274794E0,-8.237292171E-1,3.430111170E0,9.320642471E0
3.331385784E0,-7.902296782E-1,3.426522017E0,9.500701904E0
3.351496773E0,-7.244270444E-1,3.393620729E0,9.504889488E0
3.371607763E0,-7.902296782E-1,3.415156126E0,9.519247055E0
