"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.548959400E-2,-6.013163090E0,6.372684956E0,3.913461447E0
3.560094800E-2,-5.699703693E0,6.430112839E0,4.707280159E0
5.571225000E-2,-5.761917114E0,6.503093719E0,5.070989609E0
7.582360400E-2,-5.511867046E0,6.351149559E0,5.307878971E0
9.593495800E-2,-5.099104881E0,6.417550564E0,5.533402443E0
1.160463120E-1,-4.758726120E0,6.565905571E0,5.432903767E0
1.361576140E-1,-4.429712772E0,6.699903488E0,5.403591633E0
1.562689690E-1,-4.320241451E0,6.755536556E0,5.626722336E0
1.763803230E-1,-4.362115860E0,6.751947403E0,5.675177097E0
1.964916770E-1,-4.400999069E0,6.699305058E0,5.371886730E0
2.166029790E-1,-4.453640938E0,6.684350014E0,5.043471813E0
2.367143330E-1,-4.427918434E0,6.556932449E0,5.544169903E0
2.568256870E-1,-4.430311203E0,6.568298340E0,5.860022545E0
2.769369890E-1,-4.490131855E0,6.629314899E0,5.834897995E0
2.970483440E-1,-4.431507587E0,6.552146435E0,5.640480995E0
3.171596980E-1,-4.336392879E0,6.416353703E0,5.608178139E0
3.372710520E-1,-4.271188259E0,6.403193474E0,5.843272686E0
3.573823540E-1,-4.049253941E0,6.476174355E0,5.863611698E0
3.774937080E-1,-3.900300980E0,6.471987247E0,6.045466423E0
3.976050620E-1,-3.829712629E0,6.358926296E0,6.219544411E0
4.177164170E-1,-3.900300980E0,6.208776474E0,6.053841114E0
4.378277190E-1,-3.851248026E0,6.005386829E0,6.218348026E0
4.579390730E-1,-3.813561201E0,5.816353798E0,6.498906136E0
4.780504270E-1,-3.784249067E0,5.814558983E0,6.910471916E0
4.981617810E-1,-3.759124279E0,5.794219971E0,7.431509018E0
5.182730830E-1,-3.757329702E0,5.684150219E0,7.593622684E0
5.383844370E-1,-3.885943890E0,5.625525951E0,7.156932354E0
5.584957920E-1,-3.845266104E0,5.404190063E0,7.359126091E0
5.786071460E-1,-3.817150354E0,5.294120312E0,7.439285755E0
5.987184480E-1,-3.799204111E0,5.150550842E0,7.404589653E0
6.188298020E-1,-3.826721668E0,5.070391178E0,7.645666599E0
6.389411560E-1,-3.349951744E0,4.728815556E0,7.552346706E0
6.590525100E-1,-3.415754318E0,4.637290478E0,7.403991699E0
6.791638640E-1,-6.838088989E0,4.864010334E0,7.174280643E0
6.992751670E-1,-5.255236626E0,5.839085579E0,6.687939167E0
7.193865210E-1,-1.634896040E0,3.604787350E0,7.328019142E0
7.394978750E-1,-1.527817249E0,4.066003799E0,8.178668022E0
7.596092290E-1,-2.578266382E0,4.919643402E0,8.099704742E0
7.797205830E-1,-1.991426587E0,4.368695736E0,8.292326927E0
7.998318850E-1,-1.674377680E0,4.182055950E0,8.286344528E0
8.199432390E-1,-1.969292998E0,3.884747505E0,8.743373871E0
8.400545940E-1,-2.270190477E0,3.391227961E0,9.531808853E0
8.601659480E-1,-2.163709879E0,3.226721287E0,9.901499748E0
8.802772500E-1,-1.722832322E0,3.114856958E0,9.993623734E0
9.003886040E-1,-1.525424480E0,3.087339401E0,1.000857925E1
