"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.913024400E-2,1.096950054E0,3.487950087E0,8.830950737E0
8.870293100E-2,1.135050058E0,3.508050203E0,8.908050537E0
1.082785800E-1,1.221000075E0,3.526950121E0,8.974950790E0
1.278561030E-1,1.260000110E0,3.546000242E0,8.908050537E0
1.474345560E-1,1.221000075E0,3.526950121E0,8.850000381E0
1.670121700E-1,1.125000000E0,3.421050072E0,9.003000259E0
1.865955500E-1,9.820500612E-1,3.307050228E0,9.291000366E0
2.061804590E-1,8.670000434E-1,3.259050131E0,9.520950317E0
2.257641460E-1,8.190000653E-1,3.307050228E0,9.597000122E0
2.453486800E-1,7.999500632E-1,3.421050072E0,9.481950760E0
2.649364580E-1,7.900500298E-1,3.535950184E0,9.271950722E0
2.845158720E-1,7.999500632E-1,3.594000101E0,9.109050751E0
3.040865780E-1,8.380500674E-1,3.613050222E0,9.079950333E0
3.236558860E-1,8.479500413E-1,3.631950140E0,9.184950829E0
3.432303280E-1,8.089500666E-1,3.651000261E0,9.319050789E0
3.628086840E-1,7.620000243E-1,3.651000261E0,9.385950089E0
3.823917610E-1,7.039500475E-1,3.651000261E0,9.376950264E0
4.019659870E-1,6.660000086E-1,3.679950237E0,9.271950722E0
4.215388030E-1,5.800500512E-1,3.736950159E0,9.051000595E0
4.411080970E-1,4.069500268E-1,3.766050100E0,8.782950401E0
4.606834240E-1,2.830500007E-1,3.679950237E0,8.638950348E0
4.802627980E-1,2.730000019E-1,3.508050203E0,8.773950577E0
4.998425830E-1,3.109500110E-1,3.412050247E0,9.109050751E0
5.194253560E-1,3.310500085E-1,3.460050106E0,9.376950264E0
5.390062020E-1,3.019500077E-1,3.517050266E0,9.520950317E0
5.585865100E-1,2.250000089E-1,3.556050062E0,9.588000298E0
5.781675150E-1,1.290000081E-1,3.603000164E0,9.597000122E0
5.977470960E-1,8.205000311E-2,3.642000198E0,9.511050224E0
6.173274580E-1,8.205000311E-2,3.661050081E0,9.328950882E0
6.369076750E-1,5.295000225E-2,3.727950096E0,9.090000153E0
6.564833670E-1,-3.195000067E-2,3.852000237E0,8.860050201E0
6.760576260E-1,-1.380000114E-1,4.006050110E0,8.716050148E0
6.956290150E-1,-2.340000123E-1,4.140000343E0,8.668050766E0
7.151954140E-1,-3.010500073E-1,4.282950401E0,8.638950348E0
7.347656450E-1,-3.289500177E-1,4.446000099E0,8.601000786E0
7.543332600E-1,-2.910000086E-1,4.561050415E0,8.544000626E0
7.739031790E-1,-1.950000077E-1,4.627950191E0,8.467050552E0
7.934850350E-1,-1.090500057E-1,4.666050434E0,8.410050392E0
8.130692560E-1,-7.095000148E-2,4.657050133E0,8.389950752E0
8.326545000E-1,-4.200000316E-2,4.609050274E0,8.410050392E0
8.522384950E-1,-5.205000192E-2,4.561050415E0,8.485950470E0
8.718238180E-1,-9.900000691E-2,4.552050114E0,8.592000008E0
8.914044290E-1,-1.090500057E-1,4.570950031E0,8.745000839E0
9.109800630E-1,-4.200000316E-2,4.599000454E0,8.869050026E0
9.305635250E-1,7.200000435E-2,4.657050133E0,8.908050537E0
9.501500050E-1,2.639999986E-1,4.705049992E0,8.898000717E0
9.697220050E-1,4.450500309E-1,4.734000206E0,8.869050026E0
9.892896980E-1,5.509500504E-1,4.714050293E0,8.887950897E0
1.008858005E0,5.599500537E-1,4.675950050E0,8.908050537E0
