"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.307083335E-4,-2.088906097E0,3.774700470E0,6.743027802E0
2.082670832E-2,-2.222727814E0,3.964805145E0,6.793772278E0
4.082270831E-2,-1.964065704E0,4.387975159E0,7.791297913E0
6.081870833E-2,-2.706671448E0,4.742587738E0,8.456215210E0
8.081370831E-2,-3.742068329E0,4.572241974E0,8.239615631E0
1.008097083E-1,-4.139192505E0,4.308789825E0,8.219856720E0
1.208057083E-1,-4.061054993E0,4.346661072E0,8.308622131E0
1.408017083E-1,-4.283342743E0,4.633314972E0,8.236023102E0
1.607977083E-1,-4.669389954E0,5.141657867E0,8.682095490E0
1.807927083E-1,-4.618196411E0,5.391787720E0,9.193282471E0
2.007887083E-1,-4.703219604E0,5.025798798E0,8.826694794E0
2.207847083E-1,-4.214635620E0,4.597539368E0,8.014633484E0
2.407807083E-1,-3.769012299E0,4.817132721E0,7.668553162E0
2.607767083E-1,-3.477119293E0,5.274880829E0,7.184759216E0
2.807717083E-1,-3.238665161E0,6.191424866E0,7.179220734E0
3.007677083E-1,-2.424208832E0,6.801107025E0,7.225474548E0
3.207637083E-1,-1.909129944E0,7.021448822E0,6.780599670E0
3.407597083E-1,-1.947899323E0,7.232360229E0,5.951922913E0
3.607552083E-1,-1.474134521E0,7.080126801E0,5.386099548E0
3.807502083E-1,-1.898052979E-1,6.801705780E0,6.637646942E0
4.007462083E-1,6.724017334E-1,6.368806000E0,9.112300873E0
4.207422083E-1,4.888833618E-1,5.508694611E0,1.026520340E1
4.407382083E-1,1.528321838E-1,5.067112885E0,1.001058289E1
4.607342083E-1,-6.134243774E-1,5.269791412E0,9.327403564E0
4.807292083E-1,-1.139280853E0,5.721851349E0,9.337133331E0
5.007252083E-1,-8.385562134E-1,5.679339752E0,9.734257507E0
5.207212083E-1,-1.746867371E-1,5.478457489E0,8.886420593E0
5.407172083E-1,-3.442840576E-2,5.373076630E0,7.339237976E0
5.607122083E-1,-2.802172852E-1,5.044360199E0,6.299200745E0
5.807082083E-1,-5.989045715E-1,4.782704315E0,5.905968475E0
6.007042083E-1,-3.706292725E-1,4.798721008E0,5.819598083E0
6.207002083E-1,7.409591675E-2,5.138664093E0,6.106850739E0
6.406962083E-1,-4.037104797E-1,5.120102692E0,5.996230774E0
6.606922083E-1,-1.020128632E0,4.443060608E0,6.371799774E0
6.806872083E-1,-9.548643494E-1,3.465742950E0,7.298223267E0
7.006832083E-1,-3.926335144E-1,3.267405396E0,7.547454987E0
7.206792083E-1,-7.852670288E-1,3.852089539E0,6.413413239E0
7.406752083E-1,-3.311713257E0,4.756059723E0,1.851948853E0
7.606702083E-1,-1.853745117E0,3.846700745E0,6.451883240E0
7.806662083E-1,-2.807711334E0,4.102668457E0,7.816295929E0
7.999106667E-1,-2.078128510E0,4.136049042E0,7.604187012E0
8.199066666E-1,-1.736538849E0,4.079017639E0,6.853647766E0
8.399026666E-1,-1.870510254E0,4.379742279E0,6.803651733E0
8.598976666E-1,-2.686164093E0,4.866979065E0,6.720275116E0
8.798936666E-1,-2.770738220E0,5.021308136E0,6.657705231E0
8.998896666E-1,-3.235521698E0,5.031037903E0,6.238726501E0
9.198856666E-1,-3.695215759E0,4.878654785E0,6.043682098E0
9.398816667E-1,-3.633693695E0,4.690046997E0,6.371949463E0
9.598766666E-1,-3.331921234E0,4.728217621E0,7.248825989E0
9.798726666E-1,-2.706821136E0,4.837041321E0,8.550070038E0
9.998683333E-1,-2.008672943E0,4.961432648E0,1.018452118E1
1.019864333E0,-2.044149170E0,4.687352600E0,1.057041870E1
1.039859333E0,-2.331252136E0,4.329895935E0,9.761351166E0
1.059855333E0,-2.392025757E0,4.453987885E0,8.881630554E0
1.079851333E0,-1.711391144E0,4.945565643E0,1.022912842E1
1.099847333E0,-4.092489624E-1,4.367467804E0,1.257430161E1
1.119842333E0,5.963598633E-1,3.223396912E0,1.501916748E1
1.139838333E0,9.056167603E-2,2.277962952E0,1.604678055E1
1.159834333E0,-1.050964508E0,1.127455444E0,1.507081009E1
1.179830333E0,-2.213297424E0,6.533912659E-1,1.279703842E1
1.199826333E0,-6.182144165E-1,1.051263885E0,1.040082138E1
1.219821333E0,3.447331238E-1,2.368824005E0,8.368497620E0
1.239817333E0,7.497908020E-1,2.329156494E0,8.565487976E0
1.259813333E0,1.405277710E0,2.541864166E0,9.031768341E0
1.279809333E0,1.099014587E0,2.201472015E0,8.871601410E0
1.299804333E0,8.485853577E-1,8.137078857E-1,7.886649628E0
1.319800333E0,-2.920426941E-1,-7.080276489E-2,7.830965424E0
1.339796333E0,-1.079555054E0,-2.520758057E-1,8.739426270E0
1.359792333E0,-1.166973267E0,-5.403762817E-2,9.062753906E0
1.379787333E0,-1.129401398E0,7.708969116E-2,8.750353546E0
1.399783333E0,-1.098415833E0,1.227447510E-1,8.550369415E0
1.419779333E0,-1.111289062E0,2.225871277E-1,8.549022217E0
1.439775333E0,-9.089099121E-1,2.616558838E-1,8.529412994E0
1.459771333E0,-3.854484558E-1,3.620970154E-1,7.788004761E0
1.479766333E0,-9.759704590E-1,9.062155151E-1,7.729027405E0
1.499762333E0,-4.968168640E-1,1.810335388E0,1.198512680E1
1.519758333E0,-6.351292419E-1,2.422711945E0,2.049987030E0
1.539754333E0,-1.496438141E0,4.531376953E0,5.893544312E0
1.559749333E0,-2.368824005E0,3.643872528E0,9.542805634E0
1.579745333E0,5.626799011E-1,1.961670685E0,1.086171295E1
1.599741333E0,-7.948471069E-1,2.025887146E0,1.085512665E1
1.619737333E0,-2.009870453E0,2.309397583E0,1.116094070E1
1.639733333E0,-6.667135620E-1,2.147733765E0,1.139520355E1
1.659728333E0,-4.794529724E-1,3.143762512E0,1.038690033E1
1.679724333E0,-7.887098694E-1,4.913232880E0,9.865085449E0
1.699720333E0,-6.721023560E-1,6.233786774E0,1.027493317E1
1.719716333E0,-1.124461670E0,6.355334015E0,1.124446701E1
1.739711333E0,-1.671873322E0,4.336931305E0,1.270572830E1
1.759707333E0,-1.845512238E0,2.329006805E0,1.315988388E1
1.779703333E0,-1.749711456E0,1.644929352E0,1.218915253E1
1.799699333E0,-1.181493073E0,2.082319794E0,1.049916687E1
1.819694333E0,-9.506730652E-1,2.967429199E0,8.676107941E0
1.839690333E0,-1.300046539E0,3.552263031E0,7.929909668E0
1.859686333E0,-1.407523041E0,3.018023987E0,7.454049225E0
1.879682333E0,-1.283131714E0,2.098785553E0,7.303761749E0
1.899678333E0,-1.257385254E0,1.518442383E0,7.027885437E0
1.919673333E0,-1.375938721E0,1.528920593E0,6.981332245E0
1.939669333E0,-1.500928802E0,1.486109619E0,7.244035950E0
1.959665333E0,-1.373843079E0,1.228495331E0,7.006929016E0
1.979661333E0,-1.043480072E0,1.155746613E0,6.521638184E0
1.999655542E0,-1.314716034E0,1.232387238E0,6.021079102E0
2.019651542E0,-1.849104767E0,1.149010620E0,6.264472961E0
2.039647542E0,-2.327210541E0,1.916015625E-1,6.341562653E0
2.059643542E0,-2.467319183E0,2.122586060E-1,7.957302704E0
2.079638542E0,-2.020198975E0,2.158511353E-1,8.995393982E0
2.099634542E0,-1.275048523E0,-2.480342102E-1,8.541986847E0
2.119630542E0,-9.596543884E-1,-6.063890076E-1,8.787176971E0
2.139626542E0,-1.422791290E0,-3.788621521E-1,9.243428192E0
2.159621542E0,-1.970053253E0,-1.417552185E-1,9.607471161E0
2.179617542E0,-1.659000092E0,-1.384620667E-1,9.663903809E0
2.199613542E0,-1.166524200E0,6.331832886E-2,1.049901718E1
2.219609542E0,-4.834945679E-1,7.229965210E-1,1.083222427E1
2.239605542E0,3.502716064E-2,1.826352081E0,1.058987823E1
2.259600542E0,6.622229004E-1,3.315455475E0,1.063179108E1
2.279596542E0,3.854484558E-1,3.956721954E0,1.282488052E1
2.299592542E0,2.020947418E0,2.343526611E0,1.627520554E1
2.319588542E0,4.135599976E0,7.119195557E-1,1.919368652E1
2.339583542E0,5.377118225E0,7.508386230E-1,2.032952454E1
2.359579542E0,5.040617981E0,1.128353577E0,1.671693695E1
2.379575542E0,5.063071289E0,1.664089508E0,1.192629913E1
2.399571542E0,5.294490051E0,2.720592499E0,8.398734741E0
2.419566542E0,4.719236298E0,3.351829834E0,6.300847321E0
2.439562542E0,3.968547363E0,3.716920624E0,5.233866119E0
2.459558542E0,3.013383636E0,3.158282318E0,4.309089203E0
2.479554542E0,2.444865875E0,3.439098358E0,4.582271118E0
2.499549542E0,1.484163666E0,3.040626984E0,5.137316895E0
2.519545542E0,1.383722534E0,1.880539398E0,5.433251495E0
2.539541542E0,7.602690125E-1,1.283431091E0,6.152505798E0
2.559537542E0,3.378474426E-1,9.168434143E-1,6.192622375E0
2.579533542E0,-5.867797852E-2,1.003064117E0,7.081773376E0
2.599528542E0,-2.859054565E-1,6.584806824E-1,8.016729126E0
