"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.312177900E-2,-5.922235921E-2,3.680759430E0,8.115258217E0
3.323490400E-2,6.017948985E-1,4.051646709E0,9.320044518E0
5.334808100E-2,9.361918569E-1,4.188037872E0,9.478569031E0
7.346120600E-2,6.382854581E-1,4.243072987E0,8.992227554E0
9.357438300E-2,1.133599758E0,4.065405846E0,8.271389961E0
1.136875080E-1,1.675574064E0,4.452444553E0,8.417949677E0
1.338006850E-1,1.059422255E0,4.581058979E0,8.581260681E0
1.539138620E-1,1.094716311E0,4.319045067E0,8.577073097E0
1.740269870E-1,1.152742267E0,4.604389191E0,8.585447311E0
1.941401120E-1,1.324427366E0,4.671388149E0,8.560921669E0
2.142532890E-1,1.275972724E0,4.542773724E0,8.934800148E0
2.343664140E-1,1.356730461E0,4.274777889E0,9.302696228E0
2.544795910E-1,1.601994753E0,4.017549038E0,9.601799011E0
2.745927160E-1,1.714457393E0,3.957130432E0,9.567103386E0
2.947058930E-1,1.310070395E0,3.932005882E0,8.991629601E0
3.148190180E-1,8.626125455E-1,3.946362734E0,8.276175499E0
3.349321430E-1,7.698906660E-1,3.976871252E0,7.956135273E0
3.550453200E-1,9.421738982E-1,4.016352654E0,8.115856171E0
3.751584450E-1,1.396211982E0,3.915256023E0,8.535198212E0
3.952716220E-1,1.102493048E0,4.152145386E0,8.295317650E0
4.153847470E-1,3.822534084E-1,4.423132420E0,7.857431412E0
4.354978720E-1,2.572284266E-2,4.211966038E0,8.006384850E0
4.556110500E-1,-5.144568533E-2,4.074976921E0,8.389236450E0
4.757241750E-1,9.810572863E-2,4.186243057E0,8.711071014E0
4.958373520E-1,5.150550604E-1,4.318446636E0,8.934800148E0
5.159504770E-1,7.322037220E-1,4.396213531E0,8.964112282E0
5.360636020E-1,6.604190469E-1,4.377070904E0,9.040681839E0
5.561767790E-1,6.783652306E-1,4.332205296E0,9.126823425E0
5.762899040E-1,7.447660565E-1,4.363312244E0,9.145368576E0
5.964030290E-1,8.554341197E-1,4.432703972E0,9.133403778E0
6.165162060E-1,9.343972206E-1,4.462614059E0,9.192625999E0
6.366293310E-1,1.007976532E0,4.491926193E0,9.182456970E0
6.567424560E-1,1.053440213E0,4.529015064E0,8.933005333E0
6.768556330E-1,1.189232826E0,4.679762840E0,8.811569214E0
6.969687580E-1,1.031306505E0,4.813162804E0,8.875576973E0
7.170818830E-1,9.200403094E-1,4.865804672E0,9.340383530E0
7.371950080E-1,6.466603279E-1,4.888536453E0,1.010010433E1
7.573081850E-1,4.510470629E-1,4.766502857E0,1.050748253E1
7.774213100E-1,3.858426511E-1,4.720440865E0,1.025025368E1
7.975344350E-1,3.601198196E-1,4.829912663E0,9.634700775E0
8.176475600E-1,3.110669367E-2,5.297709465E0,8.828917503E0
8.377607370E-1,-2.255235314E-1,5.394618511E0,8.182855606E0
8.578738620E-1,-1.232303679E-1,5.069194794E0,8.499305725E0
8.779869870E-1,-3.708875179E-2,4.669593334E0,9.553344727E0
8.981001120E-1,4.683950245E-1,3.983451605E0,1.097408295E1
9.182132890E-1,6.586244106E-1,3.430111170E0,1.196291637E1
9.383264140E-1,3.517449200E-1,3.145365477E0,1.203589821E1
9.584395390E-1,-1.908276081E-1,2.895913601E0,1.107398319E1
9.785526640E-1,-6.496513486E-1,2.829512835E0,9.546764374E0
9.986657890E-1,-9.182456732E-1,2.987439156E0,8.300702095E0
1.018778966E0,-1.211366415E0,3.334996462E0,7.558328629E0
1.038892091E0,-1.405185103E0,3.580260992E0,7.540382385E0
1.059005216E0,-1.133599758E0,3.555734396E0,8.258229256E0
1.079118341E0,-8.333004713E-1,3.532404423E0,8.916254997E0
1.099231466E0,-3.822534084E-1,3.419343472E0,9.262018204E0
1.119344591E0,2.045863420E-1,3.212364435E0,9.591629982E0
1.139457768E0,3.822534084E-1,3.150151014E0,1.006660461E1
1.159570893E0,1.734796353E-2,3.089732170E0,1.012881851E1
1.179684018E0,-6.227321029E-1,3.130410194E0,9.289535522E0
1.199797143E0,-8.368897438E-1,3.354139090E0,8.336593628E0
1.219910268E0,-5.748756528E-1,3.641875982E0,7.721638680E0
1.240023393E0,-2.333002165E-2,3.857230186E0,7.640881062E0
1.260136518E0,7.866404653E-1,3.941577196E0,7.810771465E0
1.280249695E0,1.003190875E0,4.167698860E0,7.926225185E0
1.300362820E0,2.183450609E-1,4.186841488E0,8.051250458E0
1.320475945E0,-6.179464459E-1,4.178466320E0,8.230711937E0
1.340589070E0,-8.668000102E-1,4.241876125E0,8.262416840E0
1.360702195E0,-4.360919297E-1,4.406980991E0,7.901100159E0
1.380815320E0,1.136590727E-2,4.680959225E0,7.639684677E0
1.400928445E0,1.304088384E-1,4.910670280E0,7.811967850E0
1.421041570E0,4.785645381E-2,4.960919380E0,8.070990562E0
1.441154695E0,-8.075776696E-2,4.972883701E0,8.255238533E0
1.461267820E0,-2.344966233E-1,5.046463013E0,8.362317085E0
1.481380945E0,-2.823530734E-1,5.124229908E0,8.600402832E0
1.501494070E0,1.806581169E-1,5.164309502E0,8.920442581E0
1.521607195E0,6.687939167E-1,5.261816978E0,9.272188187E0
1.541720320E0,9.714859724E-1,5.311468124E0,9.450452805E0
1.561833445E0,7.788637877E-1,5.621338367E0,9.155537605E0
1.581946570E0,8.679963946E-1,5.262415409E0,8.921639442E0
1.602059695E0,1.405185103E0,4.708476543E0,9.374481201E0
1.622172820E0,2.219342947E0,4.503292084E0,9.767501831E0
1.642285945E0,2.967100143E0,3.912265062E0,9.845867157E0
1.662399070E0,2.715853691E0,3.351148129E0,1.001396275E1
1.682512195E0,1.727019787E0,2.973680258E0,1.033460140E1
1.702625320E0,4.666004181E-1,2.660818815E0,1.017129040E1
1.722738445E0,-5.611169338E-1,2.591426849E0,9.433703423E0
1.742851570E0,-8.123632669E-1,2.933002472E0,8.738588333E0
1.762964695E0,-4.582255483E-1,3.507279873E0,8.516056061E0
1.783077820E0,-1.674975902E-1,3.792623997E0,8.491529465E0
1.803190945E0,3.481557071E-1,3.692723513E0,8.526823044E0
1.823304070E0,1.156929731E0,3.492922783E0,8.904291153E0
1.843417143E0,1.704886079E0,3.193820000E0,9.794421196E0
1.863530268E0,1.456630826E0,2.872583628E0,1.055414295E1
1.883643393E0,5.174478889E-1,2.777468920E0,1.037109184E1
1.903756518E0,-3.601198196E-1,2.999403238E0,9.407979965E0
1.923869643E0,-5.156532526E-1,3.348157167E0,8.368897438E0
1.943982768E0,-9.631111473E-2,3.644867182E0,7.626523972E0
1.964095893E0,2.691925466E-1,4.009174347E0,7.162914753E0
1.984209018E0,5.569294691E-1,4.255036831E0,7.068397999E0
2.004322143E0,6.161518097E-1,4.364508629E0,7.470392227E0
2.024435216E0,4.600201547E-1,4.247858524E0,8.170292854E0
2.044548341E0,1.537388563E-1,4.067200184E0,8.761320114E0
2.064661466E0,-2.967100143E-1,4.091726780E0,9.050253868E0
2.084774591E0,-7.298108935E-1,4.344767570E0,9.069396019E0
2.104887716E0,-6.538388133E-1,4.659423828E0,9.074779510E0
2.125000841E0,-4.354937077E-1,4.906482697E0,9.090931892E0
2.145113914E0,-5.587241054E-1,5.170291424E0,9.128020287E0
2.165227039E0,-3.254238665E-1,5.514259815E0,9.151350021E0
2.185340164E0,-1.220339537E-1,5.654838085E0,9.023932457E0
2.205453289E0,2.093719840E-1,5.640480995E0,9.016156197E0
2.225566362E0,-3.349951655E-2,5.882156372E0,8.821739197E0
2.245679487E0,-1.029511929E0,6.282355785E0,8.456833839E0
2.265792612E0,-1.515254974E0,6.030511379E0,9.140582085E0
2.285905737E0,-9.625129104E-1,5.233701229E0,1.087178993E1
2.306018862E0,2.512463741E-2,3.998406649E0,1.338126278E1
