"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.373536300E-2,8.920500278E-1,3.208050251E0,9.219000816E0
5.030427600E-2,6.670500040E-1,3.381000042E0,9.420000076E0
7.030427600E-2,6.960000396E-1,3.409050226E0,9.286050797E0
9.030427600E-2,6.460500360E-1,3.441000223E0,9.207000732E0
1.103042760E-1,4.369500279E-1,3.546000242E0,9.262050629E0
1.303042760E-1,1.240500063E-1,3.732000113E0,9.355950356E0
1.503042760E-1,2.239500135E-1,3.496050119E0,9.337050438E0
1.703042760E-1,4.729500115E-1,3.385050058E0,9.436950684E0
1.903042760E-1,4.180500209E-1,3.256050110E0,9.406050682E0
2.103042760E-1,2.200500071E-1,3.088950157E0,9.166950226E0
2.303042760E-1,2.700000107E-1,3.055050135E0,8.889000893E0
2.503042760E-1,1.410000026E-1,3.426000118E0,7.429050446E0
2.703042760E-1,1.099500060E-1,3.538950205E0,7.390950203E0
2.903042760E-1,9.495000541E-2,3.493050098E0,7.851000309E0
3.103042760E-1,-1.530000120E-1,3.172050238E0,8.578050613E0
3.303042760E-1,-1.549500078E-1,2.742000103E0,9.222000122E0
3.503042760E-1,-1.140000075E-1,2.737050056E0,9.523050308E0
3.703042760E-1,-3.439500034E-1,3.310950041E0,9.817950249E0
3.903042760E-1,-4.879500270E-1,3.759000063E0,9.739050865E0
4.103042760E-1,-4.399500191E-1,3.658050060E0,9.247950554E0
4.303042760E-1,-4.180500209E-1,3.469050169E0,8.764950752E0
4.503042760E-1,-3.300000131E-1,3.759000063E0,8.185950279E0
4.703042760E-1,-5.205000192E-2,3.997950077E0,8.406000137E0
4.903042760E-1,2.100000083E-1,3.948000193E0,8.643000603E0
5.103042760E-1,2.869500220E-1,3.682050228E0,8.839050293E0
5.303042760E-1,2.989500165E-1,3.364050150E0,9.181050301E0
5.503042760E-1,2.290500104E-1,2.509950161E0,8.583000183E0
5.703042760E-1,9.795000404E-2,2.514000177E0,8.599950790E0
5.903042760E-1,-2.805000171E-2,2.950050116E0,8.986950874E0
6.103042760E-1,1.669500023E-1,2.995050192E0,9.183000565E0
6.303042760E-1,3.559500277E-1,2.790000200E0,8.368050575E0
6.503042760E-1,8.370000124E-1,1.840050101E0,7.573050499E0
6.703042760E-1,1.086000085E0,1.300950050E0,7.075050354E0
6.903042760E-1,6.889500618E-1,1.636050105E0,6.669000149E0
7.103042760E-1,8.100000024E-2,1.986000061E0,6.733050346E0
7.303042760E-1,-8.509500623E-1,3.582000256E0,8.905950546E0
7.503042760E-1,-7.890000343E-1,3.808950186E0,9.211950302E0
7.703042760E-1,-6.889500618E-1,3.322950125E0,8.458050728E0
7.903042760E-1,-1.543050051E0,3.589050055E0,7.768950462E0
8.103042760E-1,-2.155950069E0,4.090950012E0,7.023000240E0
8.303042760E-1,-1.978050113E0,4.330950260E0,1.007400036E1
8.503042760E-1,-1.380000114E0,3.931050301E0,1.032495022E1
8.703042760E-1,-3.850500286E-1,3.567000151E0,1.024605083E1
8.903042760E-1,3.319500089E-1,3.390000105E0,1.004505062E1
9.103042760E-1,2.599500120E-1,3.658050060E0,9.798000336E0
9.303042760E-1,-1.306050062E0,4.394999981E0,8.503950119E0
9.503042760E-1,-8.440500498E-1,3.856950283E0,8.571000099E0
9.703042760E-1,-1.155000091E0,3.844950199E0,1.113105011E1
9.903042760E-1,-2.707950115E0,5.656050205E0,1.279395103E1
1.010304276E0,-5.500500202E-1,4.032000065E0,1.475895023E1
1.030304276E0,2.529000044E0,3.085950136E0,1.445505047E1
1.050304276E0,2.220000029E0,3.547950268E0,1.405095100E1
1.070304276E0,2.668050051E0,3.886050224E0,1.265595055E1
1.090304276E0,2.968950033E0,4.126950264E0,9.649950027E0
1.110304276E0,3.531000137E0,4.054950237E0,8.302950859E0
1.130304276E0,2.467050076E0,4.446000099E0,9.846000671E0
1.150304276E0,1.758000135E0,4.017000198E0,1.014495087E1
1.170304276E0,2.377950191E0,3.517050266E0,1.033005047E1
1.190304276E0,2.668050051E0,3.637050152E0,1.005900002E1
1.210304276E0,1.843950033E0,3.787050247E0,6.637050152E0
1.230304276E0,2.050050020E0,3.268050194E0,8.425050735E0
1.250304276E0,3.268050194E0,2.797050238E0,7.438950539E0
1.270304276E0,3.139050245E0,2.835000038E0,7.216950417E0
1.290304276E0,3.531000137E0,2.626950026E0,6.859950542E0
1.310304276E0,4.041000366E0,3.084000111E0,5.613000393E0
1.330304276E0,3.405000210E0,3.028950214E0,6.066000462E0
1.350304276E0,2.434950113E0,3.318000078E0,6.070050240E0
1.370304276E0,1.452000022E0,3.831000090E0,6.748050213E0
1.390304276E0,1.567050099E0,3.876000166E0,7.519950390E0
1.410304276E0,2.538000107E0,3.804000139E0,8.370000839E0
1.430304276E0,2.337000132E0,4.052999973E0,7.681050301E0
1.450304276E0,1.618950129E0,4.519950390E0,6.544050217E0
1.470304276E0,7.819500566E-1,5.022000313E0,5.202000141E0
1.490304276E0,5.500500202E-1,5.299950123E0,4.455000401E0
1.510304276E0,2.067000151E0,4.285050392E0,7.473000526E0
1.530304276E0,2.754000187E0,3.780000210E0,8.982000351E0
