"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.623750003E-3,-2.819985809E0,4.894970856E0,7.046147461E0
2.361974999E-2,-2.706372070E0,5.283113708E0,8.168962555E0
4.361575001E-2,-2.559078369E0,5.137765961E0,8.299940186E0
6.423675001E-2,-2.840493164E0,5.145100708E0,7.459737396E0
8.423174999E-2,-2.650238800E0,5.225333862E0,7.073540497E0
1.042277500E-1,-2.388133850E0,5.135820007E0,7.501650238E0
1.242237500E-1,-1.974693604E0,5.066663818E0,8.132737885E0
1.442197500E-1,-1.541793823E0,5.049748993E0,8.385113068E0
1.642157500E-1,-1.544039154E0,5.246739349E0,8.077951813E0
1.842107500E-1,-1.344204712E0,5.174888763E0,7.937244415E0
2.042067500E-1,-1.111588440E0,5.019960938E0,8.044421539E0
2.242027500E-1,-8.946894836E-1,4.884642334E0,8.227191467E0
2.441987500E-1,-7.837701416E-1,4.669240265E0,8.351433105E0
2.641947500E-1,-6.658154297E-1,4.633314972E0,8.443341980E0
2.841897500E-1,-5.218148804E-1,4.527485046E0,8.356672211E0
3.041857500E-1,-4.246669006E-1,4.314178619E0,8.339458008E0
3.241817500E-1,-4.580474854E-2,4.404141541E0,8.806935883E0
3.441777500E-1,5.445675659E-1,4.643344116E0,9.287736053E0
3.641737500E-1,4.896318054E-1,5.030139771E0,8.863368530E0
3.841687500E-1,3.832031250E-1,5.302273865E0,8.368497620E0
4.041651250E-1,6.809339905E-1,5.467230835E0,8.466094666E0
4.241611250E-1,8.834628296E-1,5.652096405E0,8.534652100E0
4.441571250E-1,7.427554321E-1,5.833070068E0,8.158184967E0
4.641521250E-1,6.409671021E-1,5.976471863E0,8.143515472E0
4.841481250E-1,8.536747742E-1,5.879024506E0,8.846603394E0
5.041441250E-1,1.006956024E0,5.623805237E0,9.289532318E0
5.241401250E-1,7.551795959E-1,5.332211609E0,8.488997040E0
5.441361250E-1,5.113366699E-1,5.224585419E0,7.622598724E0
5.641311250E-1,4.596940613E-1,5.136867828E0,7.229067078E0
5.841271250E-1,6.253994751E-1,5.201982422E0,7.137008514E0
6.041231250E-1,6.306385803E-1,5.369484100E0,6.924899597E0
6.241191250E-1,6.342311096E-1,5.444478149E0,6.794670410E0
6.441151250E-1,5.406756592E-1,5.416636047E0,6.908284149E0
6.641101250E-1,4.077520752E-1,5.513484650E0,7.335795135E0
6.841061250E-1,3.138972473E-1,5.695356445E0,7.720644836E0
7.041021250E-1,6.391708374E-2,5.873935089E0,8.052055664E0
7.240981250E-1,-5.194198608E-2,6.176905060E0,8.648864594E0
7.440941250E-1,-1.272354126E-2,6.299051056E0,9.341623993E0
7.640891250E-1,-2.374063110E-1,6.410569153E0,1.000833755E1
7.840851250E-1,-6.036946106E-1,6.464008026E0,1.090108109E1
8.040811250E-1,-9.674382019E-1,6.470145264E0,1.239198074E1
8.240771250E-1,-8.140072632E-1,6.266418915E0,1.307486069E1
8.440731250E-1,-9.092092896E-1,6.115382996E0,1.258448044E1
8.640681250E-1,-1.801354065E0,6.499184875E0,1.122919876E1
8.840641250E-1,-2.222877502E0,6.798712006E0,1.118384308E1
9.040601250E-1,-2.112257538E0,6.057902527E0,1.246457977E1
9.240561250E-1,-1.865271149E0,4.605921936E0,1.316407516E1
9.440511250E-1,-1.685045929E0,3.596570892E0,1.321377182E1
9.640471250E-1,-1.569336548E0,2.944077759E0,1.260214371E1
9.840431250E-1,-1.658700714E0,2.615361328E0,1.106693619E1
1.004039125E0,-1.354832611E0,2.571801910E0,9.022337952E0
1.024035125E0,-1.193019104E0,2.530787201E0,7.167095947E0
1.044030125E0,-1.963916016E-1,2.453098755E0,6.614445190E0
1.064026125E0,-2.540217590E-1,2.738106079E0,7.145091705E0
1.084022125E0,-1.247206421E0,2.408491516E0,6.557114410E0
1.104018125E0,-7.961943054E-1,1.565294952E0,5.687872009E0
1.124014125E0,-1.263971558E0,1.163530426E0,4.892875214E0
1.144009125E0,-1.591191101E0,1.302441559E0,4.540657654E0
1.164005125E0,-1.718725891E0,1.275647278E0,4.542603607E0
1.184001125E0,-1.693727875E0,7.020401001E-1,5.045707397E0
1.203997125E0,-1.074166260E0,-1.865121460E-1,5.859864349E0
1.223993125E0,-1.283131714E0,-1.018781433E0,6.870562592E0
1.243988125E0,-1.935175781E0,-1.526076508E0,7.592062225E0
1.263984125E0,-2.121837616E0,-1.568139038E0,8.478069763E0
1.283980125E0,-2.112257538E0,-1.270258484E0,1.223525665E1
1.303976125E0,-1.576072540E0,-9.404942322E-1,1.320404205E1
1.323971125E0,-6.894662476E-1,-7.785310364E-1,1.465602264E1
1.343967125E0,-8.768765259E-1,4.773573303E-1,1.324041641E1
1.363963125E0,-8.762777710E-1,2.273921356E0,1.094254486E1
1.383959125E0,1.248403931E-1,1.650617523E0,1.296004944E1
1.403955375E0,1.508113861E0,-2.836601257E-1,1.545955170E1
1.423950375E0,9.413923645E-1,-5.007087708E-1,1.487980728E1
1.443946375E0,2.600093079E-1,2.790197754E-1,1.232941086E1
1.463942375E0,3.653901672E-1,1.203048248E0,1.110465775E1
1.483938375E0,9.657916260E-1,1.390608215E0,1.187196213E1
