"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.843748400E-2,4.230000079E-1,6.991950512E0,5.866950512E0
4.843748400E-2,-7.395000011E-2,7.114050388E0,6.334050179E0
6.843748400E-2,-3.180000186E-1,6.994050503E0,7.543950558E0
8.843748400E-2,-4.159500301E-1,6.759000301E0,8.710050583E0
1.084374840E-1,-5.929500461E-1,6.367050171E0,8.509050369E0
1.284374840E-1,-6.190500259E-1,6.243000507E0,7.599000454E0
1.484374840E-1,-3.900000155E-1,6.412050247E0,6.541950226E0
1.684374840E-1,-2.119500041E-1,6.550950527E0,5.757000446E0
1.884374840E-1,-7.395000011E-2,6.669000149E0,5.592000484E0
2.084374840E-1,2.029500157E-1,7.068000317E0,6.087000370E0
2.284374840E-1,4.420500100E-1,7.195050240E0,6.456000328E0
2.484374840E-1,6.810000539E-1,7.068000317E0,6.520050526E0
2.684374840E-1,7.410000563E-1,6.903000355E0,6.250050068E0
2.884374840E-1,4.780500233E-1,7.030050278E0,6.400950432E0
3.084374840E-1,7.800000161E-2,7.707000256E0,6.822000504E0
3.284374840E-1,-3.250500262E-1,7.896000385E0,6.952950478E0
3.484374840E-1,-5.070000291E-1,7.671000481E0,7.006050110E0
3.684374840E-1,-3.630000055E-1,7.438950539E0,7.384050369E0
3.884374840E-1,-3.750000298E-1,7.531950474E0,8.712000847E0
4.084374840E-1,-4.180500209E-1,7.741050243E0,9.982950211E0
4.284374840E-1,5.430000424E-1,7.470000267E0,9.844050407E0
4.484374840E-1,1.962000132E0,6.616050243E0,1.000695038E1
4.684374840E-1,2.437950134E0,5.881050110E0,9.952050209E0
4.884374840E-1,1.876050115E0,5.206050396E0,9.580950737E0
5.084374840E-1,7.480500340E-1,4.546050072E0,8.875050545E0
5.284374840E-1,-2.680500150E-1,4.635000229E0,7.930050373E0
5.484374840E-1,-8.710500598E-1,4.924050331E0,7.348050117E0
5.684374840E-1,-7.150500417E-1,5.044050217E0,6.694950104E0
5.884374840E-1,7.080000043E-1,4.615050316E0,6.895950317E0
6.084374840E-1,1.978050113E0,4.361999989E0,7.008000374E0
6.284374840E-1,2.332950115E0,4.180050373E0,6.415050507E0
6.484374840E-1,1.519050121E0,4.516950130E0,5.668050289E0
6.684374840E-1,6.240000129E-1,4.989000320E0,5.518050194E0
6.884374840E-1,2.050500065E-1,5.185050011E0,5.611050129E0
7.084374840E-1,5.329500437E-1,5.092050076E0,5.812050343E0
7.284374840E-1,1.147950053E0,4.936050415E0,6.142050266E0
7.484374840E-1,1.414050102E0,5.010000229E0,6.286050320E0
7.684374840E-1,1.069050074E0,5.439000130E0,6.613050461E0
7.884374840E-1,2.770500183E-1,6.268950462E0,6.793050289E0
8.084374840E-1,5.505000427E-2,7.132950306E0,7.267050266E0
8.284374840E-1,6.670500040E-1,7.599000454E0,7.611000538E0
8.484374840E-1,1.645950079E0,7.546950340E0,8.049000740E0
8.684374840E-1,2.251049995E0,7.195050240E0,8.932050705E0
8.884374840E-1,2.239050150E0,7.104000568E0,9.844050407E0
9.084374840E-1,1.834950089E0,7.573050499E0,1.019100094E1
9.284374840E-1,1.045050025E0,7.860000610E0,1.061400032E1
9.484374840E-1,4.399500191E-1,8.071050644E0,1.110495090E1
9.684374840E-1,6.049500108E-1,7.389000416E0,1.179195023E1
9.884374840E-1,6.409500241E-1,6.625050545E0,1.211205101E1
1.008437484E0,5.209500194E-1,5.802000046E0,1.132005024E1
1.028437484E0,4.050000105E-3,5.221050262E0,1.041300011E1
1.048437484E0,-7.960500121E-1,5.364000320E0,9.964050293E0
1.068437484E0,-8.920500278E-1,5.506050110E0,9.124050140E0
1.088437484E0,-4.305000231E-2,4.969950199E0,7.753050327E0
1.108437484E0,4.830000103E-1,4.327950001E0,6.334050179E0
1.128437484E0,4.279500246E-1,3.606000185E0,5.745000362E0
1.148437484E0,3.199500144E-1,2.988000154E0,5.652000427E0
1.168437484E0,5.520000458E-1,2.613000154E0,5.707050323E0
1.188437484E0,8.610000610E-1,2.371050119E0,5.890950203E0
1.208437484E0,3.919500113E-1,2.407050133E0,6.142050266E0
1.228437484E0,-4.470000267E-1,2.814000130E0,6.070050240E0
1.248437484E0,-9.109500647E-1,3.192000151E0,5.407050133E0
1.268437484E0,-1.392000079E0,3.864000082E0,4.747050285E0
1.288437484E0,-2.002050161E0,4.966950417E0,5.683050156E0
1.308437484E0,-1.414050102E0,5.470050335E0,7.474950314E0
1.328437484E0,-1.395000052E-2,5.347950459E0,9.130949974E0
1.348437484E0,9.810000658E-1,5.539050102E0,9.613950729E0
1.368437484E0,1.492950082E0,6.051000118E0,9.751049995E0
1.388437484E0,1.282050014E0,6.445950508E0,9.742950439E0
1.408437484E0,7.920000553E-1,6.618000507E0,9.793950081E0
1.428437484E0,2.770500183E-1,6.870000362E0,9.817950249E0
1.448437484E0,8.010000587E-1,6.622950077E0,9.760050774E0
1.468437484E0,1.927950144E0,6.043950081E0,1.021995068E1
1.488437484E0,2.785050154E0,5.653950214E0,1.061205006E1
1.508437484E0,2.767950058E0,5.130000114E0,1.030095005E1
1.528437484E0,1.816050053E0,5.221050262E0,1.026705074E1
1.548437484E0,1.263000011E0,5.388000488E0,1.001595020E1
1.568437484E0,1.864050031E0,5.191950321E0,9.931950569E0
1.588437484E0,2.553000212E0,4.833000183E0,9.520950317E0
1.608437484E0,2.799000025E0,4.174950123E0,9.150000572E0
1.628437484E0,2.356950045E0,3.649050236E0,8.446050644E0
1.648437484E0,1.725000024E0,3.409050226E0,7.687950134E0
1.668437484E0,1.024049997E0,3.133950233E0,6.669000149E0
1.688437484E0,4.969500303E-1,2.923950195E0,5.464950085E0
1.708437484E0,1.380000114E-1,3.024000168E0,4.321050167E0
1.728437484E0,-4.500000179E-2,3.498000145E0,3.921000242E0
1.748437484E0,1.500000060E-1,3.892950296E0,4.588950157E0
1.768437484E0,2.680500150E-1,4.081950188E0,5.281050205E0
1.788437484E0,4.995000362E-2,4.785000324E0,5.809050083E0
1.808437484E0,-4.369500279E-1,5.580000401E0,6.075000286E0
1.828437484E0,-4.090500176E-1,5.860050201E0,6.556050301E0
1.848437484E0,-1.120500043E-1,5.836050510E0,7.627950191E0
1.868437484E0,3.630000055E-1,6.003000259E0,9.114000320E0
1.888437484E0,7.249500155E-1,5.955000401E0,1.054500008E1
1.908437484E0,8.850000501E-1,5.908050060E0,1.151205063E1
1.928437484E0,5.590500236E-1,5.875950336E0,1.218405056E1
1.948437484E0,2.010000050E-1,5.982000351E0,1.213200092E1
1.968437484E0,-7.050000131E-3,6.535050392E0,1.145700073E1
1.988437484E0,4.519500136E-1,6.391050339E0,1.082505035E1
2.008437484E0,8.659500480E-1,6.334050179E0,1.101900005E1
2.028437484E0,6.070500016E-1,5.994000435E0,1.107405090E1
2.048437484E0,1.570500135E-1,5.436000347E0,1.120995045E1
2.068437484E0,-4.690500200E-1,5.565000057E0,1.123200035E1
2.088437484E0,-5.809500217E-1,5.640000343E0,1.094205093E1
2.108437484E0,-3.150000274E-1,5.427000046E0,1.084695053E1
2.128437484E0,1.840500087E-1,4.969950199E0,1.060995007E1
2.148437484E0,8.850000501E-1,4.491000175E0,1.013595009E1
